POI: 			David_Oyelowo 
Youtube ID: 	YUFjR_Pgx28 
Video length: 	361.4 sec 
Set (V): 		dev 
 
David_Oyelowo/YUFjR_Pgx28_0000001 03.0 07.4 
David_Oyelowo/YUFjR_Pgx28_0000002 07.9 53.4 
David_Oyelowo/YUFjR_Pgx28_0000003 59.1 77.7 
David_Oyelowo/YUFjR_Pgx28_0000004 80.1 92.4 
David_Oyelowo/YUFjR_Pgx28_0000005 97.6 135.0 
David_Oyelowo/YUFjR_Pgx28_0000006 135.6 143.0 
David_Oyelowo/YUFjR_Pgx28_0000007 146.0 157.8 
David_Oyelowo/YUFjR_Pgx28_0000008 160.9 166.2 
David_Oyelowo/YUFjR_Pgx28_0000009 167.2 177.8 
David_Oyelowo/YUFjR_Pgx28_0000010 180.6 193.2 
David_Oyelowo/YUFjR_Pgx28_0000011 195.4 214.3 
David_Oyelowo/YUFjR_Pgx28_0000012 217.3 235.1 
David_Oyelowo/YUFjR_Pgx28_0000013 235.4 242.1 
David_Oyelowo/YUFjR_Pgx28_0000014 242.6 252.4 
David_Oyelowo/YUFjR_Pgx28_0000015 255.4 275.2 
David_Oyelowo/YUFjR_Pgx28_0000016 275.9 290.3 
David_Oyelowo/YUFjR_Pgx28_0000017 292.7 304.2 
David_Oyelowo/YUFjR_Pgx28_0000018 313.6 318.0 
David_Oyelowo/YUFjR_Pgx28_0000019 318.1 324.8 
David_Oyelowo/YUFjR_Pgx28_0000020 325.8 331.6 
David_Oyelowo/YUFjR_Pgx28_0000021 331.8 343.2 
