POI: 			Pierre_Niney 
Youtube ID: 	YCcWkvMrx1E 
Video length: 	558.7 sec 
Set (V): 		dev 
 
Pierre_Niney/YCcWkvMrx1E_0000001 26.8 34.8 
Pierre_Niney/YCcWkvMrx1E_0000002 35.9 42.8 
Pierre_Niney/YCcWkvMrx1E_0000003 52.3 65.6 
Pierre_Niney/YCcWkvMrx1E_0000004 92.3 101.4 
Pierre_Niney/YCcWkvMrx1E_0000005 115.0 126.4 
Pierre_Niney/YCcWkvMrx1E_0000006 139.5 150.2 
Pierre_Niney/YCcWkvMrx1E_0000007 154.1 164.6 
Pierre_Niney/YCcWkvMrx1E_0000008 188.0 194.1 
Pierre_Niney/YCcWkvMrx1E_0000009 203.6 210.8 
Pierre_Niney/YCcWkvMrx1E_0000010 216.7 224.3 
Pierre_Niney/YCcWkvMrx1E_0000011 224.6 231.1 
Pierre_Niney/YCcWkvMrx1E_0000012 237.2 253.5 
Pierre_Niney/YCcWkvMrx1E_0000013 289.0 296.2 
Pierre_Niney/YCcWkvMrx1E_0000014 296.4 304.2 
Pierre_Niney/YCcWkvMrx1E_0000015 308.9 320.7 
Pierre_Niney/YCcWkvMrx1E_0000016 336.9 346.2 
Pierre_Niney/YCcWkvMrx1E_0000017 353.9 360.7 
Pierre_Niney/YCcWkvMrx1E_0000018 361.0 367.0 
Pierre_Niney/YCcWkvMrx1E_0000019 411.4 417.7 
Pierre_Niney/YCcWkvMrx1E_0000020 422.2 427.5 
Pierre_Niney/YCcWkvMrx1E_0000021 427.7 434.6 
Pierre_Niney/YCcWkvMrx1E_0000022 483.1 511.1 
Pierre_Niney/YCcWkvMrx1E_0000023 513.3 520.1 
Pierre_Niney/YCcWkvMrx1E_0000024 524.6 533.4 
Pierre_Niney/YCcWkvMrx1E_0000025 545.0 553.6 
