POI: 			Pierre_Niney 
Youtube ID: 	5fcfPAAUnxg 
Video length: 	483.8 sec 
Set (V): 		dev 
 
Pierre_Niney/5fcfPAAUnxg_0000001 09.9 18.9 
Pierre_Niney/5fcfPAAUnxg_0000002 24.8 33.8 
Pierre_Niney/5fcfPAAUnxg_0000003 34.9 40.8 
Pierre_Niney/5fcfPAAUnxg_0000004 54.2 59.7 
Pierre_Niney/5fcfPAAUnxg_0000005 70.7 76.4 
Pierre_Niney/5fcfPAAUnxg_0000006 76.8 84.2 
Pierre_Niney/5fcfPAAUnxg_0000007 88.5 92.8 
Pierre_Niney/5fcfPAAUnxg_0000008 96.3 100.8 
Pierre_Niney/5fcfPAAUnxg_0000009 115.2 122.1 
Pierre_Niney/5fcfPAAUnxg_0000010 124.8 158.7 
Pierre_Niney/5fcfPAAUnxg_0000011 162.8 168.7 
Pierre_Niney/5fcfPAAUnxg_0000012 175.6 188.1 
Pierre_Niney/5fcfPAAUnxg_0000013 188.3 204.6 
Pierre_Niney/5fcfPAAUnxg_0000014 221.2 227.3 
Pierre_Niney/5fcfPAAUnxg_0000015 228.2 233.7 
Pierre_Niney/5fcfPAAUnxg_0000016 234.3 240.3 
Pierre_Niney/5fcfPAAUnxg_0000017 245.4 254.4 
Pierre_Niney/5fcfPAAUnxg_0000018 254.8 261.8 
Pierre_Niney/5fcfPAAUnxg_0000019 263.8 268.6 
Pierre_Niney/5fcfPAAUnxg_0000020 268.8 275.3 
Pierre_Niney/5fcfPAAUnxg_0000021 296.0 300.2 
Pierre_Niney/5fcfPAAUnxg_0000022 317.4 321.4 
Pierre_Niney/5fcfPAAUnxg_0000023 325.5 333.3 
Pierre_Niney/5fcfPAAUnxg_0000024 334.2 342.0 
Pierre_Niney/5fcfPAAUnxg_0000025 344.1 352.7 
Pierre_Niney/5fcfPAAUnxg_0000026 353.5 360.9 
Pierre_Niney/5fcfPAAUnxg_0000027 361.1 366.6 
Pierre_Niney/5fcfPAAUnxg_0000028 386.0 391.2 
Pierre_Niney/5fcfPAAUnxg_0000029 395.5 400.4 
Pierre_Niney/5fcfPAAUnxg_0000030 402.1 413.4 
Pierre_Niney/5fcfPAAUnxg_0000031 415.0 420.9 
Pierre_Niney/5fcfPAAUnxg_0000032 427.4 435.0 
Pierre_Niney/5fcfPAAUnxg_0000033 437.2 449.3 
Pierre_Niney/5fcfPAAUnxg_0000034 452.5 459.1 
Pierre_Niney/5fcfPAAUnxg_0000035 462.0 470.0 
Pierre_Niney/5fcfPAAUnxg_0000036 471.1 480.4 
