POI: 			Kenny_Rogers 
Youtube ID: 	x4VsJEHwMTE 
Video length: 	548.2 sec 
Set (V): 		dev 
 
Kenny_Rogers/x4VsJEHwMTE_0000001 73.2 89.7 
Kenny_Rogers/x4VsJEHwMTE_0000002 102.5 110.4 
Kenny_Rogers/x4VsJEHwMTE_0000003 111.1 117.2 
Kenny_Rogers/x4VsJEHwMTE_0000004 119.0 134.0 
Kenny_Rogers/x4VsJEHwMTE_0000005 139.6 144.4 
Kenny_Rogers/x4VsJEHwMTE_0000006 146.2 156.6 
Kenny_Rogers/x4VsJEHwMTE_0000007 195.0 207.5 
Kenny_Rogers/x4VsJEHwMTE_0000008 208.3 225.8 
Kenny_Rogers/x4VsJEHwMTE_0000009 226.4 232.3 
Kenny_Rogers/x4VsJEHwMTE_0000010 232.9 245.0 
Kenny_Rogers/x4VsJEHwMTE_0000011 268.1 281.2 
Kenny_Rogers/x4VsJEHwMTE_0000012 288.0 293.2 
Kenny_Rogers/x4VsJEHwMTE_0000013 312.8 318.8 
Kenny_Rogers/x4VsJEHwMTE_0000014 326.1 331.8 
Kenny_Rogers/x4VsJEHwMTE_0000015 337.5 345.7 
Kenny_Rogers/x4VsJEHwMTE_0000016 360.8 369.4 
Kenny_Rogers/x4VsJEHwMTE_0000017 384.1 390.2 
Kenny_Rogers/x4VsJEHwMTE_0000018 398.6 404.2 
Kenny_Rogers/x4VsJEHwMTE_0000019 407.6 412.6 
Kenny_Rogers/x4VsJEHwMTE_0000020 423.8 443.2 
Kenny_Rogers/x4VsJEHwMTE_0000021 447.0 451.4 
Kenny_Rogers/x4VsJEHwMTE_0000022 461.6 466.8 
Kenny_Rogers/x4VsJEHwMTE_0000023 471.4 475.3 
Kenny_Rogers/x4VsJEHwMTE_0000024 501.9 511.9 
