POI: 			Kenny_Rogers 
Youtube ID: 	3euqU5PKafw 
Video length: 	1502.5 sec 
Set (V): 		dev 
 
Kenny_Rogers/3euqU5PKafw_0000001 45.7 51.7 
Kenny_Rogers/3euqU5PKafw_0000002 70.0 76.3 
Kenny_Rogers/3euqU5PKafw_0000003 89.6 99.8 
Kenny_Rogers/3euqU5PKafw_0000004 107.9 124.0 
Kenny_Rogers/3euqU5PKafw_0000005 128.3 135.6 
Kenny_Rogers/3euqU5PKafw_0000006 145.8 161.3 
Kenny_Rogers/3euqU5PKafw_0000007 162.0 167.0 
Kenny_Rogers/3euqU5PKafw_0000008 171.9 177.0 
Kenny_Rogers/3euqU5PKafw_0000009 183.8 200.7 
Kenny_Rogers/3euqU5PKafw_0000010 216.3 220.3 
Kenny_Rogers/3euqU5PKafw_0000011 227.5 233.4 
Kenny_Rogers/3euqU5PKafw_0000012 241.0 254.3 
Kenny_Rogers/3euqU5PKafw_0000013 256.4 261.5 
Kenny_Rogers/3euqU5PKafw_0000014 284.0 328.0 
Kenny_Rogers/3euqU5PKafw_0000015 348.8 370.6 
Kenny_Rogers/3euqU5PKafw_0000016 374.3 385.2 
Kenny_Rogers/3euqU5PKafw_0000017 389.6 415.6 
Kenny_Rogers/3euqU5PKafw_0000018 428.8 437.5 
Kenny_Rogers/3euqU5PKafw_0000019 451.2 471.3 
Kenny_Rogers/3euqU5PKafw_0000020 478.3 489.5 
Kenny_Rogers/3euqU5PKafw_0000021 486.6 515.6 
Kenny_Rogers/3euqU5PKafw_0000022 521.2 525.9 
Kenny_Rogers/3euqU5PKafw_0000023 527.3 538.0 
Kenny_Rogers/3euqU5PKafw_0000024 555.3 561.0 
Kenny_Rogers/3euqU5PKafw_0000025 576.5 589.6 
Kenny_Rogers/3euqU5PKafw_0000026 590.0 607.5 
Kenny_Rogers/3euqU5PKafw_0000027 607.9 618.2 
Kenny_Rogers/3euqU5PKafw_0000028 618.6 631.2 
Kenny_Rogers/3euqU5PKafw_0000029 647.2 667.0 
Kenny_Rogers/3euqU5PKafw_0000030 669.8 674.9 
Kenny_Rogers/3euqU5PKafw_0000031 694.0 700.4 
Kenny_Rogers/3euqU5PKafw_0000032 705.4 713.5 
Kenny_Rogers/3euqU5PKafw_0000033 719.1 727.2 
Kenny_Rogers/3euqU5PKafw_0000034 741.9 751.2 
Kenny_Rogers/3euqU5PKafw_0000035 765.6 775.1 
Kenny_Rogers/3euqU5PKafw_0000036 780.1 788.4 
Kenny_Rogers/3euqU5PKafw_0000037 789.0 794.2 
Kenny_Rogers/3euqU5PKafw_0000038 805.4 824.8 
Kenny_Rogers/3euqU5PKafw_0000039 828.6 832.9 
Kenny_Rogers/3euqU5PKafw_0000040 843.0 848.3 
Kenny_Rogers/3euqU5PKafw_0000041 852.9 858.8 
Kenny_Rogers/3euqU5PKafw_0000042 882.8 893.6 
Kenny_Rogers/3euqU5PKafw_0000043 919.3 924.2 
Kenny_Rogers/3euqU5PKafw_0000044 936.3 949.7 
Kenny_Rogers/3euqU5PKafw_0000045 949.9 959.6 
Kenny_Rogers/3euqU5PKafw_0000046 971.6 981.6 
Kenny_Rogers/3euqU5PKafw_0000047 987.4 992.6 
Kenny_Rogers/3euqU5PKafw_0000048 1006.9 1014.2 
Kenny_Rogers/3euqU5PKafw_0000049 1016.2 1020.3 
Kenny_Rogers/3euqU5PKafw_0000050 1020.6 1044.8 
Kenny_Rogers/3euqU5PKafw_0000051 1045.6 1053.4 
Kenny_Rogers/3euqU5PKafw_0000052 1061.7 1067.2 
Kenny_Rogers/3euqU5PKafw_0000053 1071.6 1095.3 
Kenny_Rogers/3euqU5PKafw_0000054 1095.8 1103.4 
Kenny_Rogers/3euqU5PKafw_0000055 1112.0 1119.5 
Kenny_Rogers/3euqU5PKafw_0000056 1130.0 1135.6 
Kenny_Rogers/3euqU5PKafw_0000057 1136.3 1142.2 
Kenny_Rogers/3euqU5PKafw_0000058 1142.4 1171.0 
Kenny_Rogers/3euqU5PKafw_0000059 1175.2 1184.3 
Kenny_Rogers/3euqU5PKafw_0000060 1187.1 1222.1 
Kenny_Rogers/3euqU5PKafw_0000061 1228.0 1244.0 
Kenny_Rogers/3euqU5PKafw_0000062 1248.9 1258.4 
Kenny_Rogers/3euqU5PKafw_0000063 1267.5 1284.6 
Kenny_Rogers/3euqU5PKafw_0000064 1285.9 1292.0 
Kenny_Rogers/3euqU5PKafw_0000065 1292.9 1297.8 
Kenny_Rogers/3euqU5PKafw_0000066 1278.4 1284.4 
Kenny_Rogers/3euqU5PKafw_0000067 1306.6 1337.1 
Kenny_Rogers/3euqU5PKafw_0000068 1339.4 1344.8 
Kenny_Rogers/3euqU5PKafw_0000069 1346.5 1352.9 
Kenny_Rogers/3euqU5PKafw_0000070 1357.8 1380.0 
Kenny_Rogers/3euqU5PKafw_0000071 1386.3 1392.7 
Kenny_Rogers/3euqU5PKafw_0000072 1399.4 1424.4 
Kenny_Rogers/3euqU5PKafw_0000073 1444.3 1463.5 
