POI: 			Kenny_Rogers 
Youtube ID: 	BG2NZl6gzjk 
Video length: 	883.9 sec 
Set (V): 		dev 
 
Kenny_Rogers/BG2NZl6gzjk_0000001 62.5 72.0 
Kenny_Rogers/BG2NZl6gzjk_0000002 73.0 99.6 
Kenny_Rogers/BG2NZl6gzjk_0000003 128.8 142.8 
Kenny_Rogers/BG2NZl6gzjk_0000004 150.2 173.4 
Kenny_Rogers/BG2NZl6gzjk_0000005 200.8 206.2 
Kenny_Rogers/BG2NZl6gzjk_0000006 232.4 252.1 
Kenny_Rogers/BG2NZl6gzjk_0000007 261.8 267.1 
Kenny_Rogers/BG2NZl6gzjk_0000008 284.2 323.2 
Kenny_Rogers/BG2NZl6gzjk_0000009 337.2 341.2 
Kenny_Rogers/BG2NZl6gzjk_0000010 346.4 354.3 
Kenny_Rogers/BG2NZl6gzjk_0000011 337.6 341.8 
Kenny_Rogers/BG2NZl6gzjk_0000012 356.0 361.1 
Kenny_Rogers/BG2NZl6gzjk_0000013 375.8 384.3 
Kenny_Rogers/BG2NZl6gzjk_0000014 384.9 392.9 
Kenny_Rogers/BG2NZl6gzjk_0000015 395.7 399.8 
Kenny_Rogers/BG2NZl6gzjk_0000016 415.5 432.0 
Kenny_Rogers/BG2NZl6gzjk_0000017 446.8 460.3 
Kenny_Rogers/BG2NZl6gzjk_0000018 469.6 497.3 
Kenny_Rogers/BG2NZl6gzjk_0000019 499.6 511.4 
Kenny_Rogers/BG2NZl6gzjk_0000020 526.4 541.0 
Kenny_Rogers/BG2NZl6gzjk_0000021 559.0 573.1 
Kenny_Rogers/BG2NZl6gzjk_0000022 579.6 590.5 
Kenny_Rogers/BG2NZl6gzjk_0000023 690.3 699.8 
Kenny_Rogers/BG2NZl6gzjk_0000024 711.9 722.1 
Kenny_Rogers/BG2NZl6gzjk_0000025 722.3 727.4 
Kenny_Rogers/BG2NZl6gzjk_0000026 737.6 743.4 
Kenny_Rogers/BG2NZl6gzjk_0000027 745.2 760.4 
Kenny_Rogers/BG2NZl6gzjk_0000028 760.6 780.7 
Kenny_Rogers/BG2NZl6gzjk_0000029 781.4 786.8 
Kenny_Rogers/BG2NZl6gzjk_0000030 809.5 820.5 
Kenny_Rogers/BG2NZl6gzjk_0000031 823.4 838.3 
Kenny_Rogers/BG2NZl6gzjk_0000032 841.9 848.0 
Kenny_Rogers/BG2NZl6gzjk_0000033 848.8 856.4 
