POI: 			Kenny_Rogers 
Youtube ID: 	9DVX_4LZ-D4 
Video length: 	2050.9 sec 
Set (V): 		dev 
 
Kenny_Rogers/9DVX_4LZ-D4_0000001 19.6 25.3 
Kenny_Rogers/9DVX_4LZ-D4_0000002 38.4 46.4 
Kenny_Rogers/9DVX_4LZ-D4_0000003 70.2 81.0 
Kenny_Rogers/9DVX_4LZ-D4_0000004 89.3 98.8 
Kenny_Rogers/9DVX_4LZ-D4_0000005 122.3 128.0 
Kenny_Rogers/9DVX_4LZ-D4_0000006 150.4 155.5 
Kenny_Rogers/9DVX_4LZ-D4_0000007 174.2 182.0 
Kenny_Rogers/9DVX_4LZ-D4_0000008 256.5 271.0 
Kenny_Rogers/9DVX_4LZ-D4_0000009 314.4 319.3 
Kenny_Rogers/9DVX_4LZ-D4_0000010 348.0 353.5 
Kenny_Rogers/9DVX_4LZ-D4_0000011 353.6 358.4 
Kenny_Rogers/9DVX_4LZ-D4_0000012 359.0 364.7 
Kenny_Rogers/9DVX_4LZ-D4_0000013 373.9 378.9 
Kenny_Rogers/9DVX_4LZ-D4_0000014 387.5 392.9 
Kenny_Rogers/9DVX_4LZ-D4_0000015 412.4 417.5 
Kenny_Rogers/9DVX_4LZ-D4_0000016 468.1 472.0 
Kenny_Rogers/9DVX_4LZ-D4_0000017 472.8 478.8 
Kenny_Rogers/9DVX_4LZ-D4_0000018 492.8 508.4 
Kenny_Rogers/9DVX_4LZ-D4_0000019 511.4 515.7 
Kenny_Rogers/9DVX_4LZ-D4_0000020 531.6 540.1 
Kenny_Rogers/9DVX_4LZ-D4_0000021 560.0 564.8 
Kenny_Rogers/9DVX_4LZ-D4_0000022 571.2 576.7 
Kenny_Rogers/9DVX_4LZ-D4_0000023 624.6 631.2 
Kenny_Rogers/9DVX_4LZ-D4_0000024 655.8 660.6 
Kenny_Rogers/9DVX_4LZ-D4_0000025 714.9 720.5 
Kenny_Rogers/9DVX_4LZ-D4_0000026 728.6 733.2 
Kenny_Rogers/9DVX_4LZ-D4_0000027 753.3 759.4 
Kenny_Rogers/9DVX_4LZ-D4_0000028 836.1 840.9 
Kenny_Rogers/9DVX_4LZ-D4_0000029 865.6 876.7 
Kenny_Rogers/9DVX_4LZ-D4_0000030 896.6 903.1 
Kenny_Rogers/9DVX_4LZ-D4_0000031 913.0 917.3 
Kenny_Rogers/9DVX_4LZ-D4_0000032 934.4 938.6 
Kenny_Rogers/9DVX_4LZ-D4_0000033 957.5 962.0 
Kenny_Rogers/9DVX_4LZ-D4_0000034 963.0 971.1 
Kenny_Rogers/9DVX_4LZ-D4_0000035 983.6 994.0 
Kenny_Rogers/9DVX_4LZ-D4_0000036 994.9 998.8 
Kenny_Rogers/9DVX_4LZ-D4_0000037 1026.9 1034.0 
Kenny_Rogers/9DVX_4LZ-D4_0000038 1041.8 1048.5 
Kenny_Rogers/9DVX_4LZ-D4_0000039 1045.4 1050.7 
Kenny_Rogers/9DVX_4LZ-D4_0000040 1069.1 1087.9 
Kenny_Rogers/9DVX_4LZ-D4_0000041 1097.8 1104.3 
Kenny_Rogers/9DVX_4LZ-D4_0000042 1150.2 1158.0 
Kenny_Rogers/9DVX_4LZ-D4_0000043 1163.4 1167.7 
Kenny_Rogers/9DVX_4LZ-D4_0000044 1192.7 1202.9 
Kenny_Rogers/9DVX_4LZ-D4_0000045 1214.8 1224.7 
Kenny_Rogers/9DVX_4LZ-D4_0000046 1225.7 1233.2 
Kenny_Rogers/9DVX_4LZ-D4_0000047 1268.8 1273.1 
Kenny_Rogers/9DVX_4LZ-D4_0000048 1274.2 1279.7 
Kenny_Rogers/9DVX_4LZ-D4_0000049 1287.4 1294.1 
