POI: 			Jasika_Nicole 
Youtube ID: 	Sb9rXeXHngs 
Video length: 	495.5 sec 
Set (V): 		dev 
 
Jasika_Nicole/Sb9rXeXHngs_0000001 23.9 28.5 
Jasika_Nicole/Sb9rXeXHngs_0000002 28.8 34.0 
Jasika_Nicole/Sb9rXeXHngs_0000003 60.2 65.9 
Jasika_Nicole/Sb9rXeXHngs_0000004 81.0 86.8 
Jasika_Nicole/Sb9rXeXHngs_0000005 113.8 119.8 
Jasika_Nicole/Sb9rXeXHngs_0000006 120.9 131.2 
Jasika_Nicole/Sb9rXeXHngs_0000007 134.2 139.9 
Jasika_Nicole/Sb9rXeXHngs_0000008 225.2 229.9 
Jasika_Nicole/Sb9rXeXHngs_0000009 236.0 242.0 
Jasika_Nicole/Sb9rXeXHngs_0000010 242.8 247.5 
Jasika_Nicole/Sb9rXeXHngs_0000011 255.1 260.6 
Jasika_Nicole/Sb9rXeXHngs_0000012 264.6 268.7 
Jasika_Nicole/Sb9rXeXHngs_0000013 269.8 279.7 
Jasika_Nicole/Sb9rXeXHngs_0000014 375.6 382.3 
Jasika_Nicole/Sb9rXeXHngs_0000015 391.7 396.5 
Jasika_Nicole/Sb9rXeXHngs_0000016 401.9 411.6 
Jasika_Nicole/Sb9rXeXHngs_0000017 414.2 419.1 
Jasika_Nicole/Sb9rXeXHngs_0000018 441.3 446.0 
Jasika_Nicole/Sb9rXeXHngs_0000019 454.8 461.3 
