POI: 			Jasika_Nicole 
Youtube ID: 	b86awCBDd3w 
Video length: 	269.8 sec 
Set (V): 		dev 
 
Jasika_Nicole/b86awCBDd3w_0000001 10.0 15.3 
Jasika_Nicole/b86awCBDd3w_0000002 33.2 40.3 
Jasika_Nicole/b86awCBDd3w_0000003 50.7 55.2 
Jasika_Nicole/b86awCBDd3w_0000004 65.1 69.1 
Jasika_Nicole/b86awCBDd3w_0000005 91.8 97.1 
Jasika_Nicole/b86awCBDd3w_0000006 108.8 113.0 
Jasika_Nicole/b86awCBDd3w_0000007 133.2 137.2 
Jasika_Nicole/b86awCBDd3w_0000008 142.0 148.6 
Jasika_Nicole/b86awCBDd3w_0000009 149.5 153.8 
Jasika_Nicole/b86awCBDd3w_0000010 155.6 162.2 
Jasika_Nicole/b86awCBDd3w_0000011 165.8 172.8 
Jasika_Nicole/b86awCBDd3w_0000012 184.7 192.2 
Jasika_Nicole/b86awCBDd3w_0000013 195.1 204.6 
Jasika_Nicole/b86awCBDd3w_0000014 207.2 217.0 
Jasika_Nicole/b86awCBDd3w_0000015 232.6 237.2 
Jasika_Nicole/b86awCBDd3w_0000016 241.7 247.8 
