POI: 			Jasika_Nicole 
Youtube ID: 	q47gPbZG6wo 
Video length: 	516.6 sec 
Set (V): 		dev 
 
Jasika_Nicole/q47gPbZG6wo_0000001 19.4 25.9 
Jasika_Nicole/q47gPbZG6wo_0000002 36.9 44.3 
Jasika_Nicole/q47gPbZG6wo_0000003 60.2 66.2 
Jasika_Nicole/q47gPbZG6wo_0000004 76.0 83.4 
Jasika_Nicole/q47gPbZG6wo_0000005 117.9 122.8 
Jasika_Nicole/q47gPbZG6wo_0000006 123.4 127.9 
Jasika_Nicole/q47gPbZG6wo_0000007 131.2 135.2 
Jasika_Nicole/q47gPbZG6wo_0000008 152.6 159.8 
Jasika_Nicole/q47gPbZG6wo_0000009 161.5 177.4 
Jasika_Nicole/q47gPbZG6wo_0000010 184.4 207.0 
Jasika_Nicole/q47gPbZG6wo_0000011 208.6 213.2 
Jasika_Nicole/q47gPbZG6wo_0000012 215.6 222.8 
Jasika_Nicole/q47gPbZG6wo_0000013 223.8 231.0 
Jasika_Nicole/q47gPbZG6wo_0000014 237.5 241.6 
Jasika_Nicole/q47gPbZG6wo_0000015 241.7 246.8 
Jasika_Nicole/q47gPbZG6wo_0000016 257.0 264.7 
Jasika_Nicole/q47gPbZG6wo_0000017 275.2 284.8 
Jasika_Nicole/q47gPbZG6wo_0000018 286.9 291.4 
Jasika_Nicole/q47gPbZG6wo_0000019 308.4 312.4 
Jasika_Nicole/q47gPbZG6wo_0000020 321.9 327.9 
Jasika_Nicole/q47gPbZG6wo_0000021 328.2 335.0 
Jasika_Nicole/q47gPbZG6wo_0000022 335.9 342.4 
Jasika_Nicole/q47gPbZG6wo_0000023 352.3 359.2 
Jasika_Nicole/q47gPbZG6wo_0000024 360.1 366.7 
Jasika_Nicole/q47gPbZG6wo_0000025 375.2 383.1 
Jasika_Nicole/q47gPbZG6wo_0000026 390.4 395.5 
Jasika_Nicole/q47gPbZG6wo_0000027 396.0 403.0 
Jasika_Nicole/q47gPbZG6wo_0000028 404.2 419.0 
Jasika_Nicole/q47gPbZG6wo_0000029 420.6 426.8 
Jasika_Nicole/q47gPbZG6wo_0000030 426.9 431.6 
Jasika_Nicole/q47gPbZG6wo_0000031 442.1 448.9 
Jasika_Nicole/q47gPbZG6wo_0000032 451.0 456.2 
Jasika_Nicole/q47gPbZG6wo_0000033 456.4 475.7 
Jasika_Nicole/q47gPbZG6wo_0000034 482.1 488.1 
Jasika_Nicole/q47gPbZG6wo_0000035 496.7 502.2 
