POI: 			James_Earl_Jones 
Youtube ID: 	JVJXcI4Zudk 
Video length: 	3229.2 sec 
Set (V): 		dev 
 
James_Earl_Jones/JVJXcI4Zudk_0000001 94.0 98.7 
James_Earl_Jones/JVJXcI4Zudk_0000002 162.8 167.6 
James_Earl_Jones/JVJXcI4Zudk_0000003 177.3 188.1 
James_Earl_Jones/JVJXcI4Zudk_0000004 188.8 197.5 
James_Earl_Jones/JVJXcI4Zudk_0000005 257.9 274.1 
James_Earl_Jones/JVJXcI4Zudk_0000006 279.4 286.2 
James_Earl_Jones/JVJXcI4Zudk_0000007 290.9 312.6 
James_Earl_Jones/JVJXcI4Zudk_0000008 336.4 359.4 
James_Earl_Jones/JVJXcI4Zudk_0000009 373.9 378.3 
James_Earl_Jones/JVJXcI4Zudk_0000010 383.7 387.9 
James_Earl_Jones/JVJXcI4Zudk_0000011 388.8 393.2 
James_Earl_Jones/JVJXcI4Zudk_0000012 394.4 399.8 
James_Earl_Jones/JVJXcI4Zudk_0000013 408.6 412.6 
James_Earl_Jones/JVJXcI4Zudk_0000014 451.9 460.9 
James_Earl_Jones/JVJXcI4Zudk_0000015 469.8 479.2 
James_Earl_Jones/JVJXcI4Zudk_0000016 487.3 497.4 
James_Earl_Jones/JVJXcI4Zudk_0000017 500.7 509.2 
James_Earl_Jones/JVJXcI4Zudk_0000018 574.2 585.6 
James_Earl_Jones/JVJXcI4Zudk_0000019 589.4 614.8 
James_Earl_Jones/JVJXcI4Zudk_0000020 615.6 620.0 
James_Earl_Jones/JVJXcI4Zudk_0000021 628.2 632.5 
James_Earl_Jones/JVJXcI4Zudk_0000022 643.4 651.6 
James_Earl_Jones/JVJXcI4Zudk_0000023 733.8 749.5 
James_Earl_Jones/JVJXcI4Zudk_0000024 781.3 788.4 
James_Earl_Jones/JVJXcI4Zudk_0000025 788.6 802.9 
James_Earl_Jones/JVJXcI4Zudk_0000026 835.8 841.5 
James_Earl_Jones/JVJXcI4Zudk_0000027 842.8 849.2 
James_Earl_Jones/JVJXcI4Zudk_0000028 869.4 879.8 
James_Earl_Jones/JVJXcI4Zudk_0000029 891.4 896.1 
James_Earl_Jones/JVJXcI4Zudk_0000030 899.2 906.2 
James_Earl_Jones/JVJXcI4Zudk_0000031 930.8 937.0 
James_Earl_Jones/JVJXcI4Zudk_0000032 969.6 974.4 
James_Earl_Jones/JVJXcI4Zudk_0000033 975.3 982.2 
James_Earl_Jones/JVJXcI4Zudk_0000034 985.8 990.0 
James_Earl_Jones/JVJXcI4Zudk_0000035 991.2 996.2 
James_Earl_Jones/JVJXcI4Zudk_0000036 1026.2 1050.4 
James_Earl_Jones/JVJXcI4Zudk_0000037 1056.2 1062.4 
James_Earl_Jones/JVJXcI4Zudk_0000038 1062.7 1069.1 
James_Earl_Jones/JVJXcI4Zudk_0000039 1070.5 1075.6 
James_Earl_Jones/JVJXcI4Zudk_0000040 1092.0 1097.4 
James_Earl_Jones/JVJXcI4Zudk_0000041 1147.5 1172.4 
James_Earl_Jones/JVJXcI4Zudk_0000042 1179.5 1184.0 
James_Earl_Jones/JVJXcI4Zudk_0000043 1197.2 1202.3 
James_Earl_Jones/JVJXcI4Zudk_0000044 1204.0 1210.6 
James_Earl_Jones/JVJXcI4Zudk_0000045 1210.7 1221.6 
James_Earl_Jones/JVJXcI4Zudk_0000046 1224.3 1242.1 
James_Earl_Jones/JVJXcI4Zudk_0000047 1255.2 1269.2 
James_Earl_Jones/JVJXcI4Zudk_0000048 1269.6 1283.9 
James_Earl_Jones/JVJXcI4Zudk_0000049 1291.6 1296.6 
James_Earl_Jones/JVJXcI4Zudk_0000050 1299.7 1304.7 
James_Earl_Jones/JVJXcI4Zudk_0000051 1311.9 1318.0 
James_Earl_Jones/JVJXcI4Zudk_0000052 1322.5 1337.0 
James_Earl_Jones/JVJXcI4Zudk_0000053 1367.6 1373.2 
James_Earl_Jones/JVJXcI4Zudk_0000054 1400.2 1410.1 
James_Earl_Jones/JVJXcI4Zudk_0000055 1413.8 1426.2 
James_Earl_Jones/JVJXcI4Zudk_0000056 1441.2 1453.7 
James_Earl_Jones/JVJXcI4Zudk_0000057 1461.8 1467.6 
James_Earl_Jones/JVJXcI4Zudk_0000058 1477.4 1486.7 
James_Earl_Jones/JVJXcI4Zudk_0000059 1487.6 1503.9 
James_Earl_Jones/JVJXcI4Zudk_0000060 1510.6 1519.0 
James_Earl_Jones/JVJXcI4Zudk_0000061 1519.7 1531.4 
James_Earl_Jones/JVJXcI4Zudk_0000062 1534.3 1542.2 
James_Earl_Jones/JVJXcI4Zudk_0000063 1551.6 1555.7 
James_Earl_Jones/JVJXcI4Zudk_0000064 1558.4 1571.1 
James_Earl_Jones/JVJXcI4Zudk_0000065 1573.1 1586.5 
James_Earl_Jones/JVJXcI4Zudk_0000066 1647.5 1657.8 
James_Earl_Jones/JVJXcI4Zudk_0000067 1684.6 1692.8 
James_Earl_Jones/JVJXcI4Zudk_0000068 1699.4 1711.7 
James_Earl_Jones/JVJXcI4Zudk_0000069 1712.5 1722.0 
James_Earl_Jones/JVJXcI4Zudk_0000070 1728.2 1734.8 
James_Earl_Jones/JVJXcI4Zudk_0000071 1784.6 1791.4 
James_Earl_Jones/JVJXcI4Zudk_0000072 1791.8 1799.6 
James_Earl_Jones/JVJXcI4Zudk_0000073 1800.2 1807.3 
James_Earl_Jones/JVJXcI4Zudk_0000074 1847.3 1854.5 
James_Earl_Jones/JVJXcI4Zudk_0000075 1855.4 1867.8 
James_Earl_Jones/JVJXcI4Zudk_0000076 1881.2 1886.5 
James_Earl_Jones/JVJXcI4Zudk_0000077 1904.5 1908.9 
James_Earl_Jones/JVJXcI4Zudk_0000078 1913.2 1922.6 
James_Earl_Jones/JVJXcI4Zudk_0000079 1925.1 1931.2 
James_Earl_Jones/JVJXcI4Zudk_0000080 1950.8 1957.3 
James_Earl_Jones/JVJXcI4Zudk_0000081 1981.2 1985.2 
