POI: 			James_Earl_Jones 
Youtube ID: 	h1szbjS__2w 
Video length: 	2109.2 sec 
Set (V): 		dev 
 
James_Earl_Jones/h1szbjS__2w_0000001 63.2 75.7 
James_Earl_Jones/h1szbjS__2w_0000002 75.9 80.4 
James_Earl_Jones/h1szbjS__2w_0000003 87.2 99.0 
James_Earl_Jones/h1szbjS__2w_0000004 113.2 119.3 
James_Earl_Jones/h1szbjS__2w_0000005 130.5 139.4 
James_Earl_Jones/h1szbjS__2w_0000006 140.6 148.0 
James_Earl_Jones/h1szbjS__2w_0000007 154.4 158.6 
James_Earl_Jones/h1szbjS__2w_0000008 171.2 177.0 
James_Earl_Jones/h1szbjS__2w_0000009 181.9 188.8 
James_Earl_Jones/h1szbjS__2w_0000010 209.9 217.4 
James_Earl_Jones/h1szbjS__2w_0000011 217.9 222.9 
James_Earl_Jones/h1szbjS__2w_0000012 260.8 267.5 
James_Earl_Jones/h1szbjS__2w_0000013 274.5 281.3 
James_Earl_Jones/h1szbjS__2w_0000014 296.7 304.0 
James_Earl_Jones/h1szbjS__2w_0000015 326.0 334.1 
James_Earl_Jones/h1szbjS__2w_0000016 340.0 362.8 
James_Earl_Jones/h1szbjS__2w_0000017 392.0 401.9 
James_Earl_Jones/h1szbjS__2w_0000018 402.2 410.0 
James_Earl_Jones/h1szbjS__2w_0000019 447.8 457.5 
James_Earl_Jones/h1szbjS__2w_0000020 457.6 462.4 
James_Earl_Jones/h1szbjS__2w_0000021 468.9 474.9 
James_Earl_Jones/h1szbjS__2w_0000022 496.4 501.7 
James_Earl_Jones/h1szbjS__2w_0000023 511.9 516.9 
James_Earl_Jones/h1szbjS__2w_0000024 542.4 549.0 
James_Earl_Jones/h1szbjS__2w_0000025 549.5 554.0 
James_Earl_Jones/h1szbjS__2w_0000026 590.8 597.1 
James_Earl_Jones/h1szbjS__2w_0000027 601.1 607.6 
James_Earl_Jones/h1szbjS__2w_0000028 639.8 645.0 
