POI: 			Jillian_Harris 
Youtube ID: 	_AQIIB_ALVI 
Video length: 	483.0 sec 
Set (V): 		dev 
 
Jillian_Harris/_AQIIB_ALVI_0000001 55.8 68.3 
Jillian_Harris/_AQIIB_ALVI_0000002 69.0 74.8 
Jillian_Harris/_AQIIB_ALVI_0000003 74.9 82.0 
Jillian_Harris/_AQIIB_ALVI_0000004 82.9 102.6 
Jillian_Harris/_AQIIB_ALVI_0000005 102.7 111.4 
Jillian_Harris/_AQIIB_ALVI_0000006 126.2 134.0 
Jillian_Harris/_AQIIB_ALVI_0000007 136.3 140.9 
Jillian_Harris/_AQIIB_ALVI_0000008 142.9 155.9 
Jillian_Harris/_AQIIB_ALVI_0000009 162.8 170.4 
Jillian_Harris/_AQIIB_ALVI_0000010 233.6 237.7 
Jillian_Harris/_AQIIB_ALVI_0000011 264.5 268.8 
Jillian_Harris/_AQIIB_ALVI_0000012 270.2 279.7 
Jillian_Harris/_AQIIB_ALVI_0000013 305.8 314.8 
Jillian_Harris/_AQIIB_ALVI_0000014 320.2 347.4 
Jillian_Harris/_AQIIB_ALVI_0000015 355.1 362.1 
Jillian_Harris/_AQIIB_ALVI_0000016 362.2 368.2 
Jillian_Harris/_AQIIB_ALVI_0000017 379.9 389.4 
Jillian_Harris/_AQIIB_ALVI_0000018 392.4 406.5 
Jillian_Harris/_AQIIB_ALVI_0000019 406.7 412.8 
Jillian_Harris/_AQIIB_ALVI_0000020 422.4 426.7 
Jillian_Harris/_AQIIB_ALVI_0000021 455.8 466.2 
