POI: 			Parineeti_Chopra 
Youtube ID: 	vvLu_7TpP8c 
Video length: 	1607.6 sec 
Set (V): 		dev 
 
Parineeti_Chopra/vvLu_7TpP8c_0000001 88.8 94.0 
Parineeti_Chopra/vvLu_7TpP8c_0000002 96.2 100.8 
Parineeti_Chopra/vvLu_7TpP8c_0000003 107.4 121.2 
Parineeti_Chopra/vvLu_7TpP8c_0000004 201.8 205.9 
Parineeti_Chopra/vvLu_7TpP8c_0000005 320.4 325.6 
Parineeti_Chopra/vvLu_7TpP8c_0000006 327.4 333.6 
Parineeti_Chopra/vvLu_7TpP8c_0000007 335.5 341.7 
Parineeti_Chopra/vvLu_7TpP8c_0000008 406.2 410.4 
Parineeti_Chopra/vvLu_7TpP8c_0000009 526.9 531.6 
Parineeti_Chopra/vvLu_7TpP8c_0000010 533.4 540.2 
Parineeti_Chopra/vvLu_7TpP8c_0000011 545.4 554.0 
Parineeti_Chopra/vvLu_7TpP8c_0000012 621.0 626.1 
Parineeti_Chopra/vvLu_7TpP8c_0000013 632.4 639.1 
Parineeti_Chopra/vvLu_7TpP8c_0000014 641.0 650.2 
Parineeti_Chopra/vvLu_7TpP8c_0000015 674.2 681.4 
Parineeti_Chopra/vvLu_7TpP8c_0000016 683.2 687.8 
Parineeti_Chopra/vvLu_7TpP8c_0000017 691.0 696.4 
Parineeti_Chopra/vvLu_7TpP8c_0000018 771.8 776.8 
Parineeti_Chopra/vvLu_7TpP8c_0000019 811.6 819.6 
Parineeti_Chopra/vvLu_7TpP8c_0000020 821.5 825.6 
Parineeti_Chopra/vvLu_7TpP8c_0000021 827.7 835.6 
Parineeti_Chopra/vvLu_7TpP8c_0000022 837.4 843.4 
Parineeti_Chopra/vvLu_7TpP8c_0000023 898.6 906.6 
Parineeti_Chopra/vvLu_7TpP8c_0000024 908.7 916.4 
Parineeti_Chopra/vvLu_7TpP8c_0000025 925.1 932.7 
Parineeti_Chopra/vvLu_7TpP8c_0000026 934.8 941.9 
Parineeti_Chopra/vvLu_7TpP8c_0000027 945.4 950.4 
Parineeti_Chopra/vvLu_7TpP8c_0000028 959.9 965.8 
Parineeti_Chopra/vvLu_7TpP8c_0000029 966.8 971.3 
Parineeti_Chopra/vvLu_7TpP8c_0000030 994.4 1002.0 
Parineeti_Chopra/vvLu_7TpP8c_0000031 1096.3 1101.7 
Parineeti_Chopra/vvLu_7TpP8c_0000032 1103.5 1111.1 
Parineeti_Chopra/vvLu_7TpP8c_0000033 1113.4 1121.9 
Parineeti_Chopra/vvLu_7TpP8c_0000034 1158.8 1167.2 
Parineeti_Chopra/vvLu_7TpP8c_0000035 1203.6 1207.7 
Parineeti_Chopra/vvLu_7TpP8c_0000036 1239.0 1244.0 
