POI: 			Parineeti_Chopra 
Youtube ID: 	WKkZvGACy8w 
Video length: 	522.7 sec 
Set (V): 		dev 
 
Parineeti_Chopra/WKkZvGACy8w_0000001 58.6 65.8 
Parineeti_Chopra/WKkZvGACy8w_0000002 69.2 73.2 
Parineeti_Chopra/WKkZvGACy8w_0000003 78.3 86.4 
Parineeti_Chopra/WKkZvGACy8w_0000004 115.5 124.0 
Parineeti_Chopra/WKkZvGACy8w_0000005 127.0 136.4 
Parineeti_Chopra/WKkZvGACy8w_0000006 145.0 149.5 
Parineeti_Chopra/WKkZvGACy8w_0000007 150.3 155.9 
Parineeti_Chopra/WKkZvGACy8w_0000008 159.2 175.2 
Parineeti_Chopra/WKkZvGACy8w_0000009 178.3 182.4 
Parineeti_Chopra/WKkZvGACy8w_0000010 230.4 236.5 
Parineeti_Chopra/WKkZvGACy8w_0000011 243.9 250.2 
Parineeti_Chopra/WKkZvGACy8w_0000012 250.9 257.9 
Parineeti_Chopra/WKkZvGACy8w_0000013 260.9 265.2 
Parineeti_Chopra/WKkZvGACy8w_0000014 301.4 315.8 
Parineeti_Chopra/WKkZvGACy8w_0000015 334.6 339.2 
Parineeti_Chopra/WKkZvGACy8w_0000016 339.5 344.9 
Parineeti_Chopra/WKkZvGACy8w_0000017 393.1 405.1 
Parineeti_Chopra/WKkZvGACy8w_0000018 408.3 413.5 
Parineeti_Chopra/WKkZvGACy8w_0000019 416.6 426.6 
Parineeti_Chopra/WKkZvGACy8w_0000020 430.0 436.0 
Parineeti_Chopra/WKkZvGACy8w_0000021 461.8 466.1 
Parineeti_Chopra/WKkZvGACy8w_0000022 466.6 470.6 
Parineeti_Chopra/WKkZvGACy8w_0000023 479.4 486.2 
Parineeti_Chopra/WKkZvGACy8w_0000024 501.7 507.1 
