POI: 			Parineeti_Chopra 
Youtube ID: 	ad3NhT2tA7E 
Video length: 	1090.2 sec 
Set (V): 		dev 
 
Parineeti_Chopra/ad3NhT2tA7E_0000001 48.8 54.5 
Parineeti_Chopra/ad3NhT2tA7E_0000002 56.6 62.2 
Parineeti_Chopra/ad3NhT2tA7E_0000003 136.9 146.8 
Parineeti_Chopra/ad3NhT2tA7E_0000004 149.7 159.6 
Parineeti_Chopra/ad3NhT2tA7E_0000005 228.0 242.2 
Parineeti_Chopra/ad3NhT2tA7E_0000006 245.6 250.6 
Parineeti_Chopra/ad3NhT2tA7E_0000007 273.6 278.7 
Parineeti_Chopra/ad3NhT2tA7E_0000008 288.4 298.5 
Parineeti_Chopra/ad3NhT2tA7E_0000009 300.4 304.5 
Parineeti_Chopra/ad3NhT2tA7E_0000010 319.9 326.2 
Parineeti_Chopra/ad3NhT2tA7E_0000011 484.5 492.4 
Parineeti_Chopra/ad3NhT2tA7E_0000012 501.5 508.2 
Parineeti_Chopra/ad3NhT2tA7E_0000013 522.8 527.8 
Parineeti_Chopra/ad3NhT2tA7E_0000014 570.6 578.4 
Parineeti_Chopra/ad3NhT2tA7E_0000015 582.4 596.1 
Parineeti_Chopra/ad3NhT2tA7E_0000016 604.7 610.7 
Parineeti_Chopra/ad3NhT2tA7E_0000017 679.4 687.2 
Parineeti_Chopra/ad3NhT2tA7E_0000018 696.9 705.5 
Parineeti_Chopra/ad3NhT2tA7E_0000019 708.9 713.7 
Parineeti_Chopra/ad3NhT2tA7E_0000020 749.4 754.7 
Parineeti_Chopra/ad3NhT2tA7E_0000021 780.9 787.1 
Parineeti_Chopra/ad3NhT2tA7E_0000022 866.1 871.2 
Parineeti_Chopra/ad3NhT2tA7E_0000023 874.5 880.2 
Parineeti_Chopra/ad3NhT2tA7E_0000024 889.0 893.6 
Parineeti_Chopra/ad3NhT2tA7E_0000025 946.7 951.6 
