POI: 			Parineeti_Chopra 
Youtube ID: 	Yf93Q8L4xhs 
Video length: 	767.0 sec 
Set (V): 		dev 
 
Parineeti_Chopra/Yf93Q8L4xhs_0000001 20.9 25.1 
Parineeti_Chopra/Yf93Q8L4xhs_0000002 29.7 34.6 
Parineeti_Chopra/Yf93Q8L4xhs_0000003 84.5 88.8 
Parineeti_Chopra/Yf93Q8L4xhs_0000004 95.4 100.5 
Parineeti_Chopra/Yf93Q8L4xhs_0000005 108.7 113.0 
Parineeti_Chopra/Yf93Q8L4xhs_0000006 143.1 147.4 
Parineeti_Chopra/Yf93Q8L4xhs_0000007 168.6 176.0 
Parineeti_Chopra/Yf93Q8L4xhs_0000008 192.4 207.3 
Parineeti_Chopra/Yf93Q8L4xhs_0000009 216.5 224.8 
Parineeti_Chopra/Yf93Q8L4xhs_0000010 250.9 255.8 
Parineeti_Chopra/Yf93Q8L4xhs_0000011 259.8 264.4 
Parineeti_Chopra/Yf93Q8L4xhs_0000012 305.2 309.2 
Parineeti_Chopra/Yf93Q8L4xhs_0000013 326.5 331.8 
Parineeti_Chopra/Yf93Q8L4xhs_0000014 417.5 423.6 
Parineeti_Chopra/Yf93Q8L4xhs_0000015 463.0 469.9 
Parineeti_Chopra/Yf93Q8L4xhs_0000016 484.4 490.9 
Parineeti_Chopra/Yf93Q8L4xhs_0000017 491.3 497.2 
Parineeti_Chopra/Yf93Q8L4xhs_0000018 507.9 516.0 
Parineeti_Chopra/Yf93Q8L4xhs_0000019 524.4 530.8 
Parineeti_Chopra/Yf93Q8L4xhs_0000020 537.4 541.6 
Parineeti_Chopra/Yf93Q8L4xhs_0000021 556.8 561.3 
Parineeti_Chopra/Yf93Q8L4xhs_0000022 577.8 583.7 
Parineeti_Chopra/Yf93Q8L4xhs_0000023 612.3 616.4 
Parineeti_Chopra/Yf93Q8L4xhs_0000024 639.2 644.2 
Parineeti_Chopra/Yf93Q8L4xhs_0000025 662.1 668.8 
Parineeti_Chopra/Yf93Q8L4xhs_0000026 705.5 716.2 
Parineeti_Chopra/Yf93Q8L4xhs_0000027 729.6 734.9 
