POI: 			Penn_Jillette 
Youtube ID: 	0txtXuZBqC4 
Video length: 	3919.9 sec 
Set (V): 		dev 
 
Penn_Jillette/0txtXuZBqC4_0000001 195.3 200.5 
Penn_Jillette/0txtXuZBqC4_0000002 238.8 247.3 
Penn_Jillette/0txtXuZBqC4_0000003 270.7 274.7 
Penn_Jillette/0txtXuZBqC4_0000004 292.8 297.2 
Penn_Jillette/0txtXuZBqC4_0000005 334.1 344.6 
Penn_Jillette/0txtXuZBqC4_0000006 368.3 375.6 
Penn_Jillette/0txtXuZBqC4_0000007 450.0 455.9 
Penn_Jillette/0txtXuZBqC4_0000008 606.2 612.7 
Penn_Jillette/0txtXuZBqC4_0000009 900.4 904.4 
Penn_Jillette/0txtXuZBqC4_0000010 912.2 917.5 
Penn_Jillette/0txtXuZBqC4_0000011 920.1 928.7 
Penn_Jillette/0txtXuZBqC4_0000012 930.1 934.6 
Penn_Jillette/0txtXuZBqC4_0000013 1009.1 1019.0 
Penn_Jillette/0txtXuZBqC4_0000014 1020.2 1024.6 
Penn_Jillette/0txtXuZBqC4_0000015 1075.9 1080.1 
Penn_Jillette/0txtXuZBqC4_0000016 1216.4 1220.7 
Penn_Jillette/0txtXuZBqC4_0000017 1231.8 1241.6 
Penn_Jillette/0txtXuZBqC4_0000018 1273.9 1280.1 
Penn_Jillette/0txtXuZBqC4_0000019 1317.6 1322.0 
Penn_Jillette/0txtXuZBqC4_0000020 1323.9 1330.6 
Penn_Jillette/0txtXuZBqC4_0000021 1336.9 1368.0 
Penn_Jillette/0txtXuZBqC4_0000022 1383.6 1389.2 
Penn_Jillette/0txtXuZBqC4_0000023 1485.8 1489.8 
Penn_Jillette/0txtXuZBqC4_0000024 1643.8 1651.0 
Penn_Jillette/0txtXuZBqC4_0000025 1652.9 1659.2 
Penn_Jillette/0txtXuZBqC4_0000026 1671.9 1676.6 
Penn_Jillette/0txtXuZBqC4_0000027 1678.2 1685.8 
Penn_Jillette/0txtXuZBqC4_0000028 1791.1 1804.2 
Penn_Jillette/0txtXuZBqC4_0000029 1803.1 1807.6 
Penn_Jillette/0txtXuZBqC4_0000030 1816.2 1828.0 
Penn_Jillette/0txtXuZBqC4_0000031 1828.6 1836.8 
Penn_Jillette/0txtXuZBqC4_0000032 1952.0 1956.7 
Penn_Jillette/0txtXuZBqC4_0000033 1958.4 1966.2 
Penn_Jillette/0txtXuZBqC4_0000034 1966.7 1970.7 
Penn_Jillette/0txtXuZBqC4_0000035 1974.3 1980.0 
Penn_Jillette/0txtXuZBqC4_0000036 2001.7 2010.7 
Penn_Jillette/0txtXuZBqC4_0000037 2014.5 2040.8 
Penn_Jillette/0txtXuZBqC4_0000038 2187.2 2194.9 
Penn_Jillette/0txtXuZBqC4_0000039 2212.6 2217.6 
Penn_Jillette/0txtXuZBqC4_0000040 2221.6 2228.0 
Penn_Jillette/0txtXuZBqC4_0000041 2365.8 2371.2 
Penn_Jillette/0txtXuZBqC4_0000042 2371.9 2378.8 
Penn_Jillette/0txtXuZBqC4_0000043 2395.3 2400.8 
Penn_Jillette/0txtXuZBqC4_0000044 2598.7 2603.5 
Penn_Jillette/0txtXuZBqC4_0000045 2604.6 2610.9 
Penn_Jillette/0txtXuZBqC4_0000046 2620.0 2628.4 
Penn_Jillette/0txtXuZBqC4_0000047 2628.6 2636.4 
Penn_Jillette/0txtXuZBqC4_0000048 2638.5 2649.0 
Penn_Jillette/0txtXuZBqC4_0000049 2650.3 2660.6 
Penn_Jillette/0txtXuZBqC4_0000050 2670.6 2676.0 
Penn_Jillette/0txtXuZBqC4_0000051 2678.5 2685.3 
Penn_Jillette/0txtXuZBqC4_0000052 2686.4 2694.6 
Penn_Jillette/0txtXuZBqC4_0000053 2766.7 2772.8 
Penn_Jillette/0txtXuZBqC4_0000054 2805.8 2811.1 
Penn_Jillette/0txtXuZBqC4_0000055 2813.2 2821.5 
Penn_Jillette/0txtXuZBqC4_0000056 2821.8 2825.9 
Penn_Jillette/0txtXuZBqC4_0000057 2919.2 2927.9 
Penn_Jillette/0txtXuZBqC4_0000058 2931.8 2942.6 
Penn_Jillette/0txtXuZBqC4_0000059 2964.8 2970.6 
Penn_Jillette/0txtXuZBqC4_0000060 2962.8 2971.9 
Penn_Jillette/0txtXuZBqC4_0000061 3072.7 3080.0 
Penn_Jillette/0txtXuZBqC4_0000062 3090.0 3097.6 
Penn_Jillette/0txtXuZBqC4_0000063 3135.2 3139.8 
Penn_Jillette/0txtXuZBqC4_0000064 3139.9 3146.3 
Penn_Jillette/0txtXuZBqC4_0000065 3258.5 3264.8 
Penn_Jillette/0txtXuZBqC4_0000066 3390.0 3394.4 
Penn_Jillette/0txtXuZBqC4_0000067 3431.6 3441.2 
Penn_Jillette/0txtXuZBqC4_0000068 3480.2 3490.4 
Penn_Jillette/0txtXuZBqC4_0000069 3490.4 3495.4 
Penn_Jillette/0txtXuZBqC4_0000070 3520.7 3527.3 
Penn_Jillette/0txtXuZBqC4_0000071 3527.5 3534.0 
Penn_Jillette/0txtXuZBqC4_0000072 3572.0 3581.2 
Penn_Jillette/0txtXuZBqC4_0000073 3583.6 3592.1 
Penn_Jillette/0txtXuZBqC4_0000074 3678.3 3684.7 
Penn_Jillette/0txtXuZBqC4_0000075 3688.9 3699.8 
Penn_Jillette/0txtXuZBqC4_0000076 3733.2 3747.9 
Penn_Jillette/0txtXuZBqC4_0000077 3748.1 3761.6 
Penn_Jillette/0txtXuZBqC4_0000078 3761.9 3768.3 
