POI: 			Penn_Jillette 
Youtube ID: 	rv_Xkz9zepI 
Video length: 	2279.2 sec 
Set (V): 		dev 
 
Penn_Jillette/rv_Xkz9zepI_0000001 06.5 16.6 
Penn_Jillette/rv_Xkz9zepI_0000002 27.1 33.8 
Penn_Jillette/rv_Xkz9zepI_0000003 36.0 47.3 
Penn_Jillette/rv_Xkz9zepI_0000004 54.9 66.0 
Penn_Jillette/rv_Xkz9zepI_0000005 73.0 79.7 
Penn_Jillette/rv_Xkz9zepI_0000006 85.3 92.7 
Penn_Jillette/rv_Xkz9zepI_0000007 93.4 98.6 
Penn_Jillette/rv_Xkz9zepI_0000008 120.2 130.5 
Penn_Jillette/rv_Xkz9zepI_0000009 131.0 140.0 
Penn_Jillette/rv_Xkz9zepI_0000010 145.3 151.2 
Penn_Jillette/rv_Xkz9zepI_0000011 153.1 161.4 
Penn_Jillette/rv_Xkz9zepI_0000012 162.2 171.7 
Penn_Jillette/rv_Xkz9zepI_0000013 179.2 183.6 
Penn_Jillette/rv_Xkz9zepI_0000014 190.1 204.9 
Penn_Jillette/rv_Xkz9zepI_0000015 211.6 216.2 
Penn_Jillette/rv_Xkz9zepI_0000016 215.4 225.4 
Penn_Jillette/rv_Xkz9zepI_0000017 234.0 238.8 
Penn_Jillette/rv_Xkz9zepI_0000018 248.0 256.2 
Penn_Jillette/rv_Xkz9zepI_0000019 256.8 264.5 
Penn_Jillette/rv_Xkz9zepI_0000020 270.1 276.0 
Penn_Jillette/rv_Xkz9zepI_0000021 288.9 295.1 
Penn_Jillette/rv_Xkz9zepI_0000022 308.8 315.2 
Penn_Jillette/rv_Xkz9zepI_0000023 325.3 339.6 
Penn_Jillette/rv_Xkz9zepI_0000024 341.8 352.7 
Penn_Jillette/rv_Xkz9zepI_0000025 355.8 359.8 
Penn_Jillette/rv_Xkz9zepI_0000026 372.9 377.4 
Penn_Jillette/rv_Xkz9zepI_0000027 379.3 387.6 
Penn_Jillette/rv_Xkz9zepI_0000028 396.6 405.3 
Penn_Jillette/rv_Xkz9zepI_0000029 412.4 420.4 
Penn_Jillette/rv_Xkz9zepI_0000030 420.6 427.7 
Penn_Jillette/rv_Xkz9zepI_0000031 458.9 463.6 
Penn_Jillette/rv_Xkz9zepI_0000032 484.0 488.9 
Penn_Jillette/rv_Xkz9zepI_0000033 496.4 508.0 
Penn_Jillette/rv_Xkz9zepI_0000034 512.9 522.2 
Penn_Jillette/rv_Xkz9zepI_0000035 523.2 541.4 
Penn_Jillette/rv_Xkz9zepI_0000036 541.7 547.7 
Penn_Jillette/rv_Xkz9zepI_0000037 585.6 591.8 
Penn_Jillette/rv_Xkz9zepI_0000038 591.9 606.4 
Penn_Jillette/rv_Xkz9zepI_0000039 558.4 572.5 
Penn_Jillette/rv_Xkz9zepI_0000040 606.4 611.3 
Penn_Jillette/rv_Xkz9zepI_0000041 624.6 632.5 
Penn_Jillette/rv_Xkz9zepI_0000042 633.2 637.8 
Penn_Jillette/rv_Xkz9zepI_0000043 638.3 647.3 
Penn_Jillette/rv_Xkz9zepI_0000044 648.2 663.8 
Penn_Jillette/rv_Xkz9zepI_0000045 684.0 699.0 
Penn_Jillette/rv_Xkz9zepI_0000046 719.9 729.5 
Penn_Jillette/rv_Xkz9zepI_0000047 746.2 756.7 
Penn_Jillette/rv_Xkz9zepI_0000048 758.7 765.0 
Penn_Jillette/rv_Xkz9zepI_0000049 765.5 769.8 
Penn_Jillette/rv_Xkz9zepI_0000050 824.7 829.4 
Penn_Jillette/rv_Xkz9zepI_0000051 840.4 850.1 
Penn_Jillette/rv_Xkz9zepI_0000052 851.0 858.8 
Penn_Jillette/rv_Xkz9zepI_0000053 863.3 872.4 
Penn_Jillette/rv_Xkz9zepI_0000054 892.6 903.5 
Penn_Jillette/rv_Xkz9zepI_0000055 906.7 914.2 
Penn_Jillette/rv_Xkz9zepI_0000056 915.2 929.0 
Penn_Jillette/rv_Xkz9zepI_0000057 929.1 934.0 
Penn_Jillette/rv_Xkz9zepI_0000058 934.2 945.3 
Penn_Jillette/rv_Xkz9zepI_0000059 950.9 955.2 
Penn_Jillette/rv_Xkz9zepI_0000060 963.8 968.8 
Penn_Jillette/rv_Xkz9zepI_0000061 969.3 973.6 
Penn_Jillette/rv_Xkz9zepI_0000062 975.5 991.4 
Penn_Jillette/rv_Xkz9zepI_0000063 994.4 1004.6 
Penn_Jillette/rv_Xkz9zepI_0000064 1006.7 1011.6 
Penn_Jillette/rv_Xkz9zepI_0000065 1029.2 1036.6 
Penn_Jillette/rv_Xkz9zepI_0000066 1038.2 1044.1 
Penn_Jillette/rv_Xkz9zepI_0000067 1048.0 1052.7 
Penn_Jillette/rv_Xkz9zepI_0000068 1057.7 1067.1 
Penn_Jillette/rv_Xkz9zepI_0000069 1093.7 1104.0 
Penn_Jillette/rv_Xkz9zepI_0000070 1131.0 1135.6 
Penn_Jillette/rv_Xkz9zepI_0000071 1144.1 1148.2 
Penn_Jillette/rv_Xkz9zepI_0000072 1177.4 1183.2 
Penn_Jillette/rv_Xkz9zepI_0000073 1185.2 1205.1 
Penn_Jillette/rv_Xkz9zepI_0000074 1215.3 1220.8 
Penn_Jillette/rv_Xkz9zepI_0000075 1222.8 1232.2 
Penn_Jillette/rv_Xkz9zepI_0000076 1234.4 1238.8 
Penn_Jillette/rv_Xkz9zepI_0000077 1261.1 1266.6 
Penn_Jillette/rv_Xkz9zepI_0000078 1272.4 1279.8 
Penn_Jillette/rv_Xkz9zepI_0000079 1282.1 1298.3 
Penn_Jillette/rv_Xkz9zepI_0000080 1298.6 1310.6 
Penn_Jillette/rv_Xkz9zepI_0000081 1316.9 1323.6 
Penn_Jillette/rv_Xkz9zepI_0000082 1326.5 1332.1 
Penn_Jillette/rv_Xkz9zepI_0000083 1338.6 1345.5 
Penn_Jillette/rv_Xkz9zepI_0000084 1349.5 1364.2 
Penn_Jillette/rv_Xkz9zepI_0000085 1368.4 1388.1 
Penn_Jillette/rv_Xkz9zepI_0000086 1404.8 1411.7 
Penn_Jillette/rv_Xkz9zepI_0000087 1412.3 1419.0 
Penn_Jillette/rv_Xkz9zepI_0000088 1421.4 1427.2 
Penn_Jillette/rv_Xkz9zepI_0000089 1428.0 1434.7 
Penn_Jillette/rv_Xkz9zepI_0000090 1438.6 1466.9 
Penn_Jillette/rv_Xkz9zepI_0000091 1469.4 1477.1 
Penn_Jillette/rv_Xkz9zepI_0000092 1482.6 1488.9 
Penn_Jillette/rv_Xkz9zepI_0000093 1480.3 1487.2 
Penn_Jillette/rv_Xkz9zepI_0000094 1500.1 1516.4 
Penn_Jillette/rv_Xkz9zepI_0000095 1517.7 1526.1 
Penn_Jillette/rv_Xkz9zepI_0000096 1526.9 1534.2 
Penn_Jillette/rv_Xkz9zepI_0000097 1533.9 1544.4 
Penn_Jillette/rv_Xkz9zepI_0000098 1553.3 1562.4 
Penn_Jillette/rv_Xkz9zepI_0000099 1564.3 1568.5 
Penn_Jillette/rv_Xkz9zepI_0000100 1568.8 1573.8 
Penn_Jillette/rv_Xkz9zepI_0000101 1570.9 1582.4 
Penn_Jillette/rv_Xkz9zepI_0000102 1586.3 1596.7 
Penn_Jillette/rv_Xkz9zepI_0000103 1605.0 1614.5 
Penn_Jillette/rv_Xkz9zepI_0000104 1615.4 1623.0 
Penn_Jillette/rv_Xkz9zepI_0000105 1721.7 1727.1 
Penn_Jillette/rv_Xkz9zepI_0000106 1650.9 1657.5 
Penn_Jillette/rv_Xkz9zepI_0000107 1659.1 1663.5 
Penn_Jillette/rv_Xkz9zepI_0000108 1671.4 1678.5 
Penn_Jillette/rv_Xkz9zepI_0000109 1678.8 1685.0 
Penn_Jillette/rv_Xkz9zepI_0000110 1686.0 1692.0 
Penn_Jillette/rv_Xkz9zepI_0000111 1692.7 1699.4 
Penn_Jillette/rv_Xkz9zepI_0000112 1699.5 1707.8 
Penn_Jillette/rv_Xkz9zepI_0000113 1709.4 1719.0 
Penn_Jillette/rv_Xkz9zepI_0000114 1727.8 1736.6 
Penn_Jillette/rv_Xkz9zepI_0000115 1738.8 1743.6 
Penn_Jillette/rv_Xkz9zepI_0000116 1744.9 1748.9 
Penn_Jillette/rv_Xkz9zepI_0000117 1783.8 1788.0 
Penn_Jillette/rv_Xkz9zepI_0000118 1795.6 1801.5 
Penn_Jillette/rv_Xkz9zepI_0000119 1789.8 1795.0 
Penn_Jillette/rv_Xkz9zepI_0000120 1839.1 1849.3 
Penn_Jillette/rv_Xkz9zepI_0000121 1858.7 1863.8 
Penn_Jillette/rv_Xkz9zepI_0000122 1885.3 1889.7 
Penn_Jillette/rv_Xkz9zepI_0000123 1901.8 1911.9 
Penn_Jillette/rv_Xkz9zepI_0000124 1928.7 1933.4 
Penn_Jillette/rv_Xkz9zepI_0000125 1939.5 1944.0 
Penn_Jillette/rv_Xkz9zepI_0000126 1950.9 1956.6 
Penn_Jillette/rv_Xkz9zepI_0000127 1952.3 1956.4 
Penn_Jillette/rv_Xkz9zepI_0000128 1958.9 1978.2 
Penn_Jillette/rv_Xkz9zepI_0000129 1984.2 1988.4 
Penn_Jillette/rv_Xkz9zepI_0000130 1986.5 1990.7 
Penn_Jillette/rv_Xkz9zepI_0000131 2013.4 2020.2 
Penn_Jillette/rv_Xkz9zepI_0000132 2020.6 2029.1 
Penn_Jillette/rv_Xkz9zepI_0000133 2085.1 2091.9 
