POI: 			John_Hurt 
Youtube ID: 	HhGAogrgF5E 
Video length: 	3063.3 sec 
Set (V): 		dev 
 
John_Hurt/HhGAogrgF5E_0000001 61.2 65.3 
John_Hurt/HhGAogrgF5E_0000002 77.6 84.3 
John_Hurt/HhGAogrgF5E_0000003 85.4 103.9 
John_Hurt/HhGAogrgF5E_0000004 115.9 124.0 
John_Hurt/HhGAogrgF5E_0000005 124.3 131.5 
John_Hurt/HhGAogrgF5E_0000006 164.4 170.3 
John_Hurt/HhGAogrgF5E_0000007 172.2 176.4 
John_Hurt/HhGAogrgF5E_0000008 193.6 198.2 
John_Hurt/HhGAogrgF5E_0000009 201.0 206.4 
John_Hurt/HhGAogrgF5E_0000010 206.5 210.9 
John_Hurt/HhGAogrgF5E_0000011 221.3 227.3 
John_Hurt/HhGAogrgF5E_0000012 227.6 233.1 
John_Hurt/HhGAogrgF5E_0000013 252.4 269.6 
John_Hurt/HhGAogrgF5E_0000014 302.0 309.7 
John_Hurt/HhGAogrgF5E_0000015 312.2 322.1 
John_Hurt/HhGAogrgF5E_0000016 323.6 329.3 
John_Hurt/HhGAogrgF5E_0000017 461.8 469.7 
John_Hurt/HhGAogrgF5E_0000018 473.9 481.4 
John_Hurt/HhGAogrgF5E_0000019 498.8 510.0 
John_Hurt/HhGAogrgF5E_0000020 511.6 517.2 
John_Hurt/HhGAogrgF5E_0000021 521.1 536.0 
John_Hurt/HhGAogrgF5E_0000022 538.6 547.6 
John_Hurt/HhGAogrgF5E_0000023 558.4 567.7 
John_Hurt/HhGAogrgF5E_0000024 572.8 576.9 
John_Hurt/HhGAogrgF5E_0000025 577.2 583.0 
John_Hurt/HhGAogrgF5E_0000026 583.5 589.0 
John_Hurt/HhGAogrgF5E_0000027 599.2 604.4 
John_Hurt/HhGAogrgF5E_0000028 636.6 641.4 
John_Hurt/HhGAogrgF5E_0000029 646.1 654.6 
John_Hurt/HhGAogrgF5E_0000030 656.5 662.2 
John_Hurt/HhGAogrgF5E_0000031 708.8 723.4 
John_Hurt/HhGAogrgF5E_0000032 732.4 736.3 
John_Hurt/HhGAogrgF5E_0000033 743.1 748.0 
John_Hurt/HhGAogrgF5E_0000034 799.1 803.6 
John_Hurt/HhGAogrgF5E_0000035 804.3 823.2 
John_Hurt/HhGAogrgF5E_0000036 823.4 831.2 
John_Hurt/HhGAogrgF5E_0000037 834.0 840.2 
John_Hurt/HhGAogrgF5E_0000038 855.4 866.4 
John_Hurt/HhGAogrgF5E_0000039 880.0 886.8 
John_Hurt/HhGAogrgF5E_0000040 896.4 900.8 
John_Hurt/HhGAogrgF5E_0000041 906.6 911.3 
John_Hurt/HhGAogrgF5E_0000042 933.9 943.0 
John_Hurt/HhGAogrgF5E_0000043 949.5 954.4 
John_Hurt/HhGAogrgF5E_0000044 955.4 968.5 
John_Hurt/HhGAogrgF5E_0000045 1029.3 1035.1 
John_Hurt/HhGAogrgF5E_0000046 1098.3 1107.4 
John_Hurt/HhGAogrgF5E_0000047 1108.8 1114.0 
John_Hurt/HhGAogrgF5E_0000048 1155.7 1162.7 
John_Hurt/HhGAogrgF5E_0000049 1163.2 1169.5 
John_Hurt/HhGAogrgF5E_0000050 1179.3 1186.8 
John_Hurt/HhGAogrgF5E_0000051 1203.1 1207.8 
John_Hurt/HhGAogrgF5E_0000052 1220.2 1231.2 
John_Hurt/HhGAogrgF5E_0000053 1232.0 1239.3 
John_Hurt/HhGAogrgF5E_0000054 1263.2 1268.2 
John_Hurt/HhGAogrgF5E_0000055 1270.0 1275.0 
John_Hurt/HhGAogrgF5E_0000056 1285.5 1292.3 
John_Hurt/HhGAogrgF5E_0000057 1318.2 1323.9 
John_Hurt/HhGAogrgF5E_0000058 1359.9 1364.4 
John_Hurt/HhGAogrgF5E_0000059 1374.6 1381.8 
John_Hurt/HhGAogrgF5E_0000060 1384.5 1392.3 
John_Hurt/HhGAogrgF5E_0000061 1395.6 1400.1 
John_Hurt/HhGAogrgF5E_0000062 1433.4 1437.7 
John_Hurt/HhGAogrgF5E_0000063 1443.2 1449.0 
John_Hurt/HhGAogrgF5E_0000064 1465.0 1472.7 
John_Hurt/HhGAogrgF5E_0000065 1478.3 1484.2 
John_Hurt/HhGAogrgF5E_0000066 1524.8 1529.3 
John_Hurt/HhGAogrgF5E_0000067 1574.8 1579.0 
John_Hurt/HhGAogrgF5E_0000068 1580.3 1587.2 
John_Hurt/HhGAogrgF5E_0000069 1588.4 1592.8 
John_Hurt/HhGAogrgF5E_0000070 1648.1 1653.4 
John_Hurt/HhGAogrgF5E_0000071 1653.8 1659.2 
John_Hurt/HhGAogrgF5E_0000072 1665.2 1670.5 
John_Hurt/HhGAogrgF5E_0000073 1676.1 1680.9 
John_Hurt/HhGAogrgF5E_0000074 1783.1 1787.2 
John_Hurt/HhGAogrgF5E_0000075 1889.4 1894.7 
John_Hurt/HhGAogrgF5E_0000076 1956.0 1960.2 
John_Hurt/HhGAogrgF5E_0000077 1984.9 1994.5 
John_Hurt/HhGAogrgF5E_0000078 2015.4 2021.1 
John_Hurt/HhGAogrgF5E_0000079 2038.6 2045.0 
John_Hurt/HhGAogrgF5E_0000080 2121.8 2127.8 
John_Hurt/HhGAogrgF5E_0000081 2130.2 2135.6 
John_Hurt/HhGAogrgF5E_0000082 2259.2 2264.9 
John_Hurt/HhGAogrgF5E_0000083 2337.2 2341.4 
John_Hurt/HhGAogrgF5E_0000084 2365.6 2370.4 
John_Hurt/HhGAogrgF5E_0000085 2381.7 2388.3 
John_Hurt/HhGAogrgF5E_0000086 2418.4 2423.5 
