POI: 			Usher_Raymond 
Youtube ID: 	QiP4_B02Nr8 
Video length: 	1122.5 sec 
Set (V): 		dev 
 
Usher_Raymond/QiP4_B02Nr8_0000001 85.4 89.7 
Usher_Raymond/QiP4_B02Nr8_0000002 113.9 121.7 
Usher_Raymond/QiP4_B02Nr8_0000003 123.9 128.3 
Usher_Raymond/QiP4_B02Nr8_0000004 129.1 134.5 
Usher_Raymond/QiP4_B02Nr8_0000005 145.0 149.5 
Usher_Raymond/QiP4_B02Nr8_0000006 261.6 274.9 
Usher_Raymond/QiP4_B02Nr8_0000007 279.4 286.2 
Usher_Raymond/QiP4_B02Nr8_0000008 287.2 293.2 
Usher_Raymond/QiP4_B02Nr8_0000009 293.6 298.0 
Usher_Raymond/QiP4_B02Nr8_0000010 301.0 306.8 
Usher_Raymond/QiP4_B02Nr8_0000011 307.4 317.1 
Usher_Raymond/QiP4_B02Nr8_0000012 317.2 323.2 
Usher_Raymond/QiP4_B02Nr8_0000013 323.7 328.9 
Usher_Raymond/QiP4_B02Nr8_0000014 403.6 407.6 
Usher_Raymond/QiP4_B02Nr8_0000015 408.3 415.3 
Usher_Raymond/QiP4_B02Nr8_0000016 422.8 438.6 
Usher_Raymond/QiP4_B02Nr8_0000017 448.1 458.8 
Usher_Raymond/QiP4_B02Nr8_0000018 474.4 486.8 
Usher_Raymond/QiP4_B02Nr8_0000019 493.8 497.8 
Usher_Raymond/QiP4_B02Nr8_0000020 517.6 523.9 
Usher_Raymond/QiP4_B02Nr8_0000021 609.0 618.1 
Usher_Raymond/QiP4_B02Nr8_0000022 662.9 668.2 
Usher_Raymond/QiP4_B02Nr8_0000023 690.6 695.6 
Usher_Raymond/QiP4_B02Nr8_0000024 761.8 766.6 
Usher_Raymond/QiP4_B02Nr8_0000025 787.1 792.6 
Usher_Raymond/QiP4_B02Nr8_0000026 817.2 839.4 
Usher_Raymond/QiP4_B02Nr8_0000027 840.0 849.5 
Usher_Raymond/QiP4_B02Nr8_0000028 888.3 901.6 
Usher_Raymond/QiP4_B02Nr8_0000029 908.8 914.9 
Usher_Raymond/QiP4_B02Nr8_0000030 915.9 921.8 
Usher_Raymond/QiP4_B02Nr8_0000031 927.0 936.7 
Usher_Raymond/QiP4_B02Nr8_0000032 942.2 961.1 
Usher_Raymond/QiP4_B02Nr8_0000033 974.8 984.0 
Usher_Raymond/QiP4_B02Nr8_0000034 967.0 972.9 
Usher_Raymond/QiP4_B02Nr8_0000035 986.5 994.8 
Usher_Raymond/QiP4_B02Nr8_0000036 994.9 1000.3 
Usher_Raymond/QiP4_B02Nr8_0000037 1030.8 1036.8 
