POI: 			John_Abraham 
Youtube ID: 	oUHGKXT4Aew 
Video length: 	1002.2 sec 
Set (V): 		dev 
 
John_Abraham/oUHGKXT4Aew_0000001 51.4 56.3 
John_Abraham/oUHGKXT4Aew_0000002 76.5 80.9 
John_Abraham/oUHGKXT4Aew_0000003 90.5 94.8 
John_Abraham/oUHGKXT4Aew_0000004 144.4 148.9 
John_Abraham/oUHGKXT4Aew_0000005 221.2 226.1 
John_Abraham/oUHGKXT4Aew_0000006 286.6 290.6 
John_Abraham/oUHGKXT4Aew_0000007 329.6 335.5 
John_Abraham/oUHGKXT4Aew_0000008 341.3 345.4 
John_Abraham/oUHGKXT4Aew_0000009 412.4 416.7 
John_Abraham/oUHGKXT4Aew_0000010 433.4 439.0 
John_Abraham/oUHGKXT4Aew_0000011 497.0 501.9 
John_Abraham/oUHGKXT4Aew_0000012 502.2 506.5 
John_Abraham/oUHGKXT4Aew_0000013 518.1 522.2 
John_Abraham/oUHGKXT4Aew_0000014 525.4 529.7 
John_Abraham/oUHGKXT4Aew_0000015 565.3 570.4 
John_Abraham/oUHGKXT4Aew_0000016 583.1 591.0 
John_Abraham/oUHGKXT4Aew_0000017 646.9 652.1 
John_Abraham/oUHGKXT4Aew_0000018 662.6 668.6 
John_Abraham/oUHGKXT4Aew_0000019 672.8 679.2 
John_Abraham/oUHGKXT4Aew_0000020 692.6 698.7 
John_Abraham/oUHGKXT4Aew_0000021 770.8 775.4 
John_Abraham/oUHGKXT4Aew_0000022 775.5 781.1 
John_Abraham/oUHGKXT4Aew_0000023 822.7 827.0 
John_Abraham/oUHGKXT4Aew_0000024 838.2 843.4 
John_Abraham/oUHGKXT4Aew_0000025 877.6 884.6 
John_Abraham/oUHGKXT4Aew_0000026 912.6 916.7 
John_Abraham/oUHGKXT4Aew_0000027 922.4 926.4 
John_Abraham/oUHGKXT4Aew_0000028 933.5 939.7 
John_Abraham/oUHGKXT4Aew_0000029 958.8 963.1 
