POI: 			Tamara_Taylor 
Youtube ID: 	j3RAP5Rzss8 
Video length: 	491.0 sec 
Set (V): 		dev 
 
Tamara_Taylor/j3RAP5Rzss8_0000001 07.3 14.2 
Tamara_Taylor/j3RAP5Rzss8_0000002 15.9 21.0 
Tamara_Taylor/j3RAP5Rzss8_0000003 29.2 49.9 
Tamara_Taylor/j3RAP5Rzss8_0000004 53.3 58.9 
Tamara_Taylor/j3RAP5Rzss8_0000005 66.8 77.8 
Tamara_Taylor/j3RAP5Rzss8_0000006 79.8 85.5 
Tamara_Taylor/j3RAP5Rzss8_0000007 86.4 92.3 
Tamara_Taylor/j3RAP5Rzss8_0000008 102.4 109.9 
Tamara_Taylor/j3RAP5Rzss8_0000009 133.4 141.2 
Tamara_Taylor/j3RAP5Rzss8_0000010 147.5 172.0 
Tamara_Taylor/j3RAP5Rzss8_0000011 251.6 258.0 
Tamara_Taylor/j3RAP5Rzss8_0000012 258.2 270.6 
Tamara_Taylor/j3RAP5Rzss8_0000013 282.8 295.2 
Tamara_Taylor/j3RAP5Rzss8_0000014 302.9 307.4 
Tamara_Taylor/j3RAP5Rzss8_0000015 308.0 322.7 
Tamara_Taylor/j3RAP5Rzss8_0000016 327.0 331.6 
Tamara_Taylor/j3RAP5Rzss8_0000017 382.7 398.4 
Tamara_Taylor/j3RAP5Rzss8_0000018 409.2 416.1 
