POI: 			Tamara_Taylor 
Youtube ID: 	XRfJw9GmoeM 
Video length: 	323.1 sec 
Set (V): 		dev 
 
Tamara_Taylor/XRfJw9GmoeM_0000001 20.7 27.2 
Tamara_Taylor/XRfJw9GmoeM_0000002 29.3 36.8 
Tamara_Taylor/XRfJw9GmoeM_0000003 51.4 61.0 
Tamara_Taylor/XRfJw9GmoeM_0000004 63.4 70.6 
Tamara_Taylor/XRfJw9GmoeM_0000005 79.4 85.6 
Tamara_Taylor/XRfJw9GmoeM_0000006 95.7 113.9 
Tamara_Taylor/XRfJw9GmoeM_0000007 122.9 129.0 
Tamara_Taylor/XRfJw9GmoeM_0000008 129.5 135.3 
Tamara_Taylor/XRfJw9GmoeM_0000009 136.8 142.2 
Tamara_Taylor/XRfJw9GmoeM_0000010 144.1 149.3 
Tamara_Taylor/XRfJw9GmoeM_0000011 163.5 181.9 
Tamara_Taylor/XRfJw9GmoeM_0000012 198.9 210.4 
Tamara_Taylor/XRfJw9GmoeM_0000013 214.8 222.1 
Tamara_Taylor/XRfJw9GmoeM_0000014 226.5 246.4 
Tamara_Taylor/XRfJw9GmoeM_0000015 266.3 271.9 
Tamara_Taylor/XRfJw9GmoeM_0000016 279.6 289.7 
Tamara_Taylor/XRfJw9GmoeM_0000017 292.0 307.9 
