POI: 			Padma_Lakshmi 
Youtube ID: 	CzidftOsE5c 
Video length: 	2812.8 sec 
Set (V): 		dev 
 
Padma_Lakshmi/CzidftOsE5c_0000001 62.8 83.1 
Padma_Lakshmi/CzidftOsE5c_0000002 110.1 124.6 
Padma_Lakshmi/CzidftOsE5c_0000003 125.7 134.5 
Padma_Lakshmi/CzidftOsE5c_0000004 135.9 140.0 
Padma_Lakshmi/CzidftOsE5c_0000005 142.4 160.5 
Padma_Lakshmi/CzidftOsE5c_0000006 162.5 183.8 
Padma_Lakshmi/CzidftOsE5c_0000007 192.3 209.3 
Padma_Lakshmi/CzidftOsE5c_0000008 209.9 228.2 
Padma_Lakshmi/CzidftOsE5c_0000009 236.4 242.6 
Padma_Lakshmi/CzidftOsE5c_0000010 297.2 301.6 
Padma_Lakshmi/CzidftOsE5c_0000011 318.6 333.7 
Padma_Lakshmi/CzidftOsE5c_0000012 334.7 339.5 
Padma_Lakshmi/CzidftOsE5c_0000013 340.2 347.1 
Padma_Lakshmi/CzidftOsE5c_0000014 404.4 421.7 
Padma_Lakshmi/CzidftOsE5c_0000015 440.2 453.4 
Padma_Lakshmi/CzidftOsE5c_0000016 456.7 462.5 
Padma_Lakshmi/CzidftOsE5c_0000017 463.8 501.8 
Padma_Lakshmi/CzidftOsE5c_0000018 543.9 581.5 
Padma_Lakshmi/CzidftOsE5c_0000019 583.9 587.8 
Padma_Lakshmi/CzidftOsE5c_0000020 630.8 649.0 
Padma_Lakshmi/CzidftOsE5c_0000021 649.9 680.8 
Padma_Lakshmi/CzidftOsE5c_0000022 682.6 686.6 
Padma_Lakshmi/CzidftOsE5c_0000023 693.8 701.1 
Padma_Lakshmi/CzidftOsE5c_0000024 710.7 717.5 
Padma_Lakshmi/CzidftOsE5c_0000025 765.8 773.6 
Padma_Lakshmi/CzidftOsE5c_0000026 776.0 781.9 
Padma_Lakshmi/CzidftOsE5c_0000027 812.6 818.4 
Padma_Lakshmi/CzidftOsE5c_0000028 819.3 835.3 
Padma_Lakshmi/CzidftOsE5c_0000029 851.0 859.3 
Padma_Lakshmi/CzidftOsE5c_0000030 894.4 899.3 
Padma_Lakshmi/CzidftOsE5c_0000031 903.8 908.0 
Padma_Lakshmi/CzidftOsE5c_0000032 908.1 919.9 
Padma_Lakshmi/CzidftOsE5c_0000033 920.5 925.7 
Padma_Lakshmi/CzidftOsE5c_0000034 930.6 946.2 
Padma_Lakshmi/CzidftOsE5c_0000035 955.0 963.0 
Padma_Lakshmi/CzidftOsE5c_0000036 1006.3 1012.4 
Padma_Lakshmi/CzidftOsE5c_0000037 1012.4 1022.4 
Padma_Lakshmi/CzidftOsE5c_0000038 1070.7 1087.8 
Padma_Lakshmi/CzidftOsE5c_0000039 1094.3 1101.0 
Padma_Lakshmi/CzidftOsE5c_0000040 1103.5 1110.1 
Padma_Lakshmi/CzidftOsE5c_0000041 1110.5 1124.6 
Padma_Lakshmi/CzidftOsE5c_0000042 1128.3 1132.7 
Padma_Lakshmi/CzidftOsE5c_0000043 1134.0 1139.5 
Padma_Lakshmi/CzidftOsE5c_0000044 1149.1 1157.0 
Padma_Lakshmi/CzidftOsE5c_0000045 1171.6 1176.2 
Padma_Lakshmi/CzidftOsE5c_0000046 1177.2 1182.4 
Padma_Lakshmi/CzidftOsE5c_0000047 1227.4 1232.6 
Padma_Lakshmi/CzidftOsE5c_0000048 1234.2 1238.2 
Padma_Lakshmi/CzidftOsE5c_0000049 1239.3 1261.2 
Padma_Lakshmi/CzidftOsE5c_0000050 1265.9 1284.0 
Padma_Lakshmi/CzidftOsE5c_0000051 1287.1 1292.7 
Padma_Lakshmi/CzidftOsE5c_0000052 1303.0 1310.6 
Padma_Lakshmi/CzidftOsE5c_0000053 1383.9 1389.6 
Padma_Lakshmi/CzidftOsE5c_0000054 1390.0 1394.3 
Padma_Lakshmi/CzidftOsE5c_0000055 1410.9 1414.9 
Padma_Lakshmi/CzidftOsE5c_0000056 1429.3 1443.9 
Padma_Lakshmi/CzidftOsE5c_0000057 1446.8 1456.8 
Padma_Lakshmi/CzidftOsE5c_0000058 1717.1 1724.2 
