POI: 			Tom_Bergeron 
Youtube ID: 	K0UVl6K5FxY 
Video length: 	255.1 sec 
Set (V): 		dev 
 
Tom_Bergeron/K0UVl6K5FxY_0000001 06.1 12.8 
Tom_Bergeron/K0UVl6K5FxY_0000002 13.0 25.0 
Tom_Bergeron/K0UVl6K5FxY_0000003 27.3 49.7 
Tom_Bergeron/K0UVl6K5FxY_0000004 50.7 59.8 
Tom_Bergeron/K0UVl6K5FxY_0000005 62.8 68.0 
Tom_Bergeron/K0UVl6K5FxY_0000006 69.9 80.9 
Tom_Bergeron/K0UVl6K5FxY_0000007 81.1 111.7 
Tom_Bergeron/K0UVl6K5FxY_0000008 114.9 128.3 
Tom_Bergeron/K0UVl6K5FxY_0000009 128.9 150.3 
Tom_Bergeron/K0UVl6K5FxY_0000010 153.9 160.0 
Tom_Bergeron/K0UVl6K5FxY_0000011 160.2 164.5 
Tom_Bergeron/K0UVl6K5FxY_0000012 170.6 178.2 
Tom_Bergeron/K0UVl6K5FxY_0000013 178.5 190.1 
Tom_Bergeron/K0UVl6K5FxY_0000014 195.4 199.5 
Tom_Bergeron/K0UVl6K5FxY_0000015 199.8 217.7 
Tom_Bergeron/K0UVl6K5FxY_0000016 224.4 243.8 
