POI: 			Dick_Van_Dyke 
Youtube ID: 	RMDXpJ5e_kE 
Video length: 	7328.7 sec 
Set (V): 		dev 
 
Dick_Van_Dyke/RMDXpJ5e_kE_0000001 357.3 362.5 
Dick_Van_Dyke/RMDXpJ5e_kE_0000002 365.5 372.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000003 375.4 382.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000004 445.8 455.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000005 465.6 471.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000006 501.6 507.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000007 517.2 521.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000008 541.8 545.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000009 575.0 588.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000010 701.3 706.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000011 707.6 715.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000012 716.3 720.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000013 731.8 743.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000014 744.4 750.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000015 781.3 787.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000016 896.8 908.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000017 911.5 920.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000018 1018.0 1022.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000019 1042.2 1046.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000020 1061.7 1071.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000021 1113.0 1117.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000022 1155.1 1161.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000023 1201.6 1206.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000024 1305.7 1311.9 
Dick_Van_Dyke/RMDXpJ5e_kE_0000025 1325.7 1332.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000026 1371.3 1380.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000027 1393.7 1398.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000028 1398.6 1410.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000029 1411.3 1415.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000030 1423.7 1427.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000031 1454.9 1463.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000032 1465.7 1472.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000033 1502.0 1508.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000034 1534.2 1539.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000035 1540.0 1544.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000036 1548.6 1554.9 
Dick_Van_Dyke/RMDXpJ5e_kE_0000037 1555.4 1560.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000038 1611.8 1618.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000039 1687.4 1708.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000040 1716.6 1722.5 
Dick_Van_Dyke/RMDXpJ5e_kE_0000041 1792.9 1799.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000042 1800.0 1805.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000043 1904.1 1908.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000044 1909.6 1919.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000045 2012.7 2018.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000046 2025.2 2030.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000047 2072.8 2077.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000048 2083.8 2092.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000049 2104.7 2113.5 
Dick_Van_Dyke/RMDXpJ5e_kE_0000050 2163.4 2171.5 
Dick_Van_Dyke/RMDXpJ5e_kE_0000051 2221.9 2225.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000052 2232.3 2236.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000053 2333.9 2338.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000054 2338.7 2344.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000055 2379.8 2385.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000056 2395.8 2402.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000057 2408.3 2412.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000058 2422.9 2428.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000059 2555.8 2561.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000060 2562.4 2567.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000061 2590.5 2597.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000062 2620.5 2626.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000063 2638.1 2647.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000064 2691.2 2696.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000065 2730.5 2740.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000066 2773.8 2779.9 
Dick_Van_Dyke/RMDXpJ5e_kE_0000067 2835.4 2852.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000068 2861.4 2870.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000069 2910.4 2915.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000070 2917.7 2923.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000071 2924.4 2935.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000072 3127.3 3132.5 
Dick_Van_Dyke/RMDXpJ5e_kE_0000073 3182.0 3186.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000074 3186.8 3193.9 
Dick_Van_Dyke/RMDXpJ5e_kE_0000075 3255.7 3260.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000076 3275.0 3289.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000077 3300.8 3314.9 
Dick_Van_Dyke/RMDXpJ5e_kE_0000078 3319.1 3324.5 
Dick_Van_Dyke/RMDXpJ5e_kE_0000079 3337.1 3345.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000080 3346.4 3352.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000081 3346.4 3356.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000082 3369.8 3382.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000083 3393.2 3405.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000084 3406.7 3418.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000085 3421.0 3425.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000086 3459.0 3465.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000087 3628.2 3636.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000088 3641.4 3650.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000089 3682.2 3688.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000090 3702.6 3707.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000091 3711.2 3715.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000092 3770.2 3775.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000093 3779.9 3784.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000094 3770.0 3775.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000095 3779.5 3785.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000096 3841.8 3855.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000097 3882.7 3894.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000098 3906.5 3912.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000099 3912.2 3918.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000100 3920.9 3925.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000101 3961.5 3965.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000102 4031.4 4036.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000103 4041.6 4046.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000104 4140.2 4148.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000105 4150.9 4155.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000106 4155.9 4161.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000107 4162.3 4172.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000108 4177.8 4184.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000109 4196.4 4201.7 
