POI: 			Dick_Van_Dyke 
Youtube ID: 	3ez0KTAsvZE 
Video length: 	1675.5 sec 
Set (V): 		dev 
 
Dick_Van_Dyke/3ez0KTAsvZE_0000001 20.2 27.0 
Dick_Van_Dyke/3ez0KTAsvZE_0000002 37.8 42.0 
Dick_Van_Dyke/3ez0KTAsvZE_0000003 43.0 47.1 
Dick_Van_Dyke/3ez0KTAsvZE_0000004 183.2 188.0 
Dick_Van_Dyke/3ez0KTAsvZE_0000005 199.1 216.0 
Dick_Van_Dyke/3ez0KTAsvZE_0000006 223.8 232.6 
Dick_Van_Dyke/3ez0KTAsvZE_0000007 241.8 249.8 
Dick_Van_Dyke/3ez0KTAsvZE_0000008 265.4 272.6 
Dick_Van_Dyke/3ez0KTAsvZE_0000009 285.6 290.0 
Dick_Van_Dyke/3ez0KTAsvZE_0000010 293.0 304.1 
Dick_Van_Dyke/3ez0KTAsvZE_0000011 309.6 314.2 
Dick_Van_Dyke/3ez0KTAsvZE_0000012 318.0 324.0 
Dick_Van_Dyke/3ez0KTAsvZE_0000013 416.6 422.8 
Dick_Van_Dyke/3ez0KTAsvZE_0000014 423.3 429.2 
Dick_Van_Dyke/3ez0KTAsvZE_0000015 433.2 438.2 
Dick_Van_Dyke/3ez0KTAsvZE_0000016 454.8 459.2 
Dick_Van_Dyke/3ez0KTAsvZE_0000017 464.9 486.0 
Dick_Van_Dyke/3ez0KTAsvZE_0000018 507.7 512.5 
Dick_Van_Dyke/3ez0KTAsvZE_0000019 540.5 546.8 
Dick_Van_Dyke/3ez0KTAsvZE_0000020 547.0 551.2 
Dick_Van_Dyke/3ez0KTAsvZE_0000021 641.1 657.1 
Dick_Van_Dyke/3ez0KTAsvZE_0000022 659.3 665.8 
Dick_Van_Dyke/3ez0KTAsvZE_0000023 668.9 683.2 
Dick_Van_Dyke/3ez0KTAsvZE_0000024 695.0 699.1 
Dick_Van_Dyke/3ez0KTAsvZE_0000025 784.7 799.4 
Dick_Van_Dyke/3ez0KTAsvZE_0000026 807.0 812.6 
Dick_Van_Dyke/3ez0KTAsvZE_0000027 814.2 823.8 
Dick_Van_Dyke/3ez0KTAsvZE_0000028 838.7 850.6 
Dick_Van_Dyke/3ez0KTAsvZE_0000029 860.2 865.2 
Dick_Van_Dyke/3ez0KTAsvZE_0000030 924.6 931.2 
Dick_Van_Dyke/3ez0KTAsvZE_0000031 935.5 945.0 
Dick_Van_Dyke/3ez0KTAsvZE_0000032 961.1 965.9 
Dick_Van_Dyke/3ez0KTAsvZE_0000033 973.3 979.4 
Dick_Van_Dyke/3ez0KTAsvZE_0000034 988.8 993.3 
Dick_Van_Dyke/3ez0KTAsvZE_0000035 1087.1 1091.1 
Dick_Van_Dyke/3ez0KTAsvZE_0000036 1094.3 1099.1 
Dick_Van_Dyke/3ez0KTAsvZE_0000037 1114.0 1122.9 
Dick_Van_Dyke/3ez0KTAsvZE_0000038 1150.5 1156.8 
Dick_Van_Dyke/3ez0KTAsvZE_0000039 1287.8 1292.6 
Dick_Van_Dyke/3ez0KTAsvZE_0000040 1381.1 1385.2 
Dick_Van_Dyke/3ez0KTAsvZE_0000041 1386.1 1390.9 
Dick_Van_Dyke/3ez0KTAsvZE_0000042 1446.8 1457.0 
Dick_Van_Dyke/3ez0KTAsvZE_0000043 1496.0 1501.2 
Dick_Van_Dyke/3ez0KTAsvZE_0000044 1517.4 1523.4 
Dick_Van_Dyke/3ez0KTAsvZE_0000045 1530.2 1540.8 
Dick_Van_Dyke/3ez0KTAsvZE_0000046 1541.0 1549.8 
Dick_Van_Dyke/3ez0KTAsvZE_0000047 1550.4 1559.3 
Dick_Van_Dyke/3ez0KTAsvZE_0000048 1562.3 1567.3 
Dick_Van_Dyke/3ez0KTAsvZE_0000049 1562.3 1570.9 
Dick_Van_Dyke/3ez0KTAsvZE_0000050 1585.8 1592.2 
Dick_Van_Dyke/3ez0KTAsvZE_0000051 1592.5 1596.8 
