POI: 			Ronda_Rousey 
Youtube ID: 	LO3nU7eFEQ0 
Video length: 	594.1 sec 
Set (V): 		dev 
 
Ronda_Rousey/LO3nU7eFEQ0_0000001 42.2 54.8 
Ronda_Rousey/LO3nU7eFEQ0_0000002 55.1 61.1 
Ronda_Rousey/LO3nU7eFEQ0_0000003 74.0 79.9 
Ronda_Rousey/LO3nU7eFEQ0_0000004 89.1 102.7 
Ronda_Rousey/LO3nU7eFEQ0_0000005 103.7 107.9 
Ronda_Rousey/LO3nU7eFEQ0_0000006 112.1 119.8 
Ronda_Rousey/LO3nU7eFEQ0_0000007 120.2 124.6 
Ronda_Rousey/LO3nU7eFEQ0_0000008 137.8 144.4 
Ronda_Rousey/LO3nU7eFEQ0_0000009 144.8 149.9 
Ronda_Rousey/LO3nU7eFEQ0_0000010 160.1 168.8 
Ronda_Rousey/LO3nU7eFEQ0_0000011 178.4 182.7 
Ronda_Rousey/LO3nU7eFEQ0_0000012 202.2 208.5 
Ronda_Rousey/LO3nU7eFEQ0_0000013 232.6 246.3 
Ronda_Rousey/LO3nU7eFEQ0_0000014 248.3 256.7 
Ronda_Rousey/LO3nU7eFEQ0_0000015 258.7 267.0 
Ronda_Rousey/LO3nU7eFEQ0_0000016 301.7 312.4 
Ronda_Rousey/LO3nU7eFEQ0_0000017 313.9 327.0 
Ronda_Rousey/LO3nU7eFEQ0_0000018 346.5 373.4 
Ronda_Rousey/LO3nU7eFEQ0_0000019 352.4 363.5 
Ronda_Rousey/LO3nU7eFEQ0_0000020 401.9 410.1 
Ronda_Rousey/LO3nU7eFEQ0_0000021 437.9 452.2 
Ronda_Rousey/LO3nU7eFEQ0_0000022 452.7 458.4 
Ronda_Rousey/LO3nU7eFEQ0_0000023 462.2 474.9 
Ronda_Rousey/LO3nU7eFEQ0_0000024 475.5 489.0 
Ronda_Rousey/LO3nU7eFEQ0_0000025 492.6 501.2 
Ronda_Rousey/LO3nU7eFEQ0_0000026 515.4 521.5 
Ronda_Rousey/LO3nU7eFEQ0_0000027 552.0 560.3 
