POI: 			Milla_Jovovich 
Youtube ID: 	RnolRWxoyOA 
Video length: 	767.9 sec 
Set (V): 		dev 
 
Milla_Jovovich/RnolRWxoyOA_0000001 41.5 48.7 
Milla_Jovovich/RnolRWxoyOA_0000002 63.9 71.2 
Milla_Jovovich/RnolRWxoyOA_0000003 72.0 77.0 
Milla_Jovovich/RnolRWxoyOA_0000004 75.4 79.9 
Milla_Jovovich/RnolRWxoyOA_0000005 80.5 86.1 
Milla_Jovovich/RnolRWxoyOA_0000006 97.5 115.2 
Milla_Jovovich/RnolRWxoyOA_0000007 122.4 130.2 
Milla_Jovovich/RnolRWxoyOA_0000008 174.3 185.5 
Milla_Jovovich/RnolRWxoyOA_0000009 236.2 242.8 
Milla_Jovovich/RnolRWxoyOA_0000010 284.0 289.9 
Milla_Jovovich/RnolRWxoyOA_0000011 290.7 298.6 
Milla_Jovovich/RnolRWxoyOA_0000012 300.1 307.2 
Milla_Jovovich/RnolRWxoyOA_0000013 351.0 356.6 
Milla_Jovovich/RnolRWxoyOA_0000014 464.6 469.1 
Milla_Jovovich/RnolRWxoyOA_0000015 530.6 535.9 
Milla_Jovovich/RnolRWxoyOA_0000016 538.5 544.6 
Milla_Jovovich/RnolRWxoyOA_0000017 553.0 559.2 
Milla_Jovovich/RnolRWxoyOA_0000018 564.5 572.1 
Milla_Jovovich/RnolRWxoyOA_0000019 592.8 597.6 
Milla_Jovovich/RnolRWxoyOA_0000020 628.4 636.8 
Milla_Jovovich/RnolRWxoyOA_0000021 658.4 665.4 
