POI: 			Milla_Jovovich 
Youtube ID: 	XfcoRy4LZjY 
Video length: 	489.9 sec 
Set (V): 		dev 
 
Milla_Jovovich/XfcoRy4LZjY_0000001 30.3 40.5 
Milla_Jovovich/XfcoRy4LZjY_0000002 77.7 88.0 
Milla_Jovovich/XfcoRy4LZjY_0000003 107.8 112.7 
Milla_Jovovich/XfcoRy4LZjY_0000004 152.4 157.1 
Milla_Jovovich/XfcoRy4LZjY_0000005 157.2 163.9 
Milla_Jovovich/XfcoRy4LZjY_0000006 173.3 186.3 
Milla_Jovovich/XfcoRy4LZjY_0000007 187.8 193.4 
Milla_Jovovich/XfcoRy4LZjY_0000008 195.3 200.6 
Milla_Jovovich/XfcoRy4LZjY_0000009 203.3 207.9 
Milla_Jovovich/XfcoRy4LZjY_0000010 235.5 241.3 
Milla_Jovovich/XfcoRy4LZjY_0000011 247.6 254.9 
Milla_Jovovich/XfcoRy4LZjY_0000012 256.5 273.3 
Milla_Jovovich/XfcoRy4LZjY_0000013 300.2 306.0 
Milla_Jovovich/XfcoRy4LZjY_0000014 311.4 320.0 
Milla_Jovovich/XfcoRy4LZjY_0000015 324.2 333.4 
Milla_Jovovich/XfcoRy4LZjY_0000016 335.4 344.5 
Milla_Jovovich/XfcoRy4LZjY_0000017 353.6 361.6 
Milla_Jovovich/XfcoRy4LZjY_0000018 371.3 379.2 
Milla_Jovovich/XfcoRy4LZjY_0000019 401.2 405.6 
Milla_Jovovich/XfcoRy4LZjY_0000020 415.0 421.9 
Milla_Jovovich/XfcoRy4LZjY_0000021 440.3 446.6 
Milla_Jovovich/XfcoRy4LZjY_0000022 461.6 468.2 
Milla_Jovovich/XfcoRy4LZjY_0000023 480.7 488.2 
