POI: 			Paul_Feig 
Youtube ID: 	B8oFwcURrps 
Video length: 	981.1 sec 
Set (V): 		dev 
 
Paul_Feig/B8oFwcURrps_0000001 55.1 66.8 
Paul_Feig/B8oFwcURrps_0000002 66.1 70.2 
Paul_Feig/B8oFwcURrps_0000003 72.7 76.8 
Paul_Feig/B8oFwcURrps_0000004 80.9 99.8 
Paul_Feig/B8oFwcURrps_0000005 124.9 134.4 
Paul_Feig/B8oFwcURrps_0000006 152.9 170.1 
Paul_Feig/B8oFwcURrps_0000007 175.0 187.4 
Paul_Feig/B8oFwcURrps_0000008 191.2 198.3 
Paul_Feig/B8oFwcURrps_0000009 234.1 238.9 
Paul_Feig/B8oFwcURrps_0000010 239.7 258.8 
Paul_Feig/B8oFwcURrps_0000011 260.9 270.7 
Paul_Feig/B8oFwcURrps_0000012 312.8 317.8 
Paul_Feig/B8oFwcURrps_0000013 320.7 327.7 
Paul_Feig/B8oFwcURrps_0000014 328.8 333.2 
Paul_Feig/B8oFwcURrps_0000015 333.5 348.0 
Paul_Feig/B8oFwcURrps_0000016 350.2 357.3 
Paul_Feig/B8oFwcURrps_0000017 363.0 384.2 
Paul_Feig/B8oFwcURrps_0000018 398.9 403.6 
Paul_Feig/B8oFwcURrps_0000019 406.5 414.0 
Paul_Feig/B8oFwcURrps_0000020 414.9 419.2 
Paul_Feig/B8oFwcURrps_0000021 421.6 434.9 
Paul_Feig/B8oFwcURrps_0000022 435.2 441.3 
Paul_Feig/B8oFwcURrps_0000023 442.1 447.6 
Paul_Feig/B8oFwcURrps_0000024 449.7 461.4 
Paul_Feig/B8oFwcURrps_0000025 484.0 490.0 
Paul_Feig/B8oFwcURrps_0000026 497.2 505.7 
Paul_Feig/B8oFwcURrps_0000027 506.8 514.8 
Paul_Feig/B8oFwcURrps_0000028 516.0 521.2 
Paul_Feig/B8oFwcURrps_0000029 521.6 535.4 
Paul_Feig/B8oFwcURrps_0000030 522.4 527.9 
Paul_Feig/B8oFwcURrps_0000031 553.8 575.4 
Paul_Feig/B8oFwcURrps_0000032 578.6 614.3 
Paul_Feig/B8oFwcURrps_0000033 642.4 660.1 
Paul_Feig/B8oFwcURrps_0000034 670.1 675.0 
Paul_Feig/B8oFwcURrps_0000035 677.2 685.3 
Paul_Feig/B8oFwcURrps_0000036 693.0 700.8 
Paul_Feig/B8oFwcURrps_0000037 738.2 742.6 
Paul_Feig/B8oFwcURrps_0000038 750.7 763.6 
Paul_Feig/B8oFwcURrps_0000039 763.7 768.6 
Paul_Feig/B8oFwcURrps_0000040 773.8 779.2 
Paul_Feig/B8oFwcURrps_0000041 779.8 794.0 
Paul_Feig/B8oFwcURrps_0000042 785.4 790.3 
Paul_Feig/B8oFwcURrps_0000043 816.6 820.6 
Paul_Feig/B8oFwcURrps_0000044 821.0 825.6 
Paul_Feig/B8oFwcURrps_0000045 830.2 838.2 
Paul_Feig/B8oFwcURrps_0000046 840.3 853.6 
Paul_Feig/B8oFwcURrps_0000047 853.7 859.1 
Paul_Feig/B8oFwcURrps_0000048 859.5 866.4 
Paul_Feig/B8oFwcURrps_0000049 867.2 882.8 
Paul_Feig/B8oFwcURrps_0000050 890.5 907.3 
Paul_Feig/B8oFwcURrps_0000051 909.6 930.4 
Paul_Feig/B8oFwcURrps_0000052 930.7 938.2 
Paul_Feig/B8oFwcURrps_0000053 945.0 952.2 
Paul_Feig/B8oFwcURrps_0000054 954.8 975.4 
