POI: 			Paul_Feig 
Youtube ID: 	EI0BcP32ins 
Video length: 	2558.5 sec 
Set (V): 		dev 
 
Paul_Feig/EI0BcP32ins_0000001 24.9 30.1 
Paul_Feig/EI0BcP32ins_0000002 33.0 41.2 
Paul_Feig/EI0BcP32ins_0000003 53.0 57.0 
Paul_Feig/EI0BcP32ins_0000004 103.7 117.0 
Paul_Feig/EI0BcP32ins_0000005 151.1 158.2 
Paul_Feig/EI0BcP32ins_0000006 160.4 165.5 
Paul_Feig/EI0BcP32ins_0000007 278.5 284.9 
Paul_Feig/EI0BcP32ins_0000008 317.6 330.0 
Paul_Feig/EI0BcP32ins_0000009 340.9 347.4 
Paul_Feig/EI0BcP32ins_0000010 372.2 376.6 
Paul_Feig/EI0BcP32ins_0000011 425.2 440.9 
Paul_Feig/EI0BcP32ins_0000012 441.1 449.7 
Paul_Feig/EI0BcP32ins_0000013 479.5 492.6 
Paul_Feig/EI0BcP32ins_0000014 567.4 575.5 
Paul_Feig/EI0BcP32ins_0000015 693.9 698.4 
Paul_Feig/EI0BcP32ins_0000016 696.9 703.8 
Paul_Feig/EI0BcP32ins_0000017 786.5 792.4 
Paul_Feig/EI0BcP32ins_0000018 895.4 902.4 
Paul_Feig/EI0BcP32ins_0000019 989.4 994.8 
Paul_Feig/EI0BcP32ins_0000020 1023.2 1027.2 
Paul_Feig/EI0BcP32ins_0000021 1034.8 1039.7 
Paul_Feig/EI0BcP32ins_0000022 1041.9 1046.0 
Paul_Feig/EI0BcP32ins_0000023 1131.2 1138.4 
Paul_Feig/EI0BcP32ins_0000024 1155.4 1159.4 
Paul_Feig/EI0BcP32ins_0000025 1270.8 1279.6 
Paul_Feig/EI0BcP32ins_0000026 1281.8 1290.7 
Paul_Feig/EI0BcP32ins_0000027 1438.1 1453.1 
Paul_Feig/EI0BcP32ins_0000028 1517.9 1522.4 
Paul_Feig/EI0BcP32ins_0000029 1601.3 1614.4 
Paul_Feig/EI0BcP32ins_0000030 1619.0 1624.2 
Paul_Feig/EI0BcP32ins_0000031 1649.4 1653.9 
Paul_Feig/EI0BcP32ins_0000032 1781.0 1796.1 
Paul_Feig/EI0BcP32ins_0000033 1811.1 1817.6 
Paul_Feig/EI0BcP32ins_0000034 1827.0 1832.6 
Paul_Feig/EI0BcP32ins_0000035 1834.7 1842.6 
Paul_Feig/EI0BcP32ins_0000036 1851.3 1855.6 
Paul_Feig/EI0BcP32ins_0000037 1876.1 1890.0 
Paul_Feig/EI0BcP32ins_0000038 2048.2 2053.4 
Paul_Feig/EI0BcP32ins_0000039 2057.4 2063.0 
Paul_Feig/EI0BcP32ins_0000040 2082.6 2087.7 
Paul_Feig/EI0BcP32ins_0000041 2135.8 2140.2 
Paul_Feig/EI0BcP32ins_0000042 2143.5 2151.2 
Paul_Feig/EI0BcP32ins_0000043 2173.8 2183.5 
Paul_Feig/EI0BcP32ins_0000044 2184.1 2201.1 
Paul_Feig/EI0BcP32ins_0000045 2206.3 2210.3 
Paul_Feig/EI0BcP32ins_0000046 2217.3 2221.2 
Paul_Feig/EI0BcP32ins_0000047 2231.1 2238.2 
Paul_Feig/EI0BcP32ins_0000048 2263.4 2279.2 
Paul_Feig/EI0BcP32ins_0000049 2305.3 2311.4 
Paul_Feig/EI0BcP32ins_0000050 2313.9 2319.4 
Paul_Feig/EI0BcP32ins_0000051 2335.7 2342.8 
Paul_Feig/EI0BcP32ins_0000052 2388.5 2399.8 
Paul_Feig/EI0BcP32ins_0000053 2448.2 2452.5 
Paul_Feig/EI0BcP32ins_0000054 2454.4 2465.7 
Paul_Feig/EI0BcP32ins_0000055 2504.1 2512.6 
Paul_Feig/EI0BcP32ins_0000056 2516.7 2522.1 
Paul_Feig/EI0BcP32ins_0000057 2532.2 2542.4 
