POI: 			Terence_Stamp 
Youtube ID: 	3IdsvAQv_3c 
Video length: 	2220.9 sec 
Set (V): 		dev 
 
Terence_Stamp/3IdsvAQv_3c_0000001 247.0 254.6 
Terence_Stamp/3IdsvAQv_3c_0000002 286.6 294.0 
Terence_Stamp/3IdsvAQv_3c_0000003 294.2 298.9 
Terence_Stamp/3IdsvAQv_3c_0000004 300.8 310.8 
Terence_Stamp/3IdsvAQv_3c_0000005 334.0 345.5 
Terence_Stamp/3IdsvAQv_3c_0000006 374.6 378.8 
Terence_Stamp/3IdsvAQv_3c_0000007 452.8 458.1 
Terence_Stamp/3IdsvAQv_3c_0000008 465.6 472.0 
Terence_Stamp/3IdsvAQv_3c_0000009 472.3 476.6 
Terence_Stamp/3IdsvAQv_3c_0000010 483.2 489.5 
Terence_Stamp/3IdsvAQv_3c_0000011 592.2 598.4 
Terence_Stamp/3IdsvAQv_3c_0000012 599.4 605.2 
Terence_Stamp/3IdsvAQv_3c_0000013 606.4 614.1 
Terence_Stamp/3IdsvAQv_3c_0000014 625.7 631.8 
Terence_Stamp/3IdsvAQv_3c_0000015 633.7 646.6 
Terence_Stamp/3IdsvAQv_3c_0000016 770.8 776.8 
Terence_Stamp/3IdsvAQv_3c_0000017 843.5 852.6 
Terence_Stamp/3IdsvAQv_3c_0000018 874.2 879.0 
Terence_Stamp/3IdsvAQv_3c_0000019 879.1 890.0 
Terence_Stamp/3IdsvAQv_3c_0000020 905.0 911.0 
Terence_Stamp/3IdsvAQv_3c_0000021 913.8 922.4 
Terence_Stamp/3IdsvAQv_3c_0000022 939.5 951.0 
Terence_Stamp/3IdsvAQv_3c_0000023 951.8 965.5 
Terence_Stamp/3IdsvAQv_3c_0000024 967.7 972.1 
Terence_Stamp/3IdsvAQv_3c_0000025 973.8 978.6 
Terence_Stamp/3IdsvAQv_3c_0000026 1020.6 1024.7 
Terence_Stamp/3IdsvAQv_3c_0000027 1055.7 1061.5 
Terence_Stamp/3IdsvAQv_3c_0000028 1072.2 1080.2 
Terence_Stamp/3IdsvAQv_3c_0000029 1137.6 1142.1 
Terence_Stamp/3IdsvAQv_3c_0000030 1146.0 1158.8 
Terence_Stamp/3IdsvAQv_3c_0000031 1315.1 1319.1 
Terence_Stamp/3IdsvAQv_3c_0000032 1321.9 1326.8 
Terence_Stamp/3IdsvAQv_3c_0000033 1348.6 1357.0 
Terence_Stamp/3IdsvAQv_3c_0000034 1389.9 1397.3 
Terence_Stamp/3IdsvAQv_3c_0000035 1503.3 1508.7 
Terence_Stamp/3IdsvAQv_3c_0000036 1537.6 1541.8 
Terence_Stamp/3IdsvAQv_3c_0000037 1546.9 1552.6 
Terence_Stamp/3IdsvAQv_3c_0000038 1553.0 1562.2 
Terence_Stamp/3IdsvAQv_3c_0000039 1575.0 1581.8 
Terence_Stamp/3IdsvAQv_3c_0000040 1625.2 1630.4 
Terence_Stamp/3IdsvAQv_3c_0000041 1640.4 1648.4 
Terence_Stamp/3IdsvAQv_3c_0000042 1656.8 1662.6 
Terence_Stamp/3IdsvAQv_3c_0000043 1681.0 1687.2 
Terence_Stamp/3IdsvAQv_3c_0000044 1708.4 1713.2 
Terence_Stamp/3IdsvAQv_3c_0000045 1735.2 1739.4 
Terence_Stamp/3IdsvAQv_3c_0000046 1754.1 1760.7 
Terence_Stamp/3IdsvAQv_3c_0000047 1786.9 1795.8 
Terence_Stamp/3IdsvAQv_3c_0000048 1813.6 1818.5 
Terence_Stamp/3IdsvAQv_3c_0000049 1819.5 1823.8 
Terence_Stamp/3IdsvAQv_3c_0000050 1827.1 1833.8 
Terence_Stamp/3IdsvAQv_3c_0000051 1880.6 1895.5 
Terence_Stamp/3IdsvAQv_3c_0000052 1918.2 1922.6 
Terence_Stamp/3IdsvAQv_3c_0000053 1927.3 1939.1 
Terence_Stamp/3IdsvAQv_3c_0000054 1943.8 1951.2 
Terence_Stamp/3IdsvAQv_3c_0000055 2052.4 2057.2 
Terence_Stamp/3IdsvAQv_3c_0000056 2084.6 2088.8 
Terence_Stamp/3IdsvAQv_3c_0000057 2101.6 2105.8 
