POI: 			Prince 
Youtube ID: 	yp307tVx1jU 
Video length: 	4061.4 sec 
Set (V): 		dev 
 
Prince/yp307tVx1jU_0000001 315.2 319.1 
Prince/yp307tVx1jU_0000002 475.6 479.6 
Prince/yp307tVx1jU_0000003 506.4 512.6 
Prince/yp307tVx1jU_0000004 532.1 539.5 
Prince/yp307tVx1jU_0000005 606.8 611.0 
Prince/yp307tVx1jU_0000006 613.2 621.6 
Prince/yp307tVx1jU_0000007 627.9 632.2 
Prince/yp307tVx1jU_0000008 633.3 639.8 
Prince/yp307tVx1jU_0000009 645.4 650.0 
Prince/yp307tVx1jU_0000010 651.4 664.0 
Prince/yp307tVx1jU_0000011 693.6 700.8 
Prince/yp307tVx1jU_0000012 700.9 705.6 
Prince/yp307tVx1jU_0000013 706.1 710.8 
Prince/yp307tVx1jU_0000014 723.0 730.6 
Prince/yp307tVx1jU_0000015 891.7 898.7 
Prince/yp307tVx1jU_0000016 905.6 913.5 
Prince/yp307tVx1jU_0000017 963.7 968.6 
Prince/yp307tVx1jU_0000018 1011.2 1018.1 
Prince/yp307tVx1jU_0000019 1039.8 1044.0 
Prince/yp307tVx1jU_0000020 1044.9 1050.6 
Prince/yp307tVx1jU_0000021 1169.0 1175.8 
Prince/yp307tVx1jU_0000022 1176.9 1184.4 
Prince/yp307tVx1jU_0000023 1194.3 1201.0 
Prince/yp307tVx1jU_0000024 1201.2 1206.6 
Prince/yp307tVx1jU_0000025 1208.1 1215.4 
Prince/yp307tVx1jU_0000026 1218.6 1227.0 
Prince/yp307tVx1jU_0000027 1363.6 1368.0 
Prince/yp307tVx1jU_0000028 1368.2 1376.4 
Prince/yp307tVx1jU_0000029 1383.3 1389.0 
Prince/yp307tVx1jU_0000030 1423.6 1429.3 
Prince/yp307tVx1jU_0000031 1486.8 1492.7 
Prince/yp307tVx1jU_0000032 1496.1 1501.2 
Prince/yp307tVx1jU_0000033 1551.5 1558.0 
Prince/yp307tVx1jU_0000034 1566.2 1572.4 
Prince/yp307tVx1jU_0000035 1738.9 1750.7 
Prince/yp307tVx1jU_0000036 1751.2 1758.1 
Prince/yp307tVx1jU_0000037 1765.7 1775.0 
Prince/yp307tVx1jU_0000038 1780.3 1785.0 
Prince/yp307tVx1jU_0000039 1829.7 1836.7 
Prince/yp307tVx1jU_0000040 1844.6 1850.4 
Prince/yp307tVx1jU_0000041 1846.3 1853.5 
Prince/yp307tVx1jU_0000042 1855.2 1859.2 
Prince/yp307tVx1jU_0000043 1861.0 1869.9 
Prince/yp307tVx1jU_0000044 1886.2 1891.6 
Prince/yp307tVx1jU_0000045 2312.3 2316.3 
