POI: 			Olivia_Thirlby 
Youtube ID: 	9NO8sKsX5ZM 
Video length: 	257.3 sec 
Set (V): 		dev 
 
Olivia_Thirlby/9NO8sKsX5ZM_0000001 15.0 24.5 
Olivia_Thirlby/9NO8sKsX5ZM_0000002 27.1 38.3 
Olivia_Thirlby/9NO8sKsX5ZM_0000003 43.0 47.6 
Olivia_Thirlby/9NO8sKsX5ZM_0000004 72.8 77.7 
Olivia_Thirlby/9NO8sKsX5ZM_0000005 78.7 84.1 
Olivia_Thirlby/9NO8sKsX5ZM_0000006 86.7 91.7 
Olivia_Thirlby/9NO8sKsX5ZM_0000007 91.8 98.8 
Olivia_Thirlby/9NO8sKsX5ZM_0000008 106.3 110.8 
Olivia_Thirlby/9NO8sKsX5ZM_0000009 106.2 110.6 
Olivia_Thirlby/9NO8sKsX5ZM_0000010 122.5 128.5 
Olivia_Thirlby/9NO8sKsX5ZM_0000011 132.2 139.0 
Olivia_Thirlby/9NO8sKsX5ZM_0000012 149.6 160.5 
Olivia_Thirlby/9NO8sKsX5ZM_0000013 162.1 168.5 
Olivia_Thirlby/9NO8sKsX5ZM_0000014 179.3 184.2 
Olivia_Thirlby/9NO8sKsX5ZM_0000015 202.1 217.8 
Olivia_Thirlby/9NO8sKsX5ZM_0000016 226.1 245.4 
