POI: 			Alan_Alda 
Youtube ID: 	Tv92FNzH3Qc 
Video length: 	1685.3 sec 
Set (V): 		dev 
 
Alan_Alda/Tv92FNzH3Qc_0000001 26.7 34.6 
Alan_Alda/Tv92FNzH3Qc_0000002 48.9 59.7 
Alan_Alda/Tv92FNzH3Qc_0000003 64.9 77.0 
Alan_Alda/Tv92FNzH3Qc_0000004 97.2 102.3 
Alan_Alda/Tv92FNzH3Qc_0000005 143.7 147.7 
Alan_Alda/Tv92FNzH3Qc_0000006 158.9 163.6 
Alan_Alda/Tv92FNzH3Qc_0000007 180.8 186.8 
Alan_Alda/Tv92FNzH3Qc_0000008 194.4 198.6 
Alan_Alda/Tv92FNzH3Qc_0000009 200.8 206.0 
Alan_Alda/Tv92FNzH3Qc_0000010 217.9 224.8 
Alan_Alda/Tv92FNzH3Qc_0000011 240.7 249.0 
Alan_Alda/Tv92FNzH3Qc_0000012 253.3 260.8 
Alan_Alda/Tv92FNzH3Qc_0000013 263.5 277.7 
Alan_Alda/Tv92FNzH3Qc_0000014 290.4 299.4 
Alan_Alda/Tv92FNzH3Qc_0000015 316.2 325.0 
Alan_Alda/Tv92FNzH3Qc_0000016 326.0 334.3 
Alan_Alda/Tv92FNzH3Qc_0000017 340.4 351.4 
Alan_Alda/Tv92FNzH3Qc_0000018 351.9 356.5 
Alan_Alda/Tv92FNzH3Qc_0000019 358.0 368.6 
Alan_Alda/Tv92FNzH3Qc_0000020 388.6 395.3 
Alan_Alda/Tv92FNzH3Qc_0000021 402.6 410.3 
Alan_Alda/Tv92FNzH3Qc_0000022 411.4 422.6 
Alan_Alda/Tv92FNzH3Qc_0000023 433.7 450.0 
Alan_Alda/Tv92FNzH3Qc_0000024 468.6 483.2 
Alan_Alda/Tv92FNzH3Qc_0000025 491.9 497.2 
Alan_Alda/Tv92FNzH3Qc_0000026 498.6 508.8 
Alan_Alda/Tv92FNzH3Qc_0000027 510.1 514.6 
Alan_Alda/Tv92FNzH3Qc_0000028 516.0 520.9 
Alan_Alda/Tv92FNzH3Qc_0000029 524.2 538.3 
Alan_Alda/Tv92FNzH3Qc_0000030 576.3 590.6 
Alan_Alda/Tv92FNzH3Qc_0000031 612.4 616.8 
Alan_Alda/Tv92FNzH3Qc_0000032 619.7 624.4 
Alan_Alda/Tv92FNzH3Qc_0000033 640.8 646.1 
Alan_Alda/Tv92FNzH3Qc_0000034 651.2 660.1 
Alan_Alda/Tv92FNzH3Qc_0000035 664.0 671.2 
Alan_Alda/Tv92FNzH3Qc_0000036 683.2 692.0 
Alan_Alda/Tv92FNzH3Qc_0000037 693.2 697.9 
Alan_Alda/Tv92FNzH3Qc_0000038 698.4 702.8 
Alan_Alda/Tv92FNzH3Qc_0000039 712.5 716.7 
Alan_Alda/Tv92FNzH3Qc_0000040 724.6 731.2 
Alan_Alda/Tv92FNzH3Qc_0000041 767.9 775.0 
Alan_Alda/Tv92FNzH3Qc_0000042 906.8 912.1 
Alan_Alda/Tv92FNzH3Qc_0000043 929.8 935.1 
Alan_Alda/Tv92FNzH3Qc_0000044 937.4 943.1 
Alan_Alda/Tv92FNzH3Qc_0000045 946.7 956.8 
Alan_Alda/Tv92FNzH3Qc_0000046 957.8 963.4 
