POI: 			Alan_Alda 
Youtube ID: 	1elTcNGC3q8 
Video length: 	1030.1 sec 
Set (V): 		dev 
 
Alan_Alda/1elTcNGC3q8_0000001 10.4 17.0 
Alan_Alda/1elTcNGC3q8_0000002 24.7 30.2 
Alan_Alda/1elTcNGC3q8_0000003 32.8 37.3 
Alan_Alda/1elTcNGC3q8_0000004 57.0 61.1 
Alan_Alda/1elTcNGC3q8_0000005 62.8 67.3 
Alan_Alda/1elTcNGC3q8_0000006 69.7 75.5 
Alan_Alda/1elTcNGC3q8_0000007 75.8 80.0 
Alan_Alda/1elTcNGC3q8_0000008 156.7 163.2 
Alan_Alda/1elTcNGC3q8_0000009 165.5 172.6 
Alan_Alda/1elTcNGC3q8_0000010 172.9 182.4 
Alan_Alda/1elTcNGC3q8_0000011 184.7 188.7 
Alan_Alda/1elTcNGC3q8_0000012 194.9 199.9 
Alan_Alda/1elTcNGC3q8_0000013 200.2 209.9 
Alan_Alda/1elTcNGC3q8_0000014 210.8 218.6 
Alan_Alda/1elTcNGC3q8_0000015 338.8 344.5 
Alan_Alda/1elTcNGC3q8_0000016 345.9 350.2 
Alan_Alda/1elTcNGC3q8_0000017 351.3 357.2 
Alan_Alda/1elTcNGC3q8_0000018 359.8 369.4 
Alan_Alda/1elTcNGC3q8_0000019 371.0 378.6 
Alan_Alda/1elTcNGC3q8_0000020 382.5 387.9 
Alan_Alda/1elTcNGC3q8_0000021 391.6 403.0 
Alan_Alda/1elTcNGC3q8_0000022 414.2 420.9 
Alan_Alda/1elTcNGC3q8_0000023 424.8 438.6 
Alan_Alda/1elTcNGC3q8_0000024 458.3 465.3 
Alan_Alda/1elTcNGC3q8_0000025 471.7 478.2 
Alan_Alda/1elTcNGC3q8_0000026 511.3 517.4 
Alan_Alda/1elTcNGC3q8_0000027 525.3 530.9 
Alan_Alda/1elTcNGC3q8_0000028 532.8 540.5 
Alan_Alda/1elTcNGC3q8_0000029 542.6 547.2 
Alan_Alda/1elTcNGC3q8_0000030 579.7 590.9 
Alan_Alda/1elTcNGC3q8_0000031 632.4 638.8 
Alan_Alda/1elTcNGC3q8_0000032 691.1 702.0 
Alan_Alda/1elTcNGC3q8_0000033 757.0 762.1 
Alan_Alda/1elTcNGC3q8_0000034 773.2 777.8 
Alan_Alda/1elTcNGC3q8_0000035 788.7 794.8 
Alan_Alda/1elTcNGC3q8_0000036 799.5 810.1 
Alan_Alda/1elTcNGC3q8_0000037 823.9 832.6 
Alan_Alda/1elTcNGC3q8_0000038 836.8 840.9 
Alan_Alda/1elTcNGC3q8_0000039 869.3 874.1 
Alan_Alda/1elTcNGC3q8_0000040 884.7 891.0 
Alan_Alda/1elTcNGC3q8_0000041 903.2 913.2 
Alan_Alda/1elTcNGC3q8_0000042 942.4 947.5 
Alan_Alda/1elTcNGC3q8_0000043 950.0 957.7 
Alan_Alda/1elTcNGC3q8_0000044 965.9 970.7 
Alan_Alda/1elTcNGC3q8_0000045 972.6 983.1 
Alan_Alda/1elTcNGC3q8_0000046 985.4 989.6 
