POI: 			Maggie_Gyllenhaal 
Youtube ID: 	snEFgMJJ7wA 
Video length: 	1876.3 sec 
Set (V): 		dev 
 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000001 55.3 60.6 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000002 69.5 73.4 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000003 126.4 130.9 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000004 137.3 141.3 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000005 142.1 147.7 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000006 183.4 194.3 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000007 195.6 199.6 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000008 268.0 272.3 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000009 282.8 289.9 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000010 431.2 438.7 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000011 459.7 465.0 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000012 479.4 483.5 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000013 483.6 487.9 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000014 488.1 493.4 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000015 518.9 528.3 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000016 615.5 622.8 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000017 625.0 632.1 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000018 672.4 677.0 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000019 752.8 760.2 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000020 811.2 818.7 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000021 819.4 832.9 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000022 865.2 877.7 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000023 883.1 888.5 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000024 892.8 897.9 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000025 899.2 903.7 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000026 915.1 921.8 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000027 1006.0 1010.1 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000028 1093.6 1100.8 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000029 1154.5 1161.4 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000030 1162.2 1167.8 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000031 1172.4 1183.2 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000032 1190.4 1194.9 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000033 1195.9 1202.8 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000034 1245.3 1250.4 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000035 1388.9 1394.3 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000036 1395.0 1400.1 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000037 1449.3 1462.2 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000038 1481.0 1485.0 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000039 1557.8 1562.9 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000040 1564.6 1571.8 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000041 1640.7 1644.8 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000042 1687.9 1693.6 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000043 1709.2 1716.0 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000044 1809.1 1813.6 
Maggie_Gyllenhaal/snEFgMJJ7wA_0000045 1813.9 1818.0 
