POI: 			Maggie_Gyllenhaal 
Youtube ID: 	yqlsurs7EoU 
Video length: 	223.9 sec 
Set (V): 		dev 
 
Maggie_Gyllenhaal/yqlsurs7EoU_0000001 11.8 17.9 
Maggie_Gyllenhaal/yqlsurs7EoU_0000002 20.4 30.7 
Maggie_Gyllenhaal/yqlsurs7EoU_0000003 31.8 40.0 
Maggie_Gyllenhaal/yqlsurs7EoU_0000004 46.0 54.5 
Maggie_Gyllenhaal/yqlsurs7EoU_0000005 58.3 63.2 
Maggie_Gyllenhaal/yqlsurs7EoU_0000006 63.5 73.2 
Maggie_Gyllenhaal/yqlsurs7EoU_0000007 73.3 78.2 
Maggie_Gyllenhaal/yqlsurs7EoU_0000008 89.7 100.8 
Maggie_Gyllenhaal/yqlsurs7EoU_0000009 123.6 137.1 
Maggie_Gyllenhaal/yqlsurs7EoU_0000010 138.5 143.3 
Maggie_Gyllenhaal/yqlsurs7EoU_0000011 143.4 149.5 
Maggie_Gyllenhaal/yqlsurs7EoU_0000012 152.1 161.1 
Maggie_Gyllenhaal/yqlsurs7EoU_0000013 169.2 179.0 
Maggie_Gyllenhaal/yqlsurs7EoU_0000014 180.9 193.4 
Maggie_Gyllenhaal/yqlsurs7EoU_0000015 194.4 199.1 
Maggie_Gyllenhaal/yqlsurs7EoU_0000016 208.0 213.4 
Maggie_Gyllenhaal/yqlsurs7EoU_0000017 214.2 219.3 
