POI: 			Vanessa_Lachey 
Youtube ID: 	hEIdGgsTQIc 
Video length: 	776.8 sec 
Set (V): 		dev 
 
Vanessa_Lachey/hEIdGgsTQIc_0000001 16.2 23.2 
Vanessa_Lachey/hEIdGgsTQIc_0000002 42.2 59.0 
Vanessa_Lachey/hEIdGgsTQIc_0000003 60.8 79.1 
Vanessa_Lachey/hEIdGgsTQIc_0000004 82.7 97.9 
Vanessa_Lachey/hEIdGgsTQIc_0000005 101.1 150.3 
Vanessa_Lachey/hEIdGgsTQIc_0000006 151.1 156.2 
Vanessa_Lachey/hEIdGgsTQIc_0000007 169.1 173.2 
Vanessa_Lachey/hEIdGgsTQIc_0000008 175.0 184.1 
Vanessa_Lachey/hEIdGgsTQIc_0000009 187.7 227.6 
Vanessa_Lachey/hEIdGgsTQIc_0000010 234.0 246.8 
Vanessa_Lachey/hEIdGgsTQIc_0000011 247.9 255.8 
Vanessa_Lachey/hEIdGgsTQIc_0000012 256.1 269.4 
Vanessa_Lachey/hEIdGgsTQIc_0000013 277.5 286.6 
Vanessa_Lachey/hEIdGgsTQIc_0000014 287.8 293.0 
Vanessa_Lachey/hEIdGgsTQIc_0000015 293.9 311.6 
Vanessa_Lachey/hEIdGgsTQIc_0000016 312.0 322.9 
Vanessa_Lachey/hEIdGgsTQIc_0000017 323.2 330.0 
Vanessa_Lachey/hEIdGgsTQIc_0000018 330.6 335.2 
Vanessa_Lachey/hEIdGgsTQIc_0000019 335.9 342.6 
Vanessa_Lachey/hEIdGgsTQIc_0000020 343.6 365.2 
Vanessa_Lachey/hEIdGgsTQIc_0000021 365.4 370.2 
Vanessa_Lachey/hEIdGgsTQIc_0000022 371.9 377.4 
Vanessa_Lachey/hEIdGgsTQIc_0000023 400.6 405.2 
Vanessa_Lachey/hEIdGgsTQIc_0000024 417.2 421.4 
Vanessa_Lachey/hEIdGgsTQIc_0000025 432.9 438.8 
Vanessa_Lachey/hEIdGgsTQIc_0000026 440.7 460.4 
Vanessa_Lachey/hEIdGgsTQIc_0000027 461.3 476.6 
Vanessa_Lachey/hEIdGgsTQIc_0000028 477.0 494.8 
Vanessa_Lachey/hEIdGgsTQIc_0000029 513.9 529.8 
Vanessa_Lachey/hEIdGgsTQIc_0000030 536.9 541.0 
Vanessa_Lachey/hEIdGgsTQIc_0000031 541.3 551.6 
Vanessa_Lachey/hEIdGgsTQIc_0000032 569.6 574.8 
Vanessa_Lachey/hEIdGgsTQIc_0000033 577.7 582.1 
Vanessa_Lachey/hEIdGgsTQIc_0000034 583.1 595.3 
Vanessa_Lachey/hEIdGgsTQIc_0000035 597.9 605.3 
Vanessa_Lachey/hEIdGgsTQIc_0000036 606.9 619.5 
Vanessa_Lachey/hEIdGgsTQIc_0000037 624.6 628.6 
Vanessa_Lachey/hEIdGgsTQIc_0000038 639.4 643.5 
Vanessa_Lachey/hEIdGgsTQIc_0000039 675.3 685.6 
Vanessa_Lachey/hEIdGgsTQIc_0000040 685.8 699.0 
Vanessa_Lachey/hEIdGgsTQIc_0000041 699.4 706.2 
Vanessa_Lachey/hEIdGgsTQIc_0000042 728.5 736.2 
Vanessa_Lachey/hEIdGgsTQIc_0000043 742.3 753.8 
Vanessa_Lachey/hEIdGgsTQIc_0000044 758.4 764.3 
