POI: 			Garry_Marshall 
Youtube ID: 	NKOA_Q89wDM 
Video length: 	3087.4 sec 
Set (V): 		dev 
 
Garry_Marshall/NKOA_Q89wDM_0000001 12.8 29.8 
Garry_Marshall/NKOA_Q89wDM_0000002 32.5 41.4 
Garry_Marshall/NKOA_Q89wDM_0000003 42.0 51.1 
Garry_Marshall/NKOA_Q89wDM_0000004 99.5 111.9 
Garry_Marshall/NKOA_Q89wDM_0000005 113.7 121.5 
Garry_Marshall/NKOA_Q89wDM_0000006 123.5 130.6 
Garry_Marshall/NKOA_Q89wDM_0000007 137.2 142.6 
Garry_Marshall/NKOA_Q89wDM_0000008 144.7 153.5 
Garry_Marshall/NKOA_Q89wDM_0000009 155.0 160.4 
Garry_Marshall/NKOA_Q89wDM_0000010 168.0 183.7 
Garry_Marshall/NKOA_Q89wDM_0000011 183.9 188.0 
Garry_Marshall/NKOA_Q89wDM_0000012 188.7 195.6 
Garry_Marshall/NKOA_Q89wDM_0000013 196.1 211.8 
Garry_Marshall/NKOA_Q89wDM_0000014 221.8 238.8 
Garry_Marshall/NKOA_Q89wDM_0000015 239.6 247.6 
Garry_Marshall/NKOA_Q89wDM_0000016 248.4 254.2 
Garry_Marshall/NKOA_Q89wDM_0000017 256.1 266.9 
Garry_Marshall/NKOA_Q89wDM_0000018 270.1 288.2 
Garry_Marshall/NKOA_Q89wDM_0000019 302.7 307.2 
Garry_Marshall/NKOA_Q89wDM_0000020 309.0 318.8 
Garry_Marshall/NKOA_Q89wDM_0000021 320.3 326.8 
Garry_Marshall/NKOA_Q89wDM_0000022 336.1 349.4 
Garry_Marshall/NKOA_Q89wDM_0000023 351.1 358.6 
Garry_Marshall/NKOA_Q89wDM_0000024 358.7 365.4 
Garry_Marshall/NKOA_Q89wDM_0000025 375.9 380.2 
Garry_Marshall/NKOA_Q89wDM_0000026 380.9 392.6 
Garry_Marshall/NKOA_Q89wDM_0000027 392.7 397.7 
Garry_Marshall/NKOA_Q89wDM_0000028 400.1 413.6 
Garry_Marshall/NKOA_Q89wDM_0000029 423.8 431.9 
Garry_Marshall/NKOA_Q89wDM_0000030 437.5 442.7 
Garry_Marshall/NKOA_Q89wDM_0000031 443.8 448.4 
Garry_Marshall/NKOA_Q89wDM_0000032 454.4 469.4 
Garry_Marshall/NKOA_Q89wDM_0000033 477.9 485.1 
Garry_Marshall/NKOA_Q89wDM_0000034 487.0 491.7 
Garry_Marshall/NKOA_Q89wDM_0000035 492.7 503.2 
Garry_Marshall/NKOA_Q89wDM_0000036 505.0 515.2 
Garry_Marshall/NKOA_Q89wDM_0000037 515.7 523.3 
Garry_Marshall/NKOA_Q89wDM_0000038 524.3 530.8 
Garry_Marshall/NKOA_Q89wDM_0000039 531.7 539.8 
Garry_Marshall/NKOA_Q89wDM_0000040 541.9 561.2 
Garry_Marshall/NKOA_Q89wDM_0000041 564.0 583.3 
Garry_Marshall/NKOA_Q89wDM_0000042 591.7 596.1 
Garry_Marshall/NKOA_Q89wDM_0000043 596.4 622.2 
Garry_Marshall/NKOA_Q89wDM_0000044 793.5 798.0 
Garry_Marshall/NKOA_Q89wDM_0000045 798.3 802.6 
Garry_Marshall/NKOA_Q89wDM_0000046 838.2 843.4 
Garry_Marshall/NKOA_Q89wDM_0000047 844.1 857.9 
Garry_Marshall/NKOA_Q89wDM_0000048 862.6 868.1 
Garry_Marshall/NKOA_Q89wDM_0000049 868.3 873.3 
Garry_Marshall/NKOA_Q89wDM_0000050 876.0 884.2 
Garry_Marshall/NKOA_Q89wDM_0000051 886.2 890.4 
Garry_Marshall/NKOA_Q89wDM_0000052 890.7 902.7 
Garry_Marshall/NKOA_Q89wDM_0000053 906.2 911.0 
Garry_Marshall/NKOA_Q89wDM_0000054 911.6 917.7 
Garry_Marshall/NKOA_Q89wDM_0000055 918.5 935.0 
Garry_Marshall/NKOA_Q89wDM_0000056 935.7 942.4 
Garry_Marshall/NKOA_Q89wDM_0000057 947.9 962.0 
Garry_Marshall/NKOA_Q89wDM_0000058 964.0 969.5 
Garry_Marshall/NKOA_Q89wDM_0000059 975.1 980.5 
Garry_Marshall/NKOA_Q89wDM_0000060 988.8 993.5 
Garry_Marshall/NKOA_Q89wDM_0000061 997.8 1006.9 
Garry_Marshall/NKOA_Q89wDM_0000062 1008.0 1014.6 
Garry_Marshall/NKOA_Q89wDM_0000063 1020.9 1031.8 
Garry_Marshall/NKOA_Q89wDM_0000064 1032.2 1040.2 
Garry_Marshall/NKOA_Q89wDM_0000065 1041.8 1048.0 
Garry_Marshall/NKOA_Q89wDM_0000066 1048.4 1074.2 
Garry_Marshall/NKOA_Q89wDM_0000067 1076.1 1084.2 
Garry_Marshall/NKOA_Q89wDM_0000068 1087.8 1093.0 
Garry_Marshall/NKOA_Q89wDM_0000069 1098.1 1105.4 
Garry_Marshall/NKOA_Q89wDM_0000070 1106.3 1122.6 
Garry_Marshall/NKOA_Q89wDM_0000071 1123.8 1131.8 
Garry_Marshall/NKOA_Q89wDM_0000072 1133.7 1143.3 
Garry_Marshall/NKOA_Q89wDM_0000073 1143.8 1152.6 
Garry_Marshall/NKOA_Q89wDM_0000074 1154.7 1163.6 
Garry_Marshall/NKOA_Q89wDM_0000075 1169.3 1194.7 
Garry_Marshall/NKOA_Q89wDM_0000076 1196.3 1208.1 
Garry_Marshall/NKOA_Q89wDM_0000077 1208.8 1213.7 
Garry_Marshall/NKOA_Q89wDM_0000078 1220.1 1227.5 
Garry_Marshall/NKOA_Q89wDM_0000079 1229.9 1236.0 
Garry_Marshall/NKOA_Q89wDM_0000080 1239.0 1247.0 
Garry_Marshall/NKOA_Q89wDM_0000081 1247.3 1255.5 
Garry_Marshall/NKOA_Q89wDM_0000082 1319.3 1326.6 
Garry_Marshall/NKOA_Q89wDM_0000083 1327.4 1346.8 
Garry_Marshall/NKOA_Q89wDM_0000084 1385.9 1414.2 
Garry_Marshall/NKOA_Q89wDM_0000085 1414.5 1420.8 
Garry_Marshall/NKOA_Q89wDM_0000086 1421.8 1428.0 
Garry_Marshall/NKOA_Q89wDM_0000087 1429.0 1440.0 
Garry_Marshall/NKOA_Q89wDM_0000088 1447.4 1453.6 
Garry_Marshall/NKOA_Q89wDM_0000089 1460.9 1465.7 
Garry_Marshall/NKOA_Q89wDM_0000090 1475.0 1483.2 
Garry_Marshall/NKOA_Q89wDM_0000091 1483.4 1507.8 
Garry_Marshall/NKOA_Q89wDM_0000092 1429.9 1435.2 
Garry_Marshall/NKOA_Q89wDM_0000093 1510.4 1517.4 
Garry_Marshall/NKOA_Q89wDM_0000094 1517.7 1527.0 
Garry_Marshall/NKOA_Q89wDM_0000095 1630.2 1668.3 
Garry_Marshall/NKOA_Q89wDM_0000096 1669.2 1674.2 
Garry_Marshall/NKOA_Q89wDM_0000097 1678.1 1698.7 
Garry_Marshall/NKOA_Q89wDM_0000098 1699.5 1737.9 
Garry_Marshall/NKOA_Q89wDM_0000099 1740.0 1798.5 
Garry_Marshall/NKOA_Q89wDM_0000100 1798.7 1813.7 
Garry_Marshall/NKOA_Q89wDM_0000101 1815.6 1826.8 
Garry_Marshall/NKOA_Q89wDM_0000102 1830.0 1849.7 
Garry_Marshall/NKOA_Q89wDM_0000103 1849.9 1860.0 
Garry_Marshall/NKOA_Q89wDM_0000104 1860.6 1865.1 
Garry_Marshall/NKOA_Q89wDM_0000105 1866.7 1874.6 
Garry_Marshall/NKOA_Q89wDM_0000106 1879.2 1891.8 
Garry_Marshall/NKOA_Q89wDM_0000107 1893.0 1907.0 
Garry_Marshall/NKOA_Q89wDM_0000108 1907.6 1911.8 
Garry_Marshall/NKOA_Q89wDM_0000109 1916.2 1920.6 
Garry_Marshall/NKOA_Q89wDM_0000110 1926.3 1940.2 
Garry_Marshall/NKOA_Q89wDM_0000111 1942.2 1954.8 
Garry_Marshall/NKOA_Q89wDM_0000112 1955.1 1960.8 
Garry_Marshall/NKOA_Q89wDM_0000113 1981.7 1990.9 
Garry_Marshall/NKOA_Q89wDM_0000114 1991.3 1997.8 
Garry_Marshall/NKOA_Q89wDM_0000115 1999.0 2003.1 
Garry_Marshall/NKOA_Q89wDM_0000116 2004.3 2013.6 
Garry_Marshall/NKOA_Q89wDM_0000117 2015.5 2023.5 
Garry_Marshall/NKOA_Q89wDM_0000118 2026.4 2037.7 
Garry_Marshall/NKOA_Q89wDM_0000119 2049.1 2070.2 
Garry_Marshall/NKOA_Q89wDM_0000120 2075.8 2137.0 
Garry_Marshall/NKOA_Q89wDM_0000121 2436.1 2446.6 
Garry_Marshall/NKOA_Q89wDM_0000122 2446.8 2467.0 
Garry_Marshall/NKOA_Q89wDM_0000123 2468.6 2477.9 
Garry_Marshall/NKOA_Q89wDM_0000124 2478.1 2490.8 
Garry_Marshall/NKOA_Q89wDM_0000125 2491.0 2511.2 
Garry_Marshall/NKOA_Q89wDM_0000126 2512.5 2523.2 
Garry_Marshall/NKOA_Q89wDM_0000127 2527.8 2536.8 
Garry_Marshall/NKOA_Q89wDM_0000128 2517.2 2523.8 
Garry_Marshall/NKOA_Q89wDM_0000129 2527.9 2550.6 
Garry_Marshall/NKOA_Q89wDM_0000130 2551.3 2565.2 
Garry_Marshall/NKOA_Q89wDM_0000131 2566.8 2576.8 
Garry_Marshall/NKOA_Q89wDM_0000132 2578.8 2615.3 
Garry_Marshall/NKOA_Q89wDM_0000133 2615.8 2622.3 
Garry_Marshall/NKOA_Q89wDM_0000134 2622.8 2627.1 
Garry_Marshall/NKOA_Q89wDM_0000135 2627.8 2633.3 
Garry_Marshall/NKOA_Q89wDM_0000136 2633.7 2643.7 
Garry_Marshall/NKOA_Q89wDM_0000137 2645.0 2670.9 
Garry_Marshall/NKOA_Q89wDM_0000138 2744.7 2757.5 
Garry_Marshall/NKOA_Q89wDM_0000139 2758.0 2777.2 
Garry_Marshall/NKOA_Q89wDM_0000140 2778.2 2793.2 
Garry_Marshall/NKOA_Q89wDM_0000141 2793.9 2814.1 
Garry_Marshall/NKOA_Q89wDM_0000142 2815.9 2827.0 
Garry_Marshall/NKOA_Q89wDM_0000143 2827.9 2848.0 
Garry_Marshall/NKOA_Q89wDM_0000144 2849.1 2853.3 
Garry_Marshall/NKOA_Q89wDM_0000145 2853.9 2862.8 
Garry_Marshall/NKOA_Q89wDM_0000146 2863.2 2880.1 
Garry_Marshall/NKOA_Q89wDM_0000147 2895.4 2904.6 
Garry_Marshall/NKOA_Q89wDM_0000148 2905.9 2914.7 
Garry_Marshall/NKOA_Q89wDM_0000149 2917.6 2926.6 
Garry_Marshall/NKOA_Q89wDM_0000150 2927.7 2939.9 
Garry_Marshall/NKOA_Q89wDM_0000151 2942.8 2961.0 
Garry_Marshall/NKOA_Q89wDM_0000152 2962.4 2971.9 
Garry_Marshall/NKOA_Q89wDM_0000153 2972.5 2996.4 
Garry_Marshall/NKOA_Q89wDM_0000154 3001.6 3022.7 
Garry_Marshall/NKOA_Q89wDM_0000155 3024.5 3040.6 
Garry_Marshall/NKOA_Q89wDM_0000156 3041.5 3046.4 
Garry_Marshall/NKOA_Q89wDM_0000157 3047.9 3079.0 
