POI: 			Denise_Crosby 
Youtube ID: 	4PzEhoOxJAU 
Video length: 	585.3 sec 
Set (V): 		dev 
 
Denise_Crosby/4PzEhoOxJAU_0000001 11.2 20.8 
Denise_Crosby/4PzEhoOxJAU_0000002 21.5 32.5 
Denise_Crosby/4PzEhoOxJAU_0000003 32.7 38.7 
Denise_Crosby/4PzEhoOxJAU_0000004 39.5 63.4 
Denise_Crosby/4PzEhoOxJAU_0000005 67.6 72.3 
Denise_Crosby/4PzEhoOxJAU_0000006 72.7 88.0 
Denise_Crosby/4PzEhoOxJAU_0000007 88.4 103.8 
Denise_Crosby/4PzEhoOxJAU_0000008 103.9 110.3 
Denise_Crosby/4PzEhoOxJAU_0000009 114.6 136.9 
Denise_Crosby/4PzEhoOxJAU_0000010 137.2 145.8 
Denise_Crosby/4PzEhoOxJAU_0000011 145.9 160.0 
Denise_Crosby/4PzEhoOxJAU_0000012 165.4 169.6 
Denise_Crosby/4PzEhoOxJAU_0000013 174.4 193.4 
Denise_Crosby/4PzEhoOxJAU_0000014 193.8 216.8 
Denise_Crosby/4PzEhoOxJAU_0000015 222.4 228.2 
Denise_Crosby/4PzEhoOxJAU_0000016 229.7 243.9 
Denise_Crosby/4PzEhoOxJAU_0000017 244.9 253.5 
Denise_Crosby/4PzEhoOxJAU_0000018 254.0 264.2 
Denise_Crosby/4PzEhoOxJAU_0000019 264.4 271.4 
Denise_Crosby/4PzEhoOxJAU_0000020 277.5 284.8 
Denise_Crosby/4PzEhoOxJAU_0000021 286.4 300.6 
Denise_Crosby/4PzEhoOxJAU_0000022 302.0 317.8 
Denise_Crosby/4PzEhoOxJAU_0000023 323.4 348.0 
Denise_Crosby/4PzEhoOxJAU_0000024 365.3 375.6 
Denise_Crosby/4PzEhoOxJAU_0000025 377.2 385.0 
Denise_Crosby/4PzEhoOxJAU_0000026 385.3 394.2 
Denise_Crosby/4PzEhoOxJAU_0000027 394.3 399.6 
Denise_Crosby/4PzEhoOxJAU_0000028 402.9 419.4 
Denise_Crosby/4PzEhoOxJAU_0000029 419.6 426.9 
Denise_Crosby/4PzEhoOxJAU_0000030 427.6 437.1 
Denise_Crosby/4PzEhoOxJAU_0000031 439.1 480.0 
Denise_Crosby/4PzEhoOxJAU_0000032 481.6 485.8 
Denise_Crosby/4PzEhoOxJAU_0000033 494.5 523.1 
Denise_Crosby/4PzEhoOxJAU_0000034 523.8 528.3 
Denise_Crosby/4PzEhoOxJAU_0000035 529.5 562.0 
Denise_Crosby/4PzEhoOxJAU_0000036 564.8 569.1 
Denise_Crosby/4PzEhoOxJAU_0000037 569.8 577.6 
