POI: 			Mallika_Sherawat 
Youtube ID: 	xS_Mh-DOAI0 
Video length: 	690.8 sec 
Set (V): 		dev 
 
Mallika_Sherawat/xS_Mh-DOAI0_0000001 110.1 128.8 
Mallika_Sherawat/xS_Mh-DOAI0_0000002 140.8 160.5 
Mallika_Sherawat/xS_Mh-DOAI0_0000003 168.3 183.3 
Mallika_Sherawat/xS_Mh-DOAI0_0000004 206.4 218.7 
Mallika_Sherawat/xS_Mh-DOAI0_0000005 218.9 226.3 
Mallika_Sherawat/xS_Mh-DOAI0_0000006 269.7 277.0 
Mallika_Sherawat/xS_Mh-DOAI0_0000007 307.0 312.4 
Mallika_Sherawat/xS_Mh-DOAI0_0000008 328.2 332.3 
Mallika_Sherawat/xS_Mh-DOAI0_0000009 332.6 337.0 
Mallika_Sherawat/xS_Mh-DOAI0_0000010 361.0 367.6 
Mallika_Sherawat/xS_Mh-DOAI0_0000011 368.5 378.3 
Mallika_Sherawat/xS_Mh-DOAI0_0000012 395.3 425.9 
Mallika_Sherawat/xS_Mh-DOAI0_0000013 443.6 466.6 
Mallika_Sherawat/xS_Mh-DOAI0_0000014 502.3 512.4 
Mallika_Sherawat/xS_Mh-DOAI0_0000015 533.7 556.1 
Mallika_Sherawat/xS_Mh-DOAI0_0000016 556.4 566.2 
Mallika_Sherawat/xS_Mh-DOAI0_0000017 583.6 623.2 
Mallika_Sherawat/xS_Mh-DOAI0_0000018 637.6 657.0 
