POI: 			Mallika_Sherawat 
Youtube ID: 	uw8SDDK6Mbk 
Video length: 	440.6 sec 
Set (V): 		dev 
 
Mallika_Sherawat/uw8SDDK6Mbk_0000001 24.4 31.8 
Mallika_Sherawat/uw8SDDK6Mbk_0000002 43.4 56.8 
Mallika_Sherawat/uw8SDDK6Mbk_0000003 59.6 68.1 
Mallika_Sherawat/uw8SDDK6Mbk_0000004 95.6 106.0 
Mallika_Sherawat/uw8SDDK6Mbk_0000005 112.7 117.5 
Mallika_Sherawat/uw8SDDK6Mbk_0000006 121.3 127.0 
Mallika_Sherawat/uw8SDDK6Mbk_0000007 130.3 135.3 
Mallika_Sherawat/uw8SDDK6Mbk_0000008 162.5 170.1 
Mallika_Sherawat/uw8SDDK6Mbk_0000009 191.3 195.6 
Mallika_Sherawat/uw8SDDK6Mbk_0000010 221.9 227.5 
Mallika_Sherawat/uw8SDDK6Mbk_0000011 230.8 236.8 
Mallika_Sherawat/uw8SDDK6Mbk_0000012 280.1 284.1 
Mallika_Sherawat/uw8SDDK6Mbk_0000013 287.5 293.9 
Mallika_Sherawat/uw8SDDK6Mbk_0000014 297.4 304.2 
Mallika_Sherawat/uw8SDDK6Mbk_0000015 328.7 336.4 
Mallika_Sherawat/uw8SDDK6Mbk_0000016 339.6 343.9 
Mallika_Sherawat/uw8SDDK6Mbk_0000017 352.1 356.9 
Mallika_Sherawat/uw8SDDK6Mbk_0000018 414.4 424.4 
