POI: 			Mallika_Sherawat 
Youtube ID: 	XVoRDzwHwDU 
Video length: 	690.3 sec 
Set (V): 		dev 
 
Mallika_Sherawat/XVoRDzwHwDU_0000001 25.9 30.8 
Mallika_Sherawat/XVoRDzwHwDU_0000002 37.2 50.1 
Mallika_Sherawat/XVoRDzwHwDU_0000003 61.7 73.2 
Mallika_Sherawat/XVoRDzwHwDU_0000004 78.9 92.9 
Mallika_Sherawat/XVoRDzwHwDU_0000005 94.4 98.4 
Mallika_Sherawat/XVoRDzwHwDU_0000006 99.4 114.6 
Mallika_Sherawat/XVoRDzwHwDU_0000007 117.1 131.2 
Mallika_Sherawat/XVoRDzwHwDU_0000008 131.3 146.4 
Mallika_Sherawat/XVoRDzwHwDU_0000009 151.2 170.3 
Mallika_Sherawat/XVoRDzwHwDU_0000010 171.2 178.8 
Mallika_Sherawat/XVoRDzwHwDU_0000011 181.0 207.9 
Mallika_Sherawat/XVoRDzwHwDU_0000012 221.2 253.4 
Mallika_Sherawat/XVoRDzwHwDU_0000013 253.5 270.2 
Mallika_Sherawat/XVoRDzwHwDU_0000014 272.6 287.1 
Mallika_Sherawat/XVoRDzwHwDU_0000015 287.3 294.3 
Mallika_Sherawat/XVoRDzwHwDU_0000016 296.6 329.4 
Mallika_Sherawat/XVoRDzwHwDU_0000017 333.7 364.0 
Mallika_Sherawat/XVoRDzwHwDU_0000018 365.1 373.1 
Mallika_Sherawat/XVoRDzwHwDU_0000019 375.4 411.9 
Mallika_Sherawat/XVoRDzwHwDU_0000020 412.6 417.0 
Mallika_Sherawat/XVoRDzwHwDU_0000021 419.5 424.7 
Mallika_Sherawat/XVoRDzwHwDU_0000022 432.1 474.6 
Mallika_Sherawat/XVoRDzwHwDU_0000023 476.9 484.4 
Mallika_Sherawat/XVoRDzwHwDU_0000024 486.0 520.9 
Mallika_Sherawat/XVoRDzwHwDU_0000025 532.0 564.3 
Mallika_Sherawat/XVoRDzwHwDU_0000026 566.6 585.7 
Mallika_Sherawat/XVoRDzwHwDU_0000027 588.0 596.0 
Mallika_Sherawat/XVoRDzwHwDU_0000028 596.4 620.6 
Mallika_Sherawat/XVoRDzwHwDU_0000029 622.8 639.6 
Mallika_Sherawat/XVoRDzwHwDU_0000030 644.4 652.4 
Mallika_Sherawat/XVoRDzwHwDU_0000031 654.7 665.8 
Mallika_Sherawat/XVoRDzwHwDU_0000032 668.1 673.5 
