POI: 			Ryan_Potter 
Youtube ID: 	0K2_aMAeo-s 
Video length: 	894.6 sec 
Set (V): 		dev 
 
Ryan_Potter/0K2_aMAeo-s_0000001 41.4 45.9 
Ryan_Potter/0K2_aMAeo-s_0000002 46.4 58.9 
Ryan_Potter/0K2_aMAeo-s_0000003 83.0 92.1 
Ryan_Potter/0K2_aMAeo-s_0000004 93.1 98.3 
Ryan_Potter/0K2_aMAeo-s_0000005 112.9 134.1 
Ryan_Potter/0K2_aMAeo-s_0000006 136.0 143.1 
Ryan_Potter/0K2_aMAeo-s_0000007 149.2 170.5 
Ryan_Potter/0K2_aMAeo-s_0000008 170.7 175.2 
Ryan_Potter/0K2_aMAeo-s_0000009 185.2 202.2 
Ryan_Potter/0K2_aMAeo-s_0000010 202.6 227.8 
Ryan_Potter/0K2_aMAeo-s_0000011 238.9 264.1 
Ryan_Potter/0K2_aMAeo-s_0000012 279.1 286.4 
Ryan_Potter/0K2_aMAeo-s_0000013 292.6 300.0 
Ryan_Potter/0K2_aMAeo-s_0000014 303.0 310.6 
Ryan_Potter/0K2_aMAeo-s_0000015 311.0 318.1 
Ryan_Potter/0K2_aMAeo-s_0000016 328.7 338.1 
Ryan_Potter/0K2_aMAeo-s_0000017 353.4 370.4 
Ryan_Potter/0K2_aMAeo-s_0000018 385.7 396.0 
Ryan_Potter/0K2_aMAeo-s_0000019 398.0 404.2 
Ryan_Potter/0K2_aMAeo-s_0000020 410.5 423.7 
Ryan_Potter/0K2_aMAeo-s_0000021 430.7 441.8 
Ryan_Potter/0K2_aMAeo-s_0000022 442.0 455.8 
Ryan_Potter/0K2_aMAeo-s_0000023 459.9 465.7 
Ryan_Potter/0K2_aMAeo-s_0000024 476.4 484.4 
Ryan_Potter/0K2_aMAeo-s_0000025 490.8 496.8 
Ryan_Potter/0K2_aMAeo-s_0000026 497.4 506.5 
Ryan_Potter/0K2_aMAeo-s_0000027 508.6 524.8 
Ryan_Potter/0K2_aMAeo-s_0000028 525.4 548.6 
Ryan_Potter/0K2_aMAeo-s_0000029 555.0 559.8 
Ryan_Potter/0K2_aMAeo-s_0000030 561.7 567.0 
Ryan_Potter/0K2_aMAeo-s_0000031 569.4 577.7 
Ryan_Potter/0K2_aMAeo-s_0000032 578.5 584.5 
Ryan_Potter/0K2_aMAeo-s_0000033 588.9 595.6 
Ryan_Potter/0K2_aMAeo-s_0000034 602.7 625.7 
Ryan_Potter/0K2_aMAeo-s_0000035 630.2 651.2 
Ryan_Potter/0K2_aMAeo-s_0000036 651.5 657.7 
Ryan_Potter/0K2_aMAeo-s_0000037 668.6 672.9 
Ryan_Potter/0K2_aMAeo-s_0000038 693.7 697.8 
Ryan_Potter/0K2_aMAeo-s_0000039 699.6 707.3 
Ryan_Potter/0K2_aMAeo-s_0000040 724.0 728.5 
Ryan_Potter/0K2_aMAeo-s_0000041 739.4 747.4 
Ryan_Potter/0K2_aMAeo-s_0000042 765.4 778.8 
Ryan_Potter/0K2_aMAeo-s_0000043 800.5 811.1 
Ryan_Potter/0K2_aMAeo-s_0000044 824.3 831.6 
Ryan_Potter/0K2_aMAeo-s_0000045 836.2 841.8 
Ryan_Potter/0K2_aMAeo-s_0000046 842.3 847.2 
Ryan_Potter/0K2_aMAeo-s_0000047 848.3 868.0 
Ryan_Potter/0K2_aMAeo-s_0000048 868.7 880.7 
