POI: 			Gregg_Sulkin 
Youtube ID: 	8hs4d7i6kwU 
Video length: 	393.5 sec 
Set (V): 		dev 
 
Gregg_Sulkin/8hs4d7i6kwU_0000001 22.4 35.3 
Gregg_Sulkin/8hs4d7i6kwU_0000002 37.7 42.4 
Gregg_Sulkin/8hs4d7i6kwU_0000003 44.7 53.1 
Gregg_Sulkin/8hs4d7i6kwU_0000004 57.4 65.2 
Gregg_Sulkin/8hs4d7i6kwU_0000005 70.3 74.4 
Gregg_Sulkin/8hs4d7i6kwU_0000006 75.3 80.7 
Gregg_Sulkin/8hs4d7i6kwU_0000007 133.1 138.6 
Gregg_Sulkin/8hs4d7i6kwU_0000008 142.4 160.0 
Gregg_Sulkin/8hs4d7i6kwU_0000009 167.6 181.8 
Gregg_Sulkin/8hs4d7i6kwU_0000010 197.5 201.4 
Gregg_Sulkin/8hs4d7i6kwU_0000011 203.6 208.5 
Gregg_Sulkin/8hs4d7i6kwU_0000012 213.5 221.7 
Gregg_Sulkin/8hs4d7i6kwU_0000013 226.2 234.2 
Gregg_Sulkin/8hs4d7i6kwU_0000014 235.6 240.8 
Gregg_Sulkin/8hs4d7i6kwU_0000015 244.8 250.7 
Gregg_Sulkin/8hs4d7i6kwU_0000016 254.7 265.3 
Gregg_Sulkin/8hs4d7i6kwU_0000017 265.9 273.7 
Gregg_Sulkin/8hs4d7i6kwU_0000018 274.2 282.6 
Gregg_Sulkin/8hs4d7i6kwU_0000019 283.3 293.6 
Gregg_Sulkin/8hs4d7i6kwU_0000020 309.3 318.4 
Gregg_Sulkin/8hs4d7i6kwU_0000021 333.7 338.4 
Gregg_Sulkin/8hs4d7i6kwU_0000022 339.5 347.1 
Gregg_Sulkin/8hs4d7i6kwU_0000023 348.7 354.7 
Gregg_Sulkin/8hs4d7i6kwU_0000024 362.5 367.0 
