POI: 			Katie_Aselton 
Youtube ID: 	7_ZlkxpOTsY 
Video length: 	2172.3 sec 
Set (V): 		dev 
 
Katie_Aselton/7_ZlkxpOTsY_0000001 49.4 54.2 
Katie_Aselton/7_ZlkxpOTsY_0000002 55.8 67.0 
Katie_Aselton/7_ZlkxpOTsY_0000003 84.6 89.6 
Katie_Aselton/7_ZlkxpOTsY_0000004 146.7 157.2 
Katie_Aselton/7_ZlkxpOTsY_0000005 175.8 180.2 
Katie_Aselton/7_ZlkxpOTsY_0000006 180.8 187.3 
Katie_Aselton/7_ZlkxpOTsY_0000007 199.5 206.2 
Katie_Aselton/7_ZlkxpOTsY_0000008 207.2 214.7 
Katie_Aselton/7_ZlkxpOTsY_0000009 222.2 235.3 
Katie_Aselton/7_ZlkxpOTsY_0000010 285.1 289.0 
Katie_Aselton/7_ZlkxpOTsY_0000011 290.0 301.7 
Katie_Aselton/7_ZlkxpOTsY_0000012 309.7 315.7 
Katie_Aselton/7_ZlkxpOTsY_0000013 332.6 337.6 
Katie_Aselton/7_ZlkxpOTsY_0000014 354.6 364.2 
Katie_Aselton/7_ZlkxpOTsY_0000015 364.9 378.8 
Katie_Aselton/7_ZlkxpOTsY_0000016 382.4 392.2 
Katie_Aselton/7_ZlkxpOTsY_0000017 403.0 412.1 
Katie_Aselton/7_ZlkxpOTsY_0000018 413.4 430.2 
Katie_Aselton/7_ZlkxpOTsY_0000019 439.7 451.9 
Katie_Aselton/7_ZlkxpOTsY_0000020 462.9 475.8 
Katie_Aselton/7_ZlkxpOTsY_0000021 484.1 490.8 
Katie_Aselton/7_ZlkxpOTsY_0000022 493.0 500.0 
Katie_Aselton/7_ZlkxpOTsY_0000023 518.4 524.2 
Katie_Aselton/7_ZlkxpOTsY_0000024 604.9 611.0 
Katie_Aselton/7_ZlkxpOTsY_0000025 616.6 621.1 
Katie_Aselton/7_ZlkxpOTsY_0000026 607.0 611.1 
Katie_Aselton/7_ZlkxpOTsY_0000027 680.6 687.5 
Katie_Aselton/7_ZlkxpOTsY_0000028 692.0 696.0 
Katie_Aselton/7_ZlkxpOTsY_0000029 696.4 705.6 
Katie_Aselton/7_ZlkxpOTsY_0000030 709.5 717.7 
Katie_Aselton/7_ZlkxpOTsY_0000031 718.1 726.2 
Katie_Aselton/7_ZlkxpOTsY_0000032 776.9 789.7 
Katie_Aselton/7_ZlkxpOTsY_0000033 793.0 798.6 
Katie_Aselton/7_ZlkxpOTsY_0000034 803.2 808.3 
Katie_Aselton/7_ZlkxpOTsY_0000035 809.1 821.6 
Katie_Aselton/7_ZlkxpOTsY_0000036 840.8 851.7 
Katie_Aselton/7_ZlkxpOTsY_0000037 855.8 860.8 
