POI: 			Jeremy_Renner 
Youtube ID: 	WhwOxdrJ9As 
Video length: 	1885.9 sec 
Set (V): 		dev 
 
Jeremy_Renner/WhwOxdrJ9As_0000001 69.6 73.9 
Jeremy_Renner/WhwOxdrJ9As_0000002 74.0 81.5 
Jeremy_Renner/WhwOxdrJ9As_0000003 83.2 97.0 
Jeremy_Renner/WhwOxdrJ9As_0000004 103.3 109.3 
Jeremy_Renner/WhwOxdrJ9As_0000005 136.2 140.5 
Jeremy_Renner/WhwOxdrJ9As_0000006 142.2 150.0 
Jeremy_Renner/WhwOxdrJ9As_0000007 187.1 192.6 
Jeremy_Renner/WhwOxdrJ9As_0000008 194.2 199.8 
Jeremy_Renner/WhwOxdrJ9As_0000009 201.6 209.5 
Jeremy_Renner/WhwOxdrJ9As_0000010 216.8 223.2 
Jeremy_Renner/WhwOxdrJ9As_0000011 245.2 251.5 
Jeremy_Renner/WhwOxdrJ9As_0000012 281.6 286.4 
Jeremy_Renner/WhwOxdrJ9As_0000013 313.2 318.6 
Jeremy_Renner/WhwOxdrJ9As_0000014 320.3 328.1 
Jeremy_Renner/WhwOxdrJ9As_0000015 342.8 354.8 
Jeremy_Renner/WhwOxdrJ9As_0000016 356.3 361.0 
Jeremy_Renner/WhwOxdrJ9As_0000017 387.2 394.0 
Jeremy_Renner/WhwOxdrJ9As_0000018 406.2 412.8 
Jeremy_Renner/WhwOxdrJ9As_0000019 415.2 421.0 
Jeremy_Renner/WhwOxdrJ9As_0000020 438.8 443.2 
Jeremy_Renner/WhwOxdrJ9As_0000021 479.7 484.4 
Jeremy_Renner/WhwOxdrJ9As_0000022 489.3 493.4 
Jeremy_Renner/WhwOxdrJ9As_0000023 631.0 635.3 
Jeremy_Renner/WhwOxdrJ9As_0000024 664.7 670.8 
Jeremy_Renner/WhwOxdrJ9As_0000025 671.4 677.3 
Jeremy_Renner/WhwOxdrJ9As_0000026 681.5 689.3 
Jeremy_Renner/WhwOxdrJ9As_0000027 696.7 701.1 
Jeremy_Renner/WhwOxdrJ9As_0000028 800.6 804.6 
Jeremy_Renner/WhwOxdrJ9As_0000029 806.7 810.8 
Jeremy_Renner/WhwOxdrJ9As_0000030 836.7 855.7 
Jeremy_Renner/WhwOxdrJ9As_0000031 856.6 860.8 
Jeremy_Renner/WhwOxdrJ9As_0000032 862.8 868.9 
Jeremy_Renner/WhwOxdrJ9As_0000033 877.3 883.3 
Jeremy_Renner/WhwOxdrJ9As_0000034 923.5 928.6 
Jeremy_Renner/WhwOxdrJ9As_0000035 950.8 957.4 
Jeremy_Renner/WhwOxdrJ9As_0000036 969.1 973.4 
Jeremy_Renner/WhwOxdrJ9As_0000037 979.0 985.4 
Jeremy_Renner/WhwOxdrJ9As_0000038 997.8 1003.4 
Jeremy_Renner/WhwOxdrJ9As_0000039 1014.4 1020.0 
Jeremy_Renner/WhwOxdrJ9As_0000040 1005.2 1016.9 
Jeremy_Renner/WhwOxdrJ9As_0000041 1017.3 1023.2 
Jeremy_Renner/WhwOxdrJ9As_0000042 1023.4 1029.1 
Jeremy_Renner/WhwOxdrJ9As_0000043 1029.8 1033.7 
Jeremy_Renner/WhwOxdrJ9As_0000044 1136.9 1141.2 
Jeremy_Renner/WhwOxdrJ9As_0000045 1182.2 1187.2 
Jeremy_Renner/WhwOxdrJ9As_0000046 1223.8 1229.1 
Jeremy_Renner/WhwOxdrJ9As_0000047 1230.9 1235.8 
Jeremy_Renner/WhwOxdrJ9As_0000048 1259.9 1264.4 
Jeremy_Renner/WhwOxdrJ9As_0000049 1249.4 1254.6 
Jeremy_Renner/WhwOxdrJ9As_0000050 1280.7 1284.8 
Jeremy_Renner/WhwOxdrJ9As_0000051 1304.4 1314.0 
Jeremy_Renner/WhwOxdrJ9As_0000052 1350.6 1354.8 
Jeremy_Renner/WhwOxdrJ9As_0000053 1404.2 1409.7 
Jeremy_Renner/WhwOxdrJ9As_0000054 1484.8 1493.6 
Jeremy_Renner/WhwOxdrJ9As_0000055 1598.6 1603.0 
Jeremy_Renner/WhwOxdrJ9As_0000056 1654.6 1658.8 
Jeremy_Renner/WhwOxdrJ9As_0000057 1687.2 1695.0 
Jeremy_Renner/WhwOxdrJ9As_0000058 1750.4 1755.2 
Jeremy_Renner/WhwOxdrJ9As_0000059 1755.9 1761.6 
Jeremy_Renner/WhwOxdrJ9As_0000060 1870.7 1875.9 
