POI: 			Eli_Roth 
Youtube ID: 	vaK4t1-WD4M 
Video length: 	1406.5 sec 
Set (V): 		test 
 
Eli_Roth/vaK4t1-WD4M_0000001 06.3 10.3 
Eli_Roth/vaK4t1-WD4M_0000002 31.3 35.7 
Eli_Roth/vaK4t1-WD4M_0000003 141.2 146.7 
Eli_Roth/vaK4t1-WD4M_0000004 150.0 155.2 
Eli_Roth/vaK4t1-WD4M_0000005 160.6 165.9 
Eli_Roth/vaK4t1-WD4M_0000006 170.2 198.9 
Eli_Roth/vaK4t1-WD4M_0000007 203.3 207.7 
Eli_Roth/vaK4t1-WD4M_0000008 207.8 216.0 
Eli_Roth/vaK4t1-WD4M_0000009 254.0 269.4 
Eli_Roth/vaK4t1-WD4M_0000010 296.0 302.6 
Eli_Roth/vaK4t1-WD4M_0000011 303.1 316.4 
Eli_Roth/vaK4t1-WD4M_0000012 329.3 337.4 
Eli_Roth/vaK4t1-WD4M_0000013 337.6 346.0 
Eli_Roth/vaK4t1-WD4M_0000014 372.4 378.4 
Eli_Roth/vaK4t1-WD4M_0000015 383.2 388.4 
Eli_Roth/vaK4t1-WD4M_0000016 392.5 403.6 
Eli_Roth/vaK4t1-WD4M_0000017 403.8 415.2 
Eli_Roth/vaK4t1-WD4M_0000018 417.4 421.6 
Eli_Roth/vaK4t1-WD4M_0000019 422.5 427.2 
Eli_Roth/vaK4t1-WD4M_0000020 575.8 586.3 
Eli_Roth/vaK4t1-WD4M_0000021 586.5 592.5 
Eli_Roth/vaK4t1-WD4M_0000022 592.9 606.9 
Eli_Roth/vaK4t1-WD4M_0000023 607.0 618.7 
Eli_Roth/vaK4t1-WD4M_0000024 621.1 650.8 
Eli_Roth/vaK4t1-WD4M_0000025 651.4 668.7 
Eli_Roth/vaK4t1-WD4M_0000026 669.0 675.1 
Eli_Roth/vaK4t1-WD4M_0000027 675.7 683.6 
Eli_Roth/vaK4t1-WD4M_0000028 684.0 688.0 
Eli_Roth/vaK4t1-WD4M_0000029 691.3 711.9 
Eli_Roth/vaK4t1-WD4M_0000030 712.0 716.2 
Eli_Roth/vaK4t1-WD4M_0000031 716.7 722.2 
Eli_Roth/vaK4t1-WD4M_0000032 809.4 815.6 
Eli_Roth/vaK4t1-WD4M_0000033 820.1 828.4 
Eli_Roth/vaK4t1-WD4M_0000034 833.9 840.5 
Eli_Roth/vaK4t1-WD4M_0000035 842.6 847.7 
Eli_Roth/vaK4t1-WD4M_0000036 850.0 854.8 
Eli_Roth/vaK4t1-WD4M_0000037 854.9 879.0 
Eli_Roth/vaK4t1-WD4M_0000038 1044.4 1048.5 
Eli_Roth/vaK4t1-WD4M_0000039 1048.7 1054.9 
Eli_Roth/vaK4t1-WD4M_0000040 1200.6 1210.4 
Eli_Roth/vaK4t1-WD4M_0000041 1210.7 1217.0 
Eli_Roth/vaK4t1-WD4M_0000042 1217.3 1227.4 
Eli_Roth/vaK4t1-WD4M_0000043 1248.4 1257.9 
Eli_Roth/vaK4t1-WD4M_0000044 1262.1 1269.5 
Eli_Roth/vaK4t1-WD4M_0000045 1276.2 1280.2 
Eli_Roth/vaK4t1-WD4M_0000046 1288.0 1309.8 
Eli_Roth/vaK4t1-WD4M_0000047 1316.9 1327.6 
Eli_Roth/vaK4t1-WD4M_0000048 1341.9 1348.6 
Eli_Roth/vaK4t1-WD4M_0000049 1389.3 1396.8 
