POI: 			Nina_Hoss 
Youtube ID: 	x5fvCg-HGdo 
Video length: 	5294.2 sec 
Set (V): 		dev 
 
Nina_Hoss/x5fvCg-HGdo_0000001 126.0 133.4 
Nina_Hoss/x5fvCg-HGdo_0000002 140.2 145.6 
Nina_Hoss/x5fvCg-HGdo_0000003 147.3 154.6 
Nina_Hoss/x5fvCg-HGdo_0000004 181.7 187.1 
Nina_Hoss/x5fvCg-HGdo_0000005 188.4 194.7 
Nina_Hoss/x5fvCg-HGdo_0000006 197.7 202.1 
Nina_Hoss/x5fvCg-HGdo_0000007 205.0 209.1 
Nina_Hoss/x5fvCg-HGdo_0000008 210.0 214.5 
Nina_Hoss/x5fvCg-HGdo_0000009 216.9 222.4 
Nina_Hoss/x5fvCg-HGdo_0000010 226.1 235.0 
Nina_Hoss/x5fvCg-HGdo_0000011 245.1 263.2 
Nina_Hoss/x5fvCg-HGdo_0000012 281.6 294.6 
Nina_Hoss/x5fvCg-HGdo_0000013 297.1 307.2 
Nina_Hoss/x5fvCg-HGdo_0000014 309.8 314.9 
Nina_Hoss/x5fvCg-HGdo_0000015 348.0 368.1 
Nina_Hoss/x5fvCg-HGdo_0000016 374.0 382.0 
Nina_Hoss/x5fvCg-HGdo_0000017 382.4 389.3 
Nina_Hoss/x5fvCg-HGdo_0000018 396.9 401.2 
Nina_Hoss/x5fvCg-HGdo_0000019 442.0 446.0 
Nina_Hoss/x5fvCg-HGdo_0000020 460.0 464.5 
Nina_Hoss/x5fvCg-HGdo_0000021 469.7 474.7 
Nina_Hoss/x5fvCg-HGdo_0000022 480.4 489.5 
Nina_Hoss/x5fvCg-HGdo_0000023 528.9 534.7 
Nina_Hoss/x5fvCg-HGdo_0000024 897.0 908.8 
Nina_Hoss/x5fvCg-HGdo_0000025 914.9 920.8 
Nina_Hoss/x5fvCg-HGdo_0000026 977.6 984.5 
Nina_Hoss/x5fvCg-HGdo_0000027 985.7 991.1 
Nina_Hoss/x5fvCg-HGdo_0000028 1000.6 1006.1 
Nina_Hoss/x5fvCg-HGdo_0000029 1065.5 1069.6 
Nina_Hoss/x5fvCg-HGdo_0000030 1106.1 1114.2 
Nina_Hoss/x5fvCg-HGdo_0000031 1132.2 1136.8 
Nina_Hoss/x5fvCg-HGdo_0000032 1222.7 1226.8 
Nina_Hoss/x5fvCg-HGdo_0000033 1249.0 1259.2 
Nina_Hoss/x5fvCg-HGdo_0000034 1260.4 1265.7 
Nina_Hoss/x5fvCg-HGdo_0000035 1274.8 1278.8 
Nina_Hoss/x5fvCg-HGdo_0000036 1335.1 1339.6 
Nina_Hoss/x5fvCg-HGdo_0000037 1345.2 1351.9 
Nina_Hoss/x5fvCg-HGdo_0000038 1402.1 1406.4 
Nina_Hoss/x5fvCg-HGdo_0000039 1420.5 1424.6 
Nina_Hoss/x5fvCg-HGdo_0000040 1426.8 1441.2 
Nina_Hoss/x5fvCg-HGdo_0000041 1442.0 1449.6 
Nina_Hoss/x5fvCg-HGdo_0000042 1464.1 1471.2 
Nina_Hoss/x5fvCg-HGdo_0000043 1477.0 1484.1 
Nina_Hoss/x5fvCg-HGdo_0000044 1484.9 1490.9 
Nina_Hoss/x5fvCg-HGdo_0000045 1503.2 1507.4 
Nina_Hoss/x5fvCg-HGdo_0000046 1509.6 1518.9 
Nina_Hoss/x5fvCg-HGdo_0000047 2006.6 2013.6 
Nina_Hoss/x5fvCg-HGdo_0000048 2282.2 2286.4 
Nina_Hoss/x5fvCg-HGdo_0000049 2287.4 2293.6 
Nina_Hoss/x5fvCg-HGdo_0000050 2299.8 2309.4 
Nina_Hoss/x5fvCg-HGdo_0000051 2341.2 2346.1 
Nina_Hoss/x5fvCg-HGdo_0000052 2425.4 2429.7 
Nina_Hoss/x5fvCg-HGdo_0000053 2436.9 2441.0 
Nina_Hoss/x5fvCg-HGdo_0000054 2446.8 2456.4 
Nina_Hoss/x5fvCg-HGdo_0000055 2579.8 2585.7 
Nina_Hoss/x5fvCg-HGdo_0000056 2586.7 2590.7 
Nina_Hoss/x5fvCg-HGdo_0000057 2592.1 2597.8 
Nina_Hoss/x5fvCg-HGdo_0000058 2608.3 2614.7 
Nina_Hoss/x5fvCg-HGdo_0000059 2677.9 2683.2 
Nina_Hoss/x5fvCg-HGdo_0000060 2689.8 2696.1 
Nina_Hoss/x5fvCg-HGdo_0000061 2702.6 2709.5 
Nina_Hoss/x5fvCg-HGdo_0000062 2714.2 2720.3 
Nina_Hoss/x5fvCg-HGdo_0000063 2728.1 2734.7 
Nina_Hoss/x5fvCg-HGdo_0000064 2877.6 2881.9 
Nina_Hoss/x5fvCg-HGdo_0000065 2893.5 2898.2 
Nina_Hoss/x5fvCg-HGdo_0000066 2907.4 2912.0 
Nina_Hoss/x5fvCg-HGdo_0000067 3328.6 3334.7 
Nina_Hoss/x5fvCg-HGdo_0000068 3353.2 3357.2 
Nina_Hoss/x5fvCg-HGdo_0000069 3419.3 3423.6 
Nina_Hoss/x5fvCg-HGdo_0000070 3434.3 3440.4 
Nina_Hoss/x5fvCg-HGdo_0000071 3440.7 3454.7 
Nina_Hoss/x5fvCg-HGdo_0000072 3457.0 3463.2 
Nina_Hoss/x5fvCg-HGdo_0000073 3468.9 3476.5 
Nina_Hoss/x5fvCg-HGdo_0000074 3507.5 3513.3 
Nina_Hoss/x5fvCg-HGdo_0000075 3519.3 3533.1 
Nina_Hoss/x5fvCg-HGdo_0000076 3943.9 3951.6 
Nina_Hoss/x5fvCg-HGdo_0000077 3966.1 3970.8 
Nina_Hoss/x5fvCg-HGdo_0000078 3984.4 3990.4 
Nina_Hoss/x5fvCg-HGdo_0000079 4006.8 4012.5 
Nina_Hoss/x5fvCg-HGdo_0000080 4034.0 4038.4 
Nina_Hoss/x5fvCg-HGdo_0000081 4041.2 4046.7 
Nina_Hoss/x5fvCg-HGdo_0000082 4172.6 4176.9 
Nina_Hoss/x5fvCg-HGdo_0000083 4352.5 4357.3 
Nina_Hoss/x5fvCg-HGdo_0000084 4365.9 4370.1 
Nina_Hoss/x5fvCg-HGdo_0000085 4371.6 4376.5 
Nina_Hoss/x5fvCg-HGdo_0000086 4377.6 4392.3 
Nina_Hoss/x5fvCg-HGdo_0000087 4707.9 4713.9 
Nina_Hoss/x5fvCg-HGdo_0000088 4741.0 4745.2 
Nina_Hoss/x5fvCg-HGdo_0000089 4771.9 4781.2 
Nina_Hoss/x5fvCg-HGdo_0000090 5177.0 5187.3 
Nina_Hoss/x5fvCg-HGdo_0000091 5201.1 5207.2 
Nina_Hoss/x5fvCg-HGdo_0000092 5218.8 5225.6 
