POI: 			Sherri_Shepherd 
Youtube ID: 	iaK4auj0fmE 
Video length: 	1209.1 sec 
Set (V): 		dev 
 
Sherri_Shepherd/iaK4auj0fmE_0000001 61.1 66.0 
Sherri_Shepherd/iaK4auj0fmE_0000002 70.7 75.3 
Sherri_Shepherd/iaK4auj0fmE_0000003 75.9 88.6 
Sherri_Shepherd/iaK4auj0fmE_0000004 88.9 119.2 
Sherri_Shepherd/iaK4auj0fmE_0000005 120.2 128.2 
Sherri_Shepherd/iaK4auj0fmE_0000006 236.4 285.5 
Sherri_Shepherd/iaK4auj0fmE_0000007 367.7 374.6 
Sherri_Shepherd/iaK4auj0fmE_0000008 374.9 383.8 
Sherri_Shepherd/iaK4auj0fmE_0000009 384.4 389.8 
Sherri_Shepherd/iaK4auj0fmE_0000010 435.7 442.3 
Sherri_Shepherd/iaK4auj0fmE_0000011 448.1 459.1 
Sherri_Shepherd/iaK4auj0fmE_0000012 654.0 662.2 
Sherri_Shepherd/iaK4auj0fmE_0000013 743.2 749.5 
Sherri_Shepherd/iaK4auj0fmE_0000014 768.3 776.8 
Sherri_Shepherd/iaK4auj0fmE_0000015 834.1 847.6 
Sherri_Shepherd/iaK4auj0fmE_0000016 851.4 856.0 
Sherri_Shepherd/iaK4auj0fmE_0000017 907.8 927.5 
Sherri_Shepherd/iaK4auj0fmE_0000018 1049.4 1053.9 
Sherri_Shepherd/iaK4auj0fmE_0000019 1054.6 1074.1 
Sherri_Shepherd/iaK4auj0fmE_0000020 1074.7 1085.0 
Sherri_Shepherd/iaK4auj0fmE_0000021 1090.5 1099.2 
Sherri_Shepherd/iaK4auj0fmE_0000022 1115.8 1119.7 
Sherri_Shepherd/iaK4auj0fmE_0000023 1120.6 1131.0 
Sherri_Shepherd/iaK4auj0fmE_0000024 1138.2 1143.0 
Sherri_Shepherd/iaK4auj0fmE_0000025 1154.4 1161.4 
