POI: 			Sherri_Shepherd 
Youtube ID: 	4HMwa4lCOmU 
Video length: 	363.7 sec 
Set (V): 		dev 
 
Sherri_Shepherd/4HMwa4lCOmU_0000001 16.6 49.1 
Sherri_Shepherd/4HMwa4lCOmU_0000002 61.6 77.5 
Sherri_Shepherd/4HMwa4lCOmU_0000003 90.1 118.4 
Sherri_Shepherd/4HMwa4lCOmU_0000004 120.2 131.0 
Sherri_Shepherd/4HMwa4lCOmU_0000005 131.7 146.1 
Sherri_Shepherd/4HMwa4lCOmU_0000006 147.1 152.6 
Sherri_Shepherd/4HMwa4lCOmU_0000007 157.8 163.2 
Sherri_Shepherd/4HMwa4lCOmU_0000008 166.5 195.4 
Sherri_Shepherd/4HMwa4lCOmU_0000009 199.2 204.1 
Sherri_Shepherd/4HMwa4lCOmU_0000010 209.0 223.6 
Sherri_Shepherd/4HMwa4lCOmU_0000011 227.4 244.0 
Sherri_Shepherd/4HMwa4lCOmU_0000012 246.8 252.4 
Sherri_Shepherd/4HMwa4lCOmU_0000013 133.6 146.3 
Sherri_Shepherd/4HMwa4lCOmU_0000014 147.1 152.8 
Sherri_Shepherd/4HMwa4lCOmU_0000015 153.4 166.0 
Sherri_Shepherd/4HMwa4lCOmU_0000016 166.7 172.4 
Sherri_Shepherd/4HMwa4lCOmU_0000017 272.8 290.4 
Sherri_Shepherd/4HMwa4lCOmU_0000018 297.5 336.2 
Sherri_Shepherd/4HMwa4lCOmU_0000019 299.1 314.8 
