POI: 			Kelli_Williams 
Youtube ID: 	IiGyp9K0AZk 
Video length: 	404.3 sec 
Set (V): 		dev 
 
Kelli_Williams/IiGyp9K0AZk_0000001 09.9 14.5 
Kelli_Williams/IiGyp9K0AZk_0000002 15.4 24.2 
Kelli_Williams/IiGyp9K0AZk_0000003 25.6 31.6 
Kelli_Williams/IiGyp9K0AZk_0000004 70.0 83.1 
Kelli_Williams/IiGyp9K0AZk_0000005 83.8 92.7 
Kelli_Williams/IiGyp9K0AZk_0000006 95.9 100.4 
Kelli_Williams/IiGyp9K0AZk_0000007 100.7 114.9 
Kelli_Williams/IiGyp9K0AZk_0000008 129.1 138.4 
Kelli_Williams/IiGyp9K0AZk_0000009 139.1 152.9 
Kelli_Williams/IiGyp9K0AZk_0000010 153.2 159.4 
Kelli_Williams/IiGyp9K0AZk_0000011 169.2 182.2 
Kelli_Williams/IiGyp9K0AZk_0000012 186.8 197.4 
Kelli_Williams/IiGyp9K0AZk_0000013 197.8 203.6 
Kelli_Williams/IiGyp9K0AZk_0000014 208.0 216.5 
Kelli_Williams/IiGyp9K0AZk_0000015 228.2 233.0 
Kelli_Williams/IiGyp9K0AZk_0000016 234.8 243.6 
Kelli_Williams/IiGyp9K0AZk_0000017 244.1 258.2 
Kelli_Williams/IiGyp9K0AZk_0000018 277.0 281.8 
Kelli_Williams/IiGyp9K0AZk_0000019 283.3 290.9 
Kelli_Williams/IiGyp9K0AZk_0000020 291.4 297.8 
Kelli_Williams/IiGyp9K0AZk_0000021 298.6 310.3 
Kelli_Williams/IiGyp9K0AZk_0000022 311.2 317.9 
Kelli_Williams/IiGyp9K0AZk_0000023 337.2 345.5 
Kelli_Williams/IiGyp9K0AZk_0000024 347.8 355.7 
Kelli_Williams/IiGyp9K0AZk_0000025 356.6 390.2 
