POI: 			Jane_Badler 
Youtube ID: 	SsMzt6Smk3Y 
Video length: 	2063.0 sec 
Set (V): 		dev 
 
Jane_Badler/SsMzt6Smk3Y_0000001 153.8 158.8 
Jane_Badler/SsMzt6Smk3Y_0000002 165.3 176.0 
Jane_Badler/SsMzt6Smk3Y_0000003 180.5 184.6 
Jane_Badler/SsMzt6Smk3Y_0000004 188.4 193.3 
Jane_Badler/SsMzt6Smk3Y_0000005 193.8 202.3 
Jane_Badler/SsMzt6Smk3Y_0000006 206.0 210.6 
Jane_Badler/SsMzt6Smk3Y_0000007 235.9 240.7 
Jane_Badler/SsMzt6Smk3Y_0000008 244.1 253.6 
Jane_Badler/SsMzt6Smk3Y_0000009 258.4 263.1 
Jane_Badler/SsMzt6Smk3Y_0000010 267.2 272.6 
Jane_Badler/SsMzt6Smk3Y_0000011 284.5 290.8 
Jane_Badler/SsMzt6Smk3Y_0000012 314.6 321.1 
Jane_Badler/SsMzt6Smk3Y_0000013 357.3 362.6 
Jane_Badler/SsMzt6Smk3Y_0000014 391.6 402.2 
Jane_Badler/SsMzt6Smk3Y_0000015 421.8 428.2 
Jane_Badler/SsMzt6Smk3Y_0000016 431.4 436.2 
Jane_Badler/SsMzt6Smk3Y_0000017 440.2 449.2 
Jane_Badler/SsMzt6Smk3Y_0000018 473.5 488.6 
Jane_Badler/SsMzt6Smk3Y_0000019 479.6 485.1 
Jane_Badler/SsMzt6Smk3Y_0000020 532.0 544.7 
Jane_Badler/SsMzt6Smk3Y_0000021 551.4 565.1 
Jane_Badler/SsMzt6Smk3Y_0000022 568.8 574.7 
Jane_Badler/SsMzt6Smk3Y_0000023 632.0 642.1 
Jane_Badler/SsMzt6Smk3Y_0000024 682.8 697.0 
Jane_Badler/SsMzt6Smk3Y_0000025 731.2 740.0 
Jane_Badler/SsMzt6Smk3Y_0000026 780.9 798.9 
Jane_Badler/SsMzt6Smk3Y_0000027 804.2 809.5 
Jane_Badler/SsMzt6Smk3Y_0000028 821.0 828.3 
Jane_Badler/SsMzt6Smk3Y_0000029 831.9 837.1 
Jane_Badler/SsMzt6Smk3Y_0000030 919.7 926.8 
Jane_Badler/SsMzt6Smk3Y_0000031 929.9 938.0 
Jane_Badler/SsMzt6Smk3Y_0000032 963.1 968.4 
Jane_Badler/SsMzt6Smk3Y_0000033 1015.4 1021.1 
Jane_Badler/SsMzt6Smk3Y_0000034 1021.3 1028.1 
Jane_Badler/SsMzt6Smk3Y_0000035 1067.3 1079.6 
Jane_Badler/SsMzt6Smk3Y_0000036 1084.7 1093.3 
Jane_Badler/SsMzt6Smk3Y_0000037 1096.7 1101.0 
Jane_Badler/SsMzt6Smk3Y_0000038 1138.2 1147.0 
Jane_Badler/SsMzt6Smk3Y_0000039 1158.6 1167.2 
Jane_Badler/SsMzt6Smk3Y_0000040 1201.8 1205.8 
Jane_Badler/SsMzt6Smk3Y_0000041 1209.0 1215.6 
Jane_Badler/SsMzt6Smk3Y_0000042 1223.1 1229.6 
Jane_Badler/SsMzt6Smk3Y_0000043 1234.6 1239.2 
Jane_Badler/SsMzt6Smk3Y_0000044 1246.8 1252.8 
Jane_Badler/SsMzt6Smk3Y_0000045 1261.8 1276.4 
Jane_Badler/SsMzt6Smk3Y_0000046 1280.0 1288.1 
Jane_Badler/SsMzt6Smk3Y_0000047 1291.6 1298.0 
Jane_Badler/SsMzt6Smk3Y_0000048 1351.1 1357.0 
Jane_Badler/SsMzt6Smk3Y_0000049 1362.3 1369.3 
Jane_Badler/SsMzt6Smk3Y_0000050 1456.7 1461.1 
Jane_Badler/SsMzt6Smk3Y_0000051 1465.6 1469.8 
Jane_Badler/SsMzt6Smk3Y_0000052 1479.8 1487.8 
Jane_Badler/SsMzt6Smk3Y_0000053 1494.1 1498.5 
Jane_Badler/SsMzt6Smk3Y_0000054 1563.0 1567.8 
Jane_Badler/SsMzt6Smk3Y_0000055 1577.2 1582.4 
Jane_Badler/SsMzt6Smk3Y_0000056 1608.4 1613.7 
Jane_Badler/SsMzt6Smk3Y_0000057 1628.4 1635.7 
Jane_Badler/SsMzt6Smk3Y_0000058 1695.8 1700.2 
Jane_Badler/SsMzt6Smk3Y_0000059 1709.8 1718.7 
Jane_Badler/SsMzt6Smk3Y_0000060 1737.3 1741.8 
Jane_Badler/SsMzt6Smk3Y_0000061 1783.7 1790.2 
Jane_Badler/SsMzt6Smk3Y_0000062 1794.0 1808.0 
Jane_Badler/SsMzt6Smk3Y_0000063 1864.7 1869.6 
Jane_Badler/SsMzt6Smk3Y_0000064 1874.9 1884.0 
Jane_Badler/SsMzt6Smk3Y_0000065 1888.4 1895.4 
Jane_Badler/SsMzt6Smk3Y_0000066 1899.8 1906.0 
Jane_Badler/SsMzt6Smk3Y_0000067 1926.8 1944.1 
Jane_Badler/SsMzt6Smk3Y_0000068 1947.5 1952.3 
Jane_Badler/SsMzt6Smk3Y_0000069 1999.7 2005.6 
