POI: 			Sharon_Gless 
Youtube ID: 	8G3_ivIljxQ 
Video length: 	730.1 sec 
Set (V): 		dev 
 
Sharon_Gless/8G3_ivIljxQ_0000001 18.7 26.7 
Sharon_Gless/8G3_ivIljxQ_0000002 26.8 35.1 
Sharon_Gless/8G3_ivIljxQ_0000003 37.2 41.4 
Sharon_Gless/8G3_ivIljxQ_0000004 50.2 58.5 
Sharon_Gless/8G3_ivIljxQ_0000005 71.8 75.8 
Sharon_Gless/8G3_ivIljxQ_0000006 76.0 80.1 
Sharon_Gless/8G3_ivIljxQ_0000007 96.3 105.0 
Sharon_Gless/8G3_ivIljxQ_0000008 110.4 118.6 
Sharon_Gless/8G3_ivIljxQ_0000009 119.6 124.8 
Sharon_Gless/8G3_ivIljxQ_0000010 155.6 160.4 
Sharon_Gless/8G3_ivIljxQ_0000011 188.8 192.7 
Sharon_Gless/8G3_ivIljxQ_0000012 205.3 211.2 
Sharon_Gless/8G3_ivIljxQ_0000013 226.4 231.7 
Sharon_Gless/8G3_ivIljxQ_0000014 249.0 256.4 
Sharon_Gless/8G3_ivIljxQ_0000015 260.2 266.0 
Sharon_Gless/8G3_ivIljxQ_0000016 271.9 278.1 
Sharon_Gless/8G3_ivIljxQ_0000017 285.3 293.2 
Sharon_Gless/8G3_ivIljxQ_0000018 305.7 316.4 
Sharon_Gless/8G3_ivIljxQ_0000019 355.1 361.0 
Sharon_Gless/8G3_ivIljxQ_0000020 400.6 405.4 
Sharon_Gless/8G3_ivIljxQ_0000021 419.7 423.7 
Sharon_Gless/8G3_ivIljxQ_0000022 439.1 447.1 
Sharon_Gless/8G3_ivIljxQ_0000023 449.2 462.7 
Sharon_Gless/8G3_ivIljxQ_0000024 470.3 475.1 
Sharon_Gless/8G3_ivIljxQ_0000025 496.2 502.3 
Sharon_Gless/8G3_ivIljxQ_0000026 519.7 524.2 
Sharon_Gless/8G3_ivIljxQ_0000027 543.4 550.1 
Sharon_Gless/8G3_ivIljxQ_0000028 552.6 557.4 
Sharon_Gless/8G3_ivIljxQ_0000029 656.0 668.1 
Sharon_Gless/8G3_ivIljxQ_0000030 671.1 675.3 
