POI: 			Sharon_Gless 
Youtube ID: 	8iNMKzjk6Lc 
Video length: 	661.1 sec 
Set (V): 		dev 
 
Sharon_Gless/8iNMKzjk6Lc_0000001 16.9 21.1 
Sharon_Gless/8iNMKzjk6Lc_0000002 38.8 42.9 
Sharon_Gless/8iNMKzjk6Lc_0000003 73.5 78.1 
Sharon_Gless/8iNMKzjk6Lc_0000004 80.5 86.2 
Sharon_Gless/8iNMKzjk6Lc_0000005 95.8 101.2 
Sharon_Gless/8iNMKzjk6Lc_0000006 118.0 125.3 
Sharon_Gless/8iNMKzjk6Lc_0000007 126.3 131.9 
Sharon_Gless/8iNMKzjk6Lc_0000008 132.6 142.0 
Sharon_Gless/8iNMKzjk6Lc_0000009 154.0 163.3 
Sharon_Gless/8iNMKzjk6Lc_0000010 173.1 183.8 
Sharon_Gless/8iNMKzjk6Lc_0000011 190.0 194.5 
Sharon_Gless/8iNMKzjk6Lc_0000012 207.0 214.4 
Sharon_Gless/8iNMKzjk6Lc_0000013 238.0 245.8 
Sharon_Gless/8iNMKzjk6Lc_0000014 250.6 261.8 
Sharon_Gless/8iNMKzjk6Lc_0000015 276.1 281.5 
Sharon_Gless/8iNMKzjk6Lc_0000016 281.8 286.0 
Sharon_Gless/8iNMKzjk6Lc_0000017 287.4 292.8 
Sharon_Gless/8iNMKzjk6Lc_0000018 299.1 304.8 
Sharon_Gless/8iNMKzjk6Lc_0000019 313.6 318.3 
Sharon_Gless/8iNMKzjk6Lc_0000020 351.1 356.4 
Sharon_Gless/8iNMKzjk6Lc_0000021 366.7 371.6 
Sharon_Gless/8iNMKzjk6Lc_0000022 391.1 395.8 
Sharon_Gless/8iNMKzjk6Lc_0000023 402.8 413.4 
Sharon_Gless/8iNMKzjk6Lc_0000024 418.7 423.5 
Sharon_Gless/8iNMKzjk6Lc_0000025 428.8 433.8 
Sharon_Gless/8iNMKzjk6Lc_0000026 463.2 472.3 
Sharon_Gless/8iNMKzjk6Lc_0000027 474.1 478.2 
Sharon_Gless/8iNMKzjk6Lc_0000028 483.1 488.0 
Sharon_Gless/8iNMKzjk6Lc_0000029 496.3 500.6 
Sharon_Gless/8iNMKzjk6Lc_0000030 510.4 518.0 
Sharon_Gless/8iNMKzjk6Lc_0000031 521.4 527.8 
Sharon_Gless/8iNMKzjk6Lc_0000032 560.9 566.2 
Sharon_Gless/8iNMKzjk6Lc_0000033 566.7 573.0 
Sharon_Gless/8iNMKzjk6Lc_0000034 585.5 590.0 
Sharon_Gless/8iNMKzjk6Lc_0000035 603.0 608.1 
Sharon_Gless/8iNMKzjk6Lc_0000036 610.3 616.7 
Sharon_Gless/8iNMKzjk6Lc_0000037 627.2 634.3 
Sharon_Gless/8iNMKzjk6Lc_0000038 651.4 657.9 
