POI: 			Sharon_Gless 
Youtube ID: 	XsJZ_SuFgR4 
Video length: 	538.9 sec 
Set (V): 		dev 
 
Sharon_Gless/XsJZ_SuFgR4_0000001 06.1 12.9 
Sharon_Gless/XsJZ_SuFgR4_0000002 28.7 33.7 
Sharon_Gless/XsJZ_SuFgR4_0000003 43.8 48.7 
Sharon_Gless/XsJZ_SuFgR4_0000004 65.6 69.6 
Sharon_Gless/XsJZ_SuFgR4_0000005 69.6 76.4 
Sharon_Gless/XsJZ_SuFgR4_0000006 76.8 85.0 
Sharon_Gless/XsJZ_SuFgR4_0000007 99.0 103.2 
Sharon_Gless/XsJZ_SuFgR4_0000008 104.1 108.1 
Sharon_Gless/XsJZ_SuFgR4_0000009 103.9 108.5 
Sharon_Gless/XsJZ_SuFgR4_0000010 120.2 125.6 
Sharon_Gless/XsJZ_SuFgR4_0000011 138.4 143.8 
Sharon_Gless/XsJZ_SuFgR4_0000012 155.0 161.6 
Sharon_Gless/XsJZ_SuFgR4_0000013 167.6 175.4 
Sharon_Gless/XsJZ_SuFgR4_0000014 207.5 212.0 
Sharon_Gless/XsJZ_SuFgR4_0000015 245.4 249.4 
Sharon_Gless/XsJZ_SuFgR4_0000016 261.4 268.8 
Sharon_Gless/XsJZ_SuFgR4_0000017 270.0 277.0 
Sharon_Gless/XsJZ_SuFgR4_0000018 292.2 298.7 
Sharon_Gless/XsJZ_SuFgR4_0000019 316.6 325.3 
Sharon_Gless/XsJZ_SuFgR4_0000020 332.9 347.4 
Sharon_Gless/XsJZ_SuFgR4_0000021 360.0 364.0 
Sharon_Gless/XsJZ_SuFgR4_0000022 365.2 370.2 
Sharon_Gless/XsJZ_SuFgR4_0000023 385.0 391.7 
Sharon_Gless/XsJZ_SuFgR4_0000024 397.6 403.8 
Sharon_Gless/XsJZ_SuFgR4_0000025 406.2 410.7 
Sharon_Gless/XsJZ_SuFgR4_0000026 411.4 419.0 
Sharon_Gless/XsJZ_SuFgR4_0000027 426.6 433.8 
Sharon_Gless/XsJZ_SuFgR4_0000028 434.6 443.5 
Sharon_Gless/XsJZ_SuFgR4_0000029 446.6 454.5 
Sharon_Gless/XsJZ_SuFgR4_0000030 459.2 466.8 
Sharon_Gless/XsJZ_SuFgR4_0000031 484.0 490.4 
Sharon_Gless/XsJZ_SuFgR4_0000032 492.2 496.2 
Sharon_Gless/XsJZ_SuFgR4_0000033 499.9 505.4 
Sharon_Gless/XsJZ_SuFgR4_0000034 509.5 515.5 
