POI: 			James_Nesbitt 
Youtube ID: 	4HMR-DEO8WE 
Video length: 	308.4 sec 
Set (V): 		dev 
 
James_Nesbitt/4HMR-DEO8WE_0000001 41.0 48.6 
James_Nesbitt/4HMR-DEO8WE_0000002 48.8 52.9 
James_Nesbitt/4HMR-DEO8WE_0000003 62.0 66.7 
James_Nesbitt/4HMR-DEO8WE_0000004 70.0 75.1 
James_Nesbitt/4HMR-DEO8WE_0000005 77.6 82.6 
James_Nesbitt/4HMR-DEO8WE_0000006 83.5 91.2 
James_Nesbitt/4HMR-DEO8WE_0000007 115.4 125.5 
James_Nesbitt/4HMR-DEO8WE_0000008 126.0 137.2 
James_Nesbitt/4HMR-DEO8WE_0000009 145.1 153.1 
James_Nesbitt/4HMR-DEO8WE_0000010 169.6 177.7 
James_Nesbitt/4HMR-DEO8WE_0000011 179.2 193.2 
James_Nesbitt/4HMR-DEO8WE_0000012 194.2 198.9 
James_Nesbitt/4HMR-DEO8WE_0000013 199.5 206.0 
James_Nesbitt/4HMR-DEO8WE_0000014 214.6 221.0 
James_Nesbitt/4HMR-DEO8WE_0000015 230.9 242.7 
James_Nesbitt/4HMR-DEO8WE_0000016 242.5 250.3 
