POI: 			Shirley_Manson 
Youtube ID: 	BeWeZfdtKew 
Video length: 	736.3 sec 
Set (V): 		dev 
 
Shirley_Manson/BeWeZfdtKew_0000001 45.9 52.1 
Shirley_Manson/BeWeZfdtKew_0000002 60.9 66.1 
Shirley_Manson/BeWeZfdtKew_0000003 134.0 141.5 
Shirley_Manson/BeWeZfdtKew_0000004 149.4 156.6 
Shirley_Manson/BeWeZfdtKew_0000005 161.7 166.5 
Shirley_Manson/BeWeZfdtKew_0000006 165.0 170.5 
Shirley_Manson/BeWeZfdtKew_0000007 184.6 189.8 
Shirley_Manson/BeWeZfdtKew_0000008 200.7 204.8 
Shirley_Manson/BeWeZfdtKew_0000009 225.0 233.4 
Shirley_Manson/BeWeZfdtKew_0000010 233.4 238.3 
Shirley_Manson/BeWeZfdtKew_0000011 249.6 255.8 
Shirley_Manson/BeWeZfdtKew_0000012 336.1 343.5 
Shirley_Manson/BeWeZfdtKew_0000013 377.3 383.6 
Shirley_Manson/BeWeZfdtKew_0000014 390.4 396.2 
Shirley_Manson/BeWeZfdtKew_0000015 397.1 401.7 
Shirley_Manson/BeWeZfdtKew_0000016 410.9 417.1 
Shirley_Manson/BeWeZfdtKew_0000017 435.3 453.5 
Shirley_Manson/BeWeZfdtKew_0000018 464.4 470.7 
Shirley_Manson/BeWeZfdtKew_0000019 471.6 478.4 
Shirley_Manson/BeWeZfdtKew_0000020 500.5 505.6 
Shirley_Manson/BeWeZfdtKew_0000021 612.6 616.8 
Shirley_Manson/BeWeZfdtKew_0000022 629.6 633.9 
Shirley_Manson/BeWeZfdtKew_0000023 636.2 648.0 
Shirley_Manson/BeWeZfdtKew_0000024 713.0 717.6 
