POI: 			Pamela_Adlon 
Youtube ID: 	E-_6p6zrFJk 
Video length: 	525.2 sec 
Set (V): 		dev 
 
Pamela_Adlon/E-_6p6zrFJk_0000001 09.3 17.1 
Pamela_Adlon/E-_6p6zrFJk_0000002 17.9 22.5 
Pamela_Adlon/E-_6p6zrFJk_0000003 28.0 35.6 
Pamela_Adlon/E-_6p6zrFJk_0000004 37.0 45.0 
Pamela_Adlon/E-_6p6zrFJk_0000005 46.1 50.3 
Pamela_Adlon/E-_6p6zrFJk_0000006 56.1 63.7 
Pamela_Adlon/E-_6p6zrFJk_0000007 68.9 73.1 
Pamela_Adlon/E-_6p6zrFJk_0000008 74.0 78.3 
Pamela_Adlon/E-_6p6zrFJk_0000009 81.0 88.5 
Pamela_Adlon/E-_6p6zrFJk_0000010 90.9 104.4 
Pamela_Adlon/E-_6p6zrFJk_0000011 77.8 88.6 
Pamela_Adlon/E-_6p6zrFJk_0000012 89.6 109.9 
Pamela_Adlon/E-_6p6zrFJk_0000013 111.8 117.0 
Pamela_Adlon/E-_6p6zrFJk_0000014 134.7 141.3 
Pamela_Adlon/E-_6p6zrFJk_0000015 149.9 158.4 
Pamela_Adlon/E-_6p6zrFJk_0000016 168.7 175.2 
Pamela_Adlon/E-_6p6zrFJk_0000017 177.2 182.6 
Pamela_Adlon/E-_6p6zrFJk_0000018 187.5 197.0 
Pamela_Adlon/E-_6p6zrFJk_0000019 198.0 202.0 
Pamela_Adlon/E-_6p6zrFJk_0000020 207.2 212.0 
Pamela_Adlon/E-_6p6zrFJk_0000021 212.9 222.3 
Pamela_Adlon/E-_6p6zrFJk_0000022 237.4 242.4 
Pamela_Adlon/E-_6p6zrFJk_0000023 260.6 284.6 
Pamela_Adlon/E-_6p6zrFJk_0000024 285.6 306.7 
Pamela_Adlon/E-_6p6zrFJk_0000025 311.4 322.7 
Pamela_Adlon/E-_6p6zrFJk_0000026 324.6 329.4 
Pamela_Adlon/E-_6p6zrFJk_0000027 336.7 341.3 
Pamela_Adlon/E-_6p6zrFJk_0000028 343.4 356.8 
Pamela_Adlon/E-_6p6zrFJk_0000029 362.6 377.3 
Pamela_Adlon/E-_6p6zrFJk_0000030 378.1 397.8 
Pamela_Adlon/E-_6p6zrFJk_0000031 398.1 413.9 
Pamela_Adlon/E-_6p6zrFJk_0000032 414.6 429.6 
Pamela_Adlon/E-_6p6zrFJk_0000033 436.7 441.8 
Pamela_Adlon/E-_6p6zrFJk_0000034 452.4 463.8 
Pamela_Adlon/E-_6p6zrFJk_0000035 465.0 470.9 
Pamela_Adlon/E-_6p6zrFJk_0000036 479.4 485.7 
