POI: 			Pamela_Adlon 
Youtube ID: 	L_SLT-j82Ms 
Video length: 	2359.6 sec 
Set (V): 		dev 
 
Pamela_Adlon/L_SLT-j82Ms_0000001 69.8 78.2 
Pamela_Adlon/L_SLT-j82Ms_0000002 152.5 192.3 
Pamela_Adlon/L_SLT-j82Ms_0000003 229.0 248.1 
Pamela_Adlon/L_SLT-j82Ms_0000004 249.1 254.3 
Pamela_Adlon/L_SLT-j82Ms_0000005 314.0 318.3 
Pamela_Adlon/L_SLT-j82Ms_0000006 570.8 575.7 
Pamela_Adlon/L_SLT-j82Ms_0000007 576.6 595.6 
Pamela_Adlon/L_SLT-j82Ms_0000008 671.6 677.2 
Pamela_Adlon/L_SLT-j82Ms_0000009 694.9 699.0 
Pamela_Adlon/L_SLT-j82Ms_0000010 786.4 791.6 
Pamela_Adlon/L_SLT-j82Ms_0000011 922.4 935.0 
Pamela_Adlon/L_SLT-j82Ms_0000012 963.1 972.9 
Pamela_Adlon/L_SLT-j82Ms_0000013 976.1 992.7 
Pamela_Adlon/L_SLT-j82Ms_0000014 994.9 999.8 
Pamela_Adlon/L_SLT-j82Ms_0000015 1024.8 1028.9 
Pamela_Adlon/L_SLT-j82Ms_0000016 1039.2 1048.5 
Pamela_Adlon/L_SLT-j82Ms_0000017 1060.0 1073.9 
Pamela_Adlon/L_SLT-j82Ms_0000018 1195.2 1202.2 
Pamela_Adlon/L_SLT-j82Ms_0000019 1383.9 1388.4 
Pamela_Adlon/L_SLT-j82Ms_0000020 1479.1 1497.8 
Pamela_Adlon/L_SLT-j82Ms_0000021 1500.7 1528.1 
Pamela_Adlon/L_SLT-j82Ms_0000022 1531.2 1535.3 
Pamela_Adlon/L_SLT-j82Ms_0000023 1559.6 1567.5 
Pamela_Adlon/L_SLT-j82Ms_0000024 1673.8 1678.0 
Pamela_Adlon/L_SLT-j82Ms_0000025 1741.1 1750.4 
Pamela_Adlon/L_SLT-j82Ms_0000026 1750.6 1756.9 
Pamela_Adlon/L_SLT-j82Ms_0000027 1802.8 1807.8 
Pamela_Adlon/L_SLT-j82Ms_0000028 1839.1 1844.1 
Pamela_Adlon/L_SLT-j82Ms_0000029 1844.6 1851.9 
Pamela_Adlon/L_SLT-j82Ms_0000030 1855.1 1860.4 
Pamela_Adlon/L_SLT-j82Ms_0000031 1861.2 1865.2 
Pamela_Adlon/L_SLT-j82Ms_0000032 1875.8 1905.6 
Pamela_Adlon/L_SLT-j82Ms_0000033 1926.5 1943.1 
Pamela_Adlon/L_SLT-j82Ms_0000034 1979.8 1999.4 
Pamela_Adlon/L_SLT-j82Ms_0000035 2000.0 2026.8 
Pamela_Adlon/L_SLT-j82Ms_0000036 2086.4 2107.9 
Pamela_Adlon/L_SLT-j82Ms_0000037 2259.6 2264.9 
Pamela_Adlon/L_SLT-j82Ms_0000038 2265.9 2295.8 
