POI: 			Sofia_Coppola 
Youtube ID: 	nsf7cMjPa2I 
Video length: 	1574.7 sec 
Set (V): 		dev 
 
Sofia_Coppola/nsf7cMjPa2I_0000001 119.1 123.8 
Sofia_Coppola/nsf7cMjPa2I_0000002 135.8 141.7 
Sofia_Coppola/nsf7cMjPa2I_0000003 142.4 148.4 
Sofia_Coppola/nsf7cMjPa2I_0000004 171.0 182.8 
Sofia_Coppola/nsf7cMjPa2I_0000005 190.5 207.4 
Sofia_Coppola/nsf7cMjPa2I_0000006 228.0 239.7 
Sofia_Coppola/nsf7cMjPa2I_0000007 271.0 292.6 
Sofia_Coppola/nsf7cMjPa2I_0000008 302.2 310.5 
Sofia_Coppola/nsf7cMjPa2I_0000009 320.8 325.1 
Sofia_Coppola/nsf7cMjPa2I_0000010 346.7 354.7 
Sofia_Coppola/nsf7cMjPa2I_0000011 359.3 369.4 
Sofia_Coppola/nsf7cMjPa2I_0000012 370.0 374.2 
Sofia_Coppola/nsf7cMjPa2I_0000013 376.8 381.3 
Sofia_Coppola/nsf7cMjPa2I_0000014 382.9 388.0 
Sofia_Coppola/nsf7cMjPa2I_0000015 410.6 417.6 
Sofia_Coppola/nsf7cMjPa2I_0000016 422.9 432.9 
Sofia_Coppola/nsf7cMjPa2I_0000017 461.4 475.1 
Sofia_Coppola/nsf7cMjPa2I_0000018 499.2 506.2 
Sofia_Coppola/nsf7cMjPa2I_0000019 511.3 515.7 
Sofia_Coppola/nsf7cMjPa2I_0000020 544.6 549.3 
Sofia_Coppola/nsf7cMjPa2I_0000021 598.5 606.1 
Sofia_Coppola/nsf7cMjPa2I_0000022 620.1 626.0 
Sofia_Coppola/nsf7cMjPa2I_0000023 632.0 638.0 
Sofia_Coppola/nsf7cMjPa2I_0000024 662.4 666.6 
Sofia_Coppola/nsf7cMjPa2I_0000025 686.4 691.0 
Sofia_Coppola/nsf7cMjPa2I_0000026 701.2 716.2 
Sofia_Coppola/nsf7cMjPa2I_0000027 724.6 736.8 
Sofia_Coppola/nsf7cMjPa2I_0000028 880.9 886.3 
Sofia_Coppola/nsf7cMjPa2I_0000029 895.3 909.3 
Sofia_Coppola/nsf7cMjPa2I_0000030 913.6 917.9 
Sofia_Coppola/nsf7cMjPa2I_0000031 938.7 946.8 
Sofia_Coppola/nsf7cMjPa2I_0000032 947.4 960.7 
Sofia_Coppola/nsf7cMjPa2I_0000033 984.3 992.3 
Sofia_Coppola/nsf7cMjPa2I_0000034 996.0 1005.0 
Sofia_Coppola/nsf7cMjPa2I_0000035 1015.6 1019.7 
Sofia_Coppola/nsf7cMjPa2I_0000036 1033.0 1038.8 
Sofia_Coppola/nsf7cMjPa2I_0000037 1067.2 1075.9 
Sofia_Coppola/nsf7cMjPa2I_0000038 1104.8 1111.7 
Sofia_Coppola/nsf7cMjPa2I_0000039 1123.7 1128.7 
Sofia_Coppola/nsf7cMjPa2I_0000040 1147.5 1153.9 
Sofia_Coppola/nsf7cMjPa2I_0000041 1158.6 1166.2 
Sofia_Coppola/nsf7cMjPa2I_0000042 1194.5 1203.0 
Sofia_Coppola/nsf7cMjPa2I_0000043 1241.0 1246.1 
Sofia_Coppola/nsf7cMjPa2I_0000044 1253.2 1269.4 
Sofia_Coppola/nsf7cMjPa2I_0000045 1303.5 1311.6 
Sofia_Coppola/nsf7cMjPa2I_0000046 1327.6 1333.6 
Sofia_Coppola/nsf7cMjPa2I_0000047 1358.0 1363.3 
Sofia_Coppola/nsf7cMjPa2I_0000048 1363.5 1376.7 
Sofia_Coppola/nsf7cMjPa2I_0000049 1404.1 1413.2 
Sofia_Coppola/nsf7cMjPa2I_0000050 1413.4 1417.4 
Sofia_Coppola/nsf7cMjPa2I_0000051 1429.5 1433.7 
Sofia_Coppola/nsf7cMjPa2I_0000052 1440.6 1445.3 
Sofia_Coppola/nsf7cMjPa2I_0000053 1446.1 1453.0 
Sofia_Coppola/nsf7cMjPa2I_0000054 1463.1 1476.1 
Sofia_Coppola/nsf7cMjPa2I_0000055 1493.7 1499.0 
Sofia_Coppola/nsf7cMjPa2I_0000056 1504.6 1510.4 
Sofia_Coppola/nsf7cMjPa2I_0000057 1515.9 1522.0 
Sofia_Coppola/nsf7cMjPa2I_0000058 1549.9 1559.8 
